Deleted Feature,Description
h08_160,농림축산업-판매수입(A)(h1708_160)
h08_159,농림축산업-자가소비액(B)(h1708_159)
h08_3aq3,농림축산업-이전소비액(C)(h1708_3aq3)
h08_161,농림축산업-합계(A+B+C)(h1708_161)
h08_162,농림축산업-잡수입(D)(h1708_162)
h08_163,농림축산업-총비용(E)(h1708_163)
h08_164,농림축산업-순소득(A+B+C+D-E)(h1708_164)
h08_166,어업-판매수입(A)(h1708_166)
h08_165,어업-자가소비액(B)(h1708_165)
h08_3aq4,어업-이전소비액(C)(h1708_3aq4)
h08_167,어업-합계(A+B+C)(h1708_167)
h08_168,어업-잡수입총액(D)(h1708_168)
h08_169,어업-총비용(E)(h1708_169)
h08_170,어업-순소득(A+B+C+D-E)(h1708_170)
h08_14aq1,공적연금-국민연금(h1708_14aq1)
h08_14aq2,공적연금-특수직역연금(h1708_14aq2)
h08_10aq1,기초연금(h1708_10aq1)
h08_14aq3,아동수당(h1708_14aq3)
h08_11aq1,자녀장려세제(h1708_11aq1)
h08_15aq1,"지방보조금(지역형 생계, 긴급복지지원, 청년수당 등)(h1708_15aq1)"
h08_16aq1,재난지원금(코로나19관련 지원금)(h1708_16aq1)
nh08_3aq1,가구원이 아닌 기타사람으로부터의 보조금(현금 및 현물)(nh1708_3aq1)
h08_aq32,9개월 미만 생계를 같이 하다가 분가한 가구원이 함께 살 때 제공한 보조금(현금 및 현물)(h1708_aq
h08_aq33,가구원으로 새로 들어온지 9개월 미만된 가구원이 제공한 보조금(현금 및 현물)(h1708_aq33)
h08_aq34,민간 개인 또는 단체로 부터 받은 보조금(현금 및 현물)(h1708_aq34)
h08_11aq2,생계급여 - 연간 수급 개월수(h1708_11aq2)
h08_11aq3,생계급여 - 총액(h1708_11aq3)
h08_11aq4,주거급여 - 연간 수급 개월수(h1708_11aq4)
h08_11aq5,주거급여 - 총액(h1708_11aq5)
h08_11aq7,교육급여 - 연간 수급 개월수(h1708_11aq7)
h08_11aq8,교육급여 - 총액(h1708_11aq8)
h09_12aq1,비율 - 생활비(생계비)(h1709_12aq1)
h09_12aq2,비율 - 주택관련 자금(전세보증금 포함)(h1709_12aq2)
h09_12aq3,비율 - 교육(학자금마련 포함)(h1709_12aq3)
h09_12aq4,비율 - 의료비(h1709_12aq4)
h09_12aq5,비율 - 빚 갚음(h1709_12aq5)
h09_12aq6,비율 - 기타(h1709_12aq6)
h09_12aq7,합계 비율
h09_12aq11,생활비(생계비)
h09_12aq21,주택관련 자금(전세보증금 포함)
h09_12aq31,교육(학자금마련 포함)
h09_12aq41,의료비
h09_12aq51,빚 갚음
h09_12aq61,기타
h09_12aq71,합계
h11_3aq5,(라)위의 문항에 대해서 얼마나 자주 그런 일이 있었는지(h1711_3aq5)
h12_2_11aq1,지난 1년간 국민기초생활보장급여 신청 여부(맞춤형급여)
h12_2_11aq2,가구생성 이후 국민기초생활보장급여 신청 여부(맞춤형급여)
h12_2_11aq3,국민기초생활보장급여 신청하게 된 이유(h1712_2_11aq3)
h12_2_11aq4,수급자 선정 여부(h1712_2_11aq4)
h12_2_11aq5,(생계급여)수급자로 선정되지 못한 이유(h1712_2_11aq5)
h12_2_11aq6,(의료급여)수급자로 선정되지 못한 이유(h1712_2_11aq6)
h12_2_11aq7,(주거급여)수급자로 선정되지 못한 이유(h1712_2_11aq7)
h12_2_11aq8,(교육급여)수급자로 선정되지 못한 이유(h1712_2_11aq8)
h12_2_11aq9,(생계급여)생계문제 해결방법(h1712_2_11aq9)
h12_2_11aq10,(의료급여)생계문제 해결방법(h1712_2_11aq10)
h12_2_11aq11,(주거급여)생계문제 해결방법(h1712_2_11aq11)
h12_2_11aq12,(교육급여)생계문제 해결방법(h1712_2_11aq12)
h12_2_11aq13,지난 1년간 국민기초생활보장급여 받은 경험(맞춤형급여)
h12_2_11aq14,가구생성 이후 국민기초생활보장급여 받은 경험(맞춤형급여)
h12_2_11aq15,(생계급여)첫번째_급여를 받은 년(h1712_2_11aq15)
h12_2_11aq16,(생계급여)첫번째_급여를 받은 기간(h1712_2_11aq16)
h12_2_12aq1,(생계급여)첫번째_급여를 받은 년(h1712_2_12aq1)
h12_2_11aq17,(생계급여)첫번째_급여를 받은 기간(h1712_2_11aq17)
h12_2_12aq2,(생계급여)두번째_급여를 받은 년(h1712_2_12aq2)
h12_2_11aq18,(생계급여)두번째_급여를 받은 기간(h1712_2_11aq18)
h12_2_12aq3,(생계급여)두번째_급여를 받은 년(h1712_2_12aq3)
h12_2_11aq19,(생계급여)두번째_급여를 받은 기간(h1712_2_11aq19)
h12_2_12aq4,(생계급여)세번째_급여를 받은 년(h1712_2_12aq4)
h12_2_11aq20,(생계급여)세번째_급여를 받은 기간(h1712_2_11aq20)
h12_2_12aq5,(생계급여)세번째_급여를 받은 년(h1712_2_12aq5)
h12_2_11aq21,(생계급여)세번째_급여를 받은 기간(h1712_2_11aq21)
h12_2_12aq6,(의료급여)첫번째_급여를 받은 년(h1712_2_12aq6)
h12_2_11aq23,(의료급여)첫번째_급여를 받은 기간(h1712_2_11aq23)
h12_2_12aq7,(의료급여)첫번째_급여를 받은 년(h1712_2_12aq7)
h12_2_11aq24,(의료급여)첫번째_급여를 받은 기간(h1712_2_11aq24)
h12_2_12aq8,(의료급여)두번째_급여를 받은 년(h1712_2_12aq8)
h12_2_11aq25,(의료급여)두번째_급여를 받은 기간(h1712_2_11aq25)
h12_2_12aq9,(의료급여)두번째_급여를 받은 년(h1712_2_12aq9)
h12_2_11aq26,(의료급여)두번째_급여를 받은 기간(h1712_2_11aq26)
h12_2_12aq10,(의료급여)세번째_급여를 받은 년(h1712_2_12aq10)
h12_2_11aq27,(의료급여)세번째_급여를 받은 기간(h1712_2_11aq27)
h12_2_12aq11,(의료급여)세번째_급여를 받은 년(h1712_2_12aq11)
h12_2_11aq28,(의료급여)세번째_급여를 받은 기간(h1712_2_11aq28)
h12_2_12aq12,(주거급여)첫번째_급여를 받은 년(h1712_2_12aq12)
h12_2_11aq30,(주거급여)첫번째_급여를 받은 기간(h1712_2_11aq30)
h12_2_12aq13,(주거급여)첫번째_급여를 받은 년(h1712_2_12aq13)
h12_2_11aq31,(주거급여)첫번째_급여를 받은 기간(h1712_2_11aq31)
h12_2_12aq14,(주거급여)두번째_급여를 받은 년(h1712_2_12aq14)
h12_2_11aq32,(주거급여)두번째_급여를 받은 기간(h1712_2_11aq32)
h12_2_12aq15,(주거급여)두번째_급여를 받은 년(h1712_2_12aq15)
h12_2_11aq33,(주거급여)두번째_급여를 받은 기간(h1712_2_11aq33)
h12_2_12aq16,(주거급여)세번째_급여를 받은 년(h1712_2_12aq16)
h12_2_11aq34,(주거급여)세번째_급여를 받은 기간(h1712_2_11aq34)
h12_2_12aq17,(주거급여)세번째_급여를 받은 년(h1712_2_12aq17)
h12_2_11aq35,(주거급여)세번째_급여를 받은 기간(h1712_2_11aq35)
h12_2_12aq18,(교육급여)첫번째_급여를 받은 년(h1712_2_12aq18)
h12_2_11aq37,(교육급여)첫번째_급여를 받은 기간(h1712_2_11aq37)
h12_2_12aq19,(교육급여)첫번째_급여를 받은 년(h1712_2_12aq19)
h12_2_11aq38,(교육급여)첫번째_급여를 받은 기간(h1712_2_11aq38)
h12_2_12aq20,(교육급여)두번째_급여를 받은 년(h1712_2_12aq20)
h12_2_11aq39,(교육급여)두번째_급여를 받은 기간(h1712_2_11aq39)
h12_2_12aq21,(교육급여)두번째_급여를 받은 년(h1712_2_12aq21)
h12_2_11aq40,(교육급여)두번째_급여를 받은 기간(h1712_2_11aq40)
h12_2_12aq22,(교육급여)세번째_급여를 받은 년(h1712_2_12aq22)
h12_2_11aq41,(교육급여)세번째_급여를 받은 기간(h1712_2_11aq41)
h12_2_12aq23,(교육급여)세번째_급여를 받은 년(h1712_2_12aq23)
h12_2_11aq42,(교육급여)세번째_급여를 받은 기간(h1712_2_11aq42)
h12_2_11aq43,(생계급여)12월 말까지 급여를 받게 된 이유(h1712_2_11aq43)
h12_2_11aq44,(의료급여)12월 말까지 급여를 받게 된 이유(h1712_2_11aq44)
h12_2_11aq45,(주거급여)12월 말까지 급여를 받게 된 이유(h1712_2_11aq45)
h12_2_11aq46,(교육급여)12월 말까지 급여를 받게 된 이유(h1712_2_11aq46)
h12_2_11aq47,(생계급여)국민기초생활보장 급여수준 평가(h1712_2_11aq47)
h12_2_11aq48,(의료급여)국민기초생활보장 급여수준 평가(h1712_2_11aq48)
h12_2_11aq49,(주거급여)국민기초생활보장 급여수준 평가(h1712_2_11aq49)
h12_2_11aq50,(교육급여)국민기초생활보장 급여수준 평가(h1712_2_11aq50)
h12_2_11aq51,(생계급여) 수급대상 가구 탈피 예상기간(h1712_2_11aq51)
h12_2_11aq52,(의료급여) 수급대상 가구 탈피 예상기간(h1712_2_11aq52)
h12_2_11aq53,(주거급여) 수급대상 가구 탈피 예상기간(h1712_2_11aq53)
h12_2_11aq54,(교육급여) 수급대상 가구 탈피 예상기간(h1712_2_11aq54)
h12_2_11aq55,(생계급여) 수급자 탈피 이유(h1712_2_11aq55)
h12_2_11aq56,(의료급여) 수급자 탈피 이유(h1712_2_11aq56)
h12_2_11aq57,(주거급여) 수급자 탈피 이유(h1712_2_11aq57)
h12_2_11aq58,(교육급여) 수급자 탈피 이유(h1712_2_11aq58)
h12_2_11aq59,탈피하더라도 계속 받고 싶은 지원(h1712_2_11aq59)
h12_1_4aq1,근로장려세제에 대한 인식(h1712_1_4aq1)
h12_1_11aq1,자녀장려세제에 대한 인식(h1712_1_11aq1)
h12_1_5aq1,근로(자녀)장려금 신청 여부(h1712_1_5aq1)
h12_1_5aq2,근로(자녀)장려금 급여 수령 여부(h1712_1_5aq2)
h12_1_5aq3,수급한 근로(자녀)장려금 사용 현황(h1712_1_5aq3)
h12_1_5aq4,근로(자녀)장려금의 도움 정도(h1712_1_5aq4)
h12_1_5aq5,근로(자녀)장려금 급여가 근로의욕에 미치는 영향(h1712_1_5aq5)
h12_1_4aq2,근로(자녀)장려금 수급 요건 충족 여부에 대한 인식(h1712_1_4aq2)
h13_15aq1,(카) 권익보장 지원(공공후견서비스 등)(h1713_15aq1)
h13_4aq4,(가) 장애인활동지원사업 경험여부(h1713_4aq4)
h13_4aq6,(나) 산모/신생아 건강관리지원사업 경험여부(h1713_4aq6)
h13_4aq8,(다) 가사간병 방문지원사업 경험여부(h1713_4aq8)
h13_12aq1,"(라) 통합문화이용권(문화누리카드, 스포츠강좌이용권)(h1713_12aq1)"
h13_5aq4,(마) 임신출산 진료비지원제도 경험여부(h1713_5aq4)
h13_15aq2,(바) 아이돌봄지원 경험여부(h1713_15aq2)
h13_5aq8,(사) 보육료·유아학비 지원(h1713_5aq8)
h13_15aq3,"(아) 장애아동가족지원(발달재활서비스, 언어발달지원사업) 경험여부(h1713_15aq3)"
h13_15aq4,"(자)  발달장애인지원(발달장애인 부모심리상담서비스, 발달장애인주간활동서비스, 청소년발달장애학생 방과후 활%XB5"
h13_12aq2,(차) 에너지 바우처(h1713_12aq2)
h13_4aq14,(카) 기타 바우처서비스 경험여부(h1713_4aq14)
h13_4aq15,(카) 기타 바우처서비스 종류(h1713_4aq15)
h13_4aq17,장기요양서비스를 이용하면서 지불한 금액(h1713_4aq17)
h13_4aq18,(가) 방문요양 이용여부(h1713_4aq18)
h13_4aq20,(나) 방문목욕 이용여부(h1713_4aq20)
h13_4aq22,(다) 방문간호 이용여부(h1713_4aq22)
h13_4aq24,(라) 주야간보호 이용여부(h1713_4aq24)
h13_4aq26,(마) 단기보호 이용여부(h1713_4aq26)
h13_4aq28,(바) 기타재가급여 이용여부(h1713_4aq28)
h13_4aq30,(사) 시설급여 이용여부(h1713_4aq30)
h13_4aq32,(아) 특별현금급여 이용여부(h1713_4aq32)
h14_4,(가) 기초연금 지원 경험여부(h1714_4)
h14_8,(나) 의료비 지원 경험여부(h1714_8)
h14_12,(다) 노인 무료 급식 경험여부(h1714_12)
h14_16,(라) 물품지원 경험여부(h1714_16)
h14_20,(마) 가사지원 서비스 경험여부(h1714_20)
h14_24,(바) 식사 배달 서비스 경험여부(h1714_24)
h14_28,"(사) 방문 가정간호, 간병, 목욕 서비스 경험여부(h1714_28)"
h14_32,(아) 이동편의 서비스 경험여부(h1714_32)
h14_36,(자) 주야간보호 서비스 경험여부(h1714_36)
h14_3aq1,(차) 노인일자리사업 경험여부(h1714_3aq1)
h14_4aq1,(카) 사회참여 서비스 경험여부(h1714_4aq1)
h15_14aq1,(가) 아동수당(h1715_14aq1)
h15_4,(나) 공공어린이집 경험여부(h1715_4)
h15_8,(다) 양육ㆍ보육료 및 유치원비 보조 경험여부(h1715_8)
h15_12,"(라) 아동상담, 집단 프로그램 경험여부(h1715_12)"
h15_20,(마) 방과후돌봄서비스 경험여부(h1715_20)
h15_25,(바) 무료급식(급식지원 포함) 경험여부(h1715_25)
h15_29,(사) 학비지원 경험여부(h1715_29)
h15_33,(아) 예체능 교실 경험여부(h1715_33)
h15_37,(자) 문화활동 경험여부(h1715_37)
h15_4aq1,(차) 가정봉사·아이돌봄 서비스 경험여부(h1715_4aq1)
h15_7aq1,(타) 영유아보충식품지원 경험여부(h1715_7aq1)
h15_aq1,가구에 추가된 아동유무(h1715_aq1)
h15_40,1번.아동가구원번호1(h1715_40)
h15_41,1번.출생시 체중 2.5kg 이상 여부(h1715_41)
h15_42,1번.선천성 기형 및 질환(h1715_42)
h15_43,2번.아동가구원번호2(h1715_43)
h15_44,2번.출생시 체중 2.5kg 이상 여부(h1715_44)
h15_45,2번.선천성 기형 및 질환(h1715_45)
h15_46,3번.아동가구원번호3(h1715_46)
h15_47,3번.출생시 체중 2.5kg 이상 여부(h1715_47)
h15_48,3번.선천성 기형 및 질환(h1715_48)
h15_49,4번.아동가구원번호4(h1715_49)
h15_50,4번.출생시 체중 2.5kg 이상 여부(h1715_50)
h15_51,4번.선천성 기형 및 질환(h1715_51)
h15_52,5번.아동가구원번호5(h1715_52)
h15_53,5번.출생시 체중 2.5kg 이상 여부(h1715_53)
h15_54,5번.선천성 기형 및 질환(h1715_54)
h15_55,6번.아동가구원번호6(h1715_55)
h15_56,6번.출생시 체중 2.5kg 이상 여부(h1715_56)
h15_57,6번.선천성 기형 및 질환(h1715_57)
h15_60,1번.아동가구원번호1(h1715_60)
h15_aq2,1번.사교육과 보육기관 이용실태(h1715_aq2)
h15_61,"1번.자녀가 이용하는 사교육, 보육기관A(h1715_61)"
h15_62,"1번.자녀가 이용하는 사교육, 보육기관B(h1715_62)"
h15_63,"1번.자녀가 이용하는 사교육, 보육기관C(h1715_63)"
h15_66,1번.한달 평균 사교육비(h1715_66)
h15_67,1번.한달 평균 보육비(h1715_67)
h15_68,2번.아동가구원번호2(h1715_68)
h15_aq3,2번.사교육과 보육기관 이용실태(h1715_aq3)
h15_69,"2번.자녀가 이용하는 사교육, 보육기관A(h1715_69)"
h15_70,"2번.자녀가 이용하는 사교육, 보육기관B(h1715_70)"
h15_71,"2번.자녀가 이용하는 사교육, 보육기관C(h1715_71)"
h15_74,2번.한달 평균 사교육비(h1715_74)
h15_75,2번.한달 평균 보육비(h1715_75)
h15_76,3번.아동가구원번호3(h1715_76)
h15_aq4,3번.사교육과 보육기관 이용실태(h1715_aq4)
h15_77,"3번.자녀가 이용하는 사교육, 보육기관A(h1715_77)"
h15_78,"3번.자녀가 이용하는 사교육, 보육기관B(h1715_78)"
h15_79,"3번.자녀가 이용하는 사교육, 보육기관C(h1715_79)"
h15_82,3번.한달 평균 사교육비(h1715_82)
h15_83,3번.한달 평균 보육비(h1715_83)
h15_84,4번.아동가구원번호4(h1715_84)
h15_aq5,4번.사교육과 보육기관 이용실태(h1715_aq5)
h15_85,"4번.자녀가 이용하는 사교육, 보육기관A(h1715_85)"
h15_86,"4번.자녀가 이용하는 사교육, 보육기관B(h1715_86)"
h15_87,"4번.자녀가 이용하는 사교육, 보육기관C(h1715_87)"
h15_90,4번.한달 평균 사교육비(h1715_90)
h15_91,4번.한달 평균 보육비(h1715_91)
h15_92,5번.아동가구원번호5(h1715_92)
h15_aq6,5번.사교육과 보육기관 이용실태(h1715_aq6)
h15_93,"5번.자녀가 이용하는 사교육, 보육기관A(h1715_93)"
h15_94,"5번.자녀가 이용하는 사교육, 보육기관B(h1715_94)"
h15_95,"5번.자녀가 이용하는 사교육, 보육기관C(h1715_95)"
h15_98,5번.한달 평균 사교육비(h1715_98)
h15_99,5번.한달 평균 보육비(h1715_99)
h15_100,6번.아동가구원번호6(h1715_100)
h15_aq7,6번.사교육과 보육기관 이용실태(h1715_aq7)
h15_101,"6번.자녀가 이용하는 사교육, 보육기관A(h1715_101)"
h15_102,"6번.자녀가 이용하는 사교육, 보육기관B(h1715_102)"
h15_103,"6번.자녀가 이용하는 사교육, 보육기관C(h1715_103)"
h15_106,6번.한달 평균 사교육비(h1715_106)
h15_107,6번.한달 평균 보육비(h1715_107)
h16_6aq1,(가) 장애인연금(중증장애인 대상) 경험여부(h1716_6aq1)
h16_6aq4,(나) 장애수당(경증장애인 대상) 경험여부(h1716_6aq4)
h16_8,(다) 장애아동수당 경험여부(h1716_8)
h16_24,(라) 의료재활서비스 경험여부(h1716_24)
h16_4aq1,(마) 가사지원 서비스 경험여부(h1716_4aq1)
h16_4aq4,"(바) 방문 가정간호, 간병, 목욕 서비스 경험여부(h1716_4aq4)"
h16_32,(사) 이동편의 서비스 경험여부(h1716_32)
h16_36,(아) 주택관련 서비스 경험여부(h1716_36)
h16_40,(자) 가족상담 및 심리재활 서비스 경험여부(h1716_40)
h16_4aq7,(차) 사회적응 및 취업관련 서비스 경험여부(h1716_4aq7)
h16_56,(카) 장애아동 및 장애인자녀 보육비 및 교육비 지원 경험여부(h1716_56)
h16_60,(타) 장애아동 및 장애인자녀 관련프로그램 경험여부(h1716_60)
h16_64,(파) 자동차 관련 지원 경험여부(h1716_64)
h16_15aq1,(하) 권익보장 지원(공공후견서비스 등)(h1716_15aq1)
h17_2,1년간 근심이나 갈등을 초래한 문제(2순위)(h1717_2)
p01_2,공적연금 종류1(p1701_2)
p01_aq1,공적연금 종류2(p1701_aq1)
p01_3,수급받는 국민연금의 종류(p1701_3)
p01_4,총급여-일시금 연간 총액(p1701_4)
p01_5,총급여-연금 수급 개월(p1701_5)
p01_6,총급여-연금 연간 총액(p1701_6)
p01_10,특수직역연금 종류-1순위(p1701_10)
p01_11,특수직역연금 종류-2순위(p1701_11)
p01_12,특수직역연금-일시금 연간 총액(p1701_12)
p01_13,특수직역연금-연금 수급 개월(p1701_13)
p01_14,특수직역연금-연금 연간 총액(p1701_14)
p01_7,보훈연금 및 기타연금-일시금 연간 총액(p1701_7)
p01_8,보훈연금 및 기타연금-연금 수급 개월(p1701_8)
p01_9,보훈연금 및 기타연금-연금 연간 총액(p1701_9)
p01_16,고용보험 급여 종류-1순위(p1701_16)
p01_17,고용보험 급여 종류-2순위(p1701_17)
p01_18,고용보험-수급 개월(p1701_18)
p01_19,고용보험-연간 총액(p1701_19)
p01_21,산재보험 급여 종류-1순위(p1701_21)
p01_22,산재보험 급여 종류-2순위(p1701_22)
p01_23,산재보험- 일시금 연간 총액(p1701_23)
p01_24,산재보험-연금 수급 개월(p1701_24)
p01_25,산재보험-연금 연간 총액(p1701_25)
p01_28,개인연금-일시금 연간 총액(p1701_28)
p01_29,개인연금-연금 수급 개월(p1701_29)
p01_30,개인연금-연금 연간 총액(p1701_30)
p01_32,"퇴직금, 퇴직보험 -일시금 연간 총액(p1701_32)"
p01_33,퇴직보험-연금 수급 개월(p1701_33)
p01_34,퇴직보험-연금 연간 총액(p1701_34)
p02_1,근로유형(p1702_1)
p02_2,사직 또는 폐업 경험여부(p1702_2)
p02_3,그만 둔 구체적 이유(p1702_3)
p02_4,근무 시작(년)(p1702_4)
p02_5,근무 시작(월)(p1702_5)
p02_6,근로일수(개월)(p1702_6)
p02_7,근로일수(일)(p1702_7)
p02_8,규칙적으로 일한 경우 주당 평균 근로시간(p1702_8)
p02_8aq1,일한달의 월 평균 임금(p1702_8aq1)
p02_9,불규칙적으로 일한 경우 하루 평균 근로시간(p1702_9)
p02_8aq2,일한날의 시간당 임금(p1702_8aq2)
p02_4aq1,노동조합 가입 여부(p1702_4aq1)
p02_10,구직여부(p1702_10)
p02_11,총 구직 기간(년)(p1702_11)
p02_12,구직 기간(개월)(p1702_12)
p02_8aq3,구직과정 중 어려움(1순위)(p1702_8aq3)
p02_8aq4,구직과정 중 어려움(2순위)(p1702_8aq4)
p02_31,기대 수입(p1702_31)
p02_4aq2,지난1년간 구직활동 경험여부(p1702_4aq2)
p02_4aq3,지난주에 알맞은 일거리나 직장이 있었다면 일할 수 있는지 여부(p1702_4aq3)
p02_4aq4,지난4주간 구직활동을 하지않은이유(p1702_4aq4)
p02_8aq5,공공근로-경험여부(p1702_8aq5)
p02_8aq6,노인일자리-경험여부(p1702_8aq6)
p02_8aq7,자활공동체 및 자활근로-경험여부(p1702_8aq7)
p02_8aq8,사회적 일자리(사회적 기업)-경험여부(p1702_8aq8)
p02_8aq9,직장체험연수 관련 프로그램-경험여부(p1702_8aq9)
p02_8aq10,미취업자 직업훈련 관련 프로그램-경험여부(p1702_8aq10)
p02_8aq11,창업지원 관련 프로그램-경험여부(p1702_8aq11)
p02_8aq12,지역공동체 일자리사업(희망근로)-경험여부(p1702_8aq12)
p02_8aq13,청년 인턴제도 관려 프로그램-경험여부(p1702_8aq13)
p02_8aq14,취업자 능력 개발 훈련 관련 프로그램-경험여부(p1702_8aq14)
p02_12aq1,국민취업지원제도(구 취업성공패키지 통폐합)-경험여부(p1702_12aq1)
p02_8aq15,기타-경험여부(p1702_8aq15)
p02_aq3,새로운 기술 습득(2순위)(p1702_aq3)
p02_aq4,습득한 직업기술의 해당직종(1순위)(p1702_aq4)
p02_aq5,습득한 직업기술의 해당직종(2순위)(p1702_aq5)
p04_4,자원봉사활동 여부(p1704_4)
p04_6,자원봉사활동 연간 횟수(p1704_6)
p04_7,비동거 부모님이 계신지 여부(p1704_7)
p04_8,비동거부모님과 왕래정도 <주>(p1704_8)
p04_9,비동거부모님과 왕래정도 (월)(p1704_9)
p04_10,비동거부모님과 왕래정도 (년)(p1704_10)
p04_11,전화통화 횟수<주>(p1704_11)
p04_12,전화통화 횟수<월>(p1704_12)
p04_13,전화통화 횟수<년>(p1704_13)
p05_3aq1,지금까지 피운 담배의 총양(p1705_3aq1)
p05_3aq2,처음으로 담배를 피운 시기(p1705_3aq2)
p05_3aq3,총 흡연 기간 - 년(p1705_3aq3)
p05_3aq4,총 흡연 기간 - 개월(p1705_3aq4)
p05_3aq6,하루 평균 흡연량(p1705_3aq6)
p05_3aq7,최근 1년동안 담배를 끊고자 하루 이상 금연한 적이 있는지 여부(p1705_3aq7)
p05_3aq8,앞으로 담배를 끊을 계획이 있는지(p1705_3aq8)
p05_3aq10,실내공간에서 하루 타인의 담배연기를 맡은 시간(p1705_3aq10)
p05_3,음주시 마시는 술잔 횟수(p1705_3)
