,,Non-donation,Donation,Statistics
Financial Assets - Savings,480.0,1507 (94.48%),88 (5.52%),
Financial Assets - Savings,485.0,15 (93.75%),1 (6.25%),
Financial Assets - Savings,486.0,38 (92.68%),3 (7.32%),
Financial Assets - Savings,488.0,8 (88.89%),1 (11.11%),
Financial Assets - Savings,489.0,6 (75.00%),2 (25.00%),
Financial Assets - Savings,490.0,84 (94.38%),5 (5.62%),
Financial Assets - Savings,492.0,29 (90.62%),3 (9.38%),
Financial Assets - Savings,496.0,7 (70.00%),3 (30.00%),
Financial Assets - Savings,500.0,686 (94.62%),39 (5.38%),
Financial Assets - Savings,504.0,142 (96.60%),5 (3.40%),
Financial Assets - Savings,505.0,13 (86.67%),2 (13.33%),
Financial Assets - Savings,509.0,8 (88.89%),1 (11.11%),
Financial Assets - Savings,510.0,93 (98.94%),1 (1.06%),
Financial Assets - Savings,512.0,9 (81.82%),2 (18.18%),
Financial Assets - Savings,516.0,25 (89.29%),3 (10.71%),
Financial Assets - Savings,520.0,98 (94.23%),6 (5.77%),
Financial Assets - Savings,524.0,7 (70.00%),3 (30.00%),
Financial Assets - Savings,525.0,39 (95.12%),2 (4.88%),
Financial Assets - Savings,526.0,4 (80.00%),1 (20.00%),
Financial Assets - Savings,528.0,108 (96.43%),4 (3.57%),
Financial Assets - Savings,530.0,37 (90.24%),4 (9.76%),
Financial Assets - Savings,532.0,13 (81.25%),3 (18.75%),
Financial Assets - Savings,533.0,6 (85.71%),1 (14.29%),
Financial Assets - Savings,535.0,15 (88.24%),2 (11.76%),
Financial Assets - Savings,536.0,10 (83.33%),2 (16.67%),
Financial Assets - Savings,538.0,5 (83.33%),1 (16.67%),
Financial Assets - Savings,539.0,1 (50.00%),1 (50.00%),
Financial Assets - Savings,540.0,641 (94.96%),34 (5.04%),
Financial Assets - Savings,545.0,6 (85.71%),1 (14.29%),
Financial Assets - Savings,546.0,24 (96.00%),1 (4.00%),
Financial Assets - Savings,550.0,99 (92.52%),8 (7.48%),
Financial Assets - Savings,552.0,74 (92.50%),6 (7.50%),
Financial Assets - Savings,556.0,9 (75.00%),3 (25.00%),
Financial Assets - Savings,558.0,7 (87.50%),1 (12.50%),
Financial Assets - Savings,559.0,8 (88.89%),1 (11.11%),
Financial Assets - Savings,560.0,171 (94.48%),10 (5.52%),
Financial Assets - Savings,563.0,8 (88.89%),1 (11.11%),
Financial Assets - Savings,564.0,32 (94.12%),2 (5.88%),
Financial Assets - Savings,565.0,18 (94.74%),1 (5.26%),
Financial Assets - Savings,566.0,3 (75.00%),1 (25.00%),
Financial Assets - Savings,569.0,6 (85.71%),1 (14.29%),
Financial Assets - Savings,570.0,68 (93.15%),5 (6.85%),
Financial Assets - Savings,576.0,184 (97.87%),4 (2.13%),
Financial Assets - Savings,580.0,80 (97.56%),2 (2.44%),
Financial Assets - Savings,582.0,12 (80.00%),3 (20.00%),
Financial Assets - Savings,585.0,27 (93.10%),2 (6.90%),
Financial Assets - Savings,586.0,10 (83.33%),2 (16.67%),
Financial Assets - Savings,588.0,42 (93.33%),3 (6.67%),
Financial Assets - Savings,589.0,3 (75.00%),1 (25.00%),
Financial Assets - Savings,590.0,44 (95.65%),2 (4.35%),
Financial Assets - Savings,592.0,23 (92.00%),2 (8.00%),
Financial Assets - Savings,594.0,33 (94.29%),2 (5.71%),
Financial Assets - Savings,598.0,19 (76.00%),6 (24.00%),
Financial Assets - Savings,600.0,2602 (93.94%),168 (6.06%),
Financial Assets - Savings,606.0,10 (83.33%),2 (16.67%),
Financial Assets - Savings,609.0,1 (50.00%),1 (50.00%),
Financial Assets - Savings,610.0,32 (91.43%),3 (8.57%),
Financial Assets - Savings,612.0,74 (93.67%),5 (6.33%),
Financial Assets - Savings,614.0,11 (84.62%),2 (15.38%),
Financial Assets - Savings,615.0,10 (90.91%),1 (9.09%),
Financial Assets - Savings,618.0,11 (91.67%),1 (8.33%),
Financial Assets - Savings,619.0,6 (75.00%),2 (25.00%),
Financial Assets - Savings,620.0,58 (92.06%),5 (7.94%),
Financial Assets - Savings,624.0,122 (93.13%),9 (6.87%),
Financial Assets - Savings,629.0,15 (93.75%),1 (6.25%),
Financial Assets - Savings,630.0,145 (94.16%),9 (5.84%),
Financial Assets - Savings,632.0,14 (93.33%),1 (6.67%),
Financial Assets - Savings,633.0,8 (88.89%),1 (11.11%),
Financial Assets - Savings,635.0,9 (90.00%),1 (10.00%),
Financial Assets - Savings,636.0,44 (95.65%),2 (4.35%),
Financial Assets - Savings,637.0,8 (88.89%),1 (11.11%),
Financial Assets - Savings,638.0,4 (66.67%),2 (33.33%),
Financial Assets - Savings,640.0,109 (92.37%),9 (7.63%),
Financial Assets - Savings,642.0,16 (94.12%),1 (5.88%),
Financial Assets - Savings,644.0,13 (81.25%),3 (18.75%),
Financial Assets - Savings,648.0,101 (88.60%),13 (11.40%),
Financial Assets - Savings,649.0,4 (66.67%),2 (33.33%),
Financial Assets - Savings,650.0,93 (93.00%),7 (7.00%),
Financial Assets - Savings,654.0,6 (75.00%),2 (25.00%),
Financial Assets - Savings,655.0,18 (90.00%),2 (10.00%),
Financial Assets - Savings,660.0,313 (91.52%),29 (8.48%),
Financial Assets - Savings,662.0,11 (78.57%),3 (21.43%),
Financial Assets - Savings,664.0,11 (91.67%),1 (8.33%),
Financial Assets - Savings,669.0,9 (81.82%),2 (18.18%),
Financial Assets - Savings,670.0,34 (94.44%),2 (5.56%),
Financial Assets - Savings,672.0,154 (94.48%),9 (5.52%),
Financial Assets - Savings,674.0,9 (90.00%),1 (10.00%),
Financial Assets - Savings,675.0,35 (92.11%),3 (7.89%),
Financial Assets - Savings,677.0,2 (66.67%),1 (33.33%),
Financial Assets - Savings,678.0,23 (85.19%),4 (14.81%),
Financial Assets - Savings,680.0,102 (95.33%),5 (4.67%),
Financial Assets - Savings,684.0,49 (90.74%),5 (9.26%),
Financial Assets - Savings,685.0,2 (66.67%),1 (33.33%),
Financial Assets - Savings,690.0,77 (92.77%),6 (7.23%),
Financial Assets - Savings,691.0,15 (93.75%),1 (6.25%),
Financial Assets - Savings,692.0,8 (88.89%),1 (11.11%),
Financial Assets - Savings,696.0,44 (97.78%),1 (2.22%),
Financial Assets - Savings,700.0,337 (93.87%),22 (6.13%),
Financial Assets - Savings,702.0,29 (90.62%),3 (9.38%),
Financial Assets - Savings,705.0,4 (66.67%),2 (33.33%),
Financial Assets - Savings,712.0,15 (78.95%),4 (21.05%),
Financial Assets - Savings,714.0,33 (94.29%),2 (5.71%),
Financial Assets - Savings,715.0,24 (92.31%),2 (7.69%),
Financial Assets - Savings,718.0,2 (66.67%),1 (33.33%),
Financial Assets - Savings,720.0,1898 (94.01%),121 (5.99%),
Financial Assets - Savings,723.0,2 (66.67%),1 (33.33%),
Financial Assets - Savings,725.0,2 (66.67%),1 (33.33%),
Financial Assets - Savings,726.0,23 (88.46%),3 (11.54%),
Financial Assets - Savings,727.0,6 (85.71%),1 (14.29%),
Financial Assets - Savings,728.0,13 (92.86%),1 (7.14%),
Financial Assets - Savings,731.0,7 (87.50%),1 (12.50%),
Financial Assets - Savings,732.0,31 (91.18%),3 (8.82%),
Financial Assets - Savings,734.0,10 (90.91%),1 (9.09%),
Financial Assets - Savings,735.0,10 (90.91%),1 (9.09%),
Financial Assets - Savings,738.0,14 (87.50%),2 (12.50%),
Financial Assets - Savings,740.0,63 (95.45%),3 (4.55%),
Financial Assets - Savings,741.0,12 (92.31%),1 (7.69%),
Financial Assets - Savings,744.0,41 (95.35%),2 (4.65%),
Financial Assets - Savings,748.0,6 (60.00%),4 (40.00%),
Financial Assets - Savings,749.0,10 (90.91%),1 (9.09%),
Financial Assets - Savings,750.0,189 (93.10%),14 (6.90%),
Financial Assets - Savings,756.0,56 (90.32%),6 (9.68%),
Financial Assets - Savings,760.0,88 (91.67%),8 (8.33%),
Financial Assets - Savings,767.0,6 (85.71%),1 (14.29%),
Financial Assets - Savings,768.0,124 (91.18%),12 (8.82%),
Financial Assets - Savings,770.0,52 (92.86%),4 (7.14%),
Financial Assets - Savings,774.0,16 (94.12%),1 (5.88%),
Financial Assets - Savings,777.0,2 (66.67%),1 (33.33%),
Financial Assets - Savings,780.0,292 (94.19%),18 (5.81%),
Financial Assets - Savings,782.0,3 (75.00%),1 (25.00%),
Financial Assets - Savings,785.0,1 (33.33%),2 (66.67%),
Financial Assets - Savings,786.0,16 (94.12%),1 (5.88%),
Financial Assets - Savings,787.0,8 (88.89%),1 (11.11%),
Financial Assets - Savings,790.0,27 (87.10%),4 (12.90%),
Financial Assets - Savings,792.0,144 (94.74%),8 (5.26%),
Financial Assets - Savings,795.0,22 (91.67%),2 (8.33%),
Financial Assets - Savings,799.0,10 (90.91%),1 (9.09%),
Financial Assets - Savings,800.0,399 (95.00%),21 (5.00%),
Financial Assets - Savings,802.0,13 (81.25%),3 (18.75%),
Financial Assets - Savings,804.0,55 (96.49%),2 (3.51%),
Financial Assets - Savings,806.0,18 (90.00%),2 (10.00%),
Financial Assets - Savings,808.0,6 (66.67%),3 (33.33%),
Financial Assets - Savings,810.0,100 (96.15%),4 (3.85%),
Financial Assets - Savings,816.0,76 (95.00%),4 (5.00%),
Financial Assets - Savings,820.0,72 (96.00%),3 (4.00%),
Financial Assets - Savings,822.0,20 (86.96%),3 (13.04%),
Financial Assets - Savings,824.0,13 (81.25%),3 (18.75%),
Financial Assets - Savings,825.0,13 (92.86%),1 (7.14%),
Financial Assets - Savings,828.0,63 (94.03%),4 (5.97%),
Financial Assets - Savings,830.0,33 (97.06%),1 (2.94%),
Financial Assets - Savings,834.0,5 (83.33%),1 (16.67%),
Financial Assets - Savings,836.0,7 (87.50%),1 (12.50%),
Financial Assets - Savings,840.0,761 (93.26%),55 (6.74%),
Financial Assets - Savings,842.0,11 (91.67%),1 (8.33%),
Financial Assets - Savings,843.0,4 (80.00%),1 (20.00%),
Financial Assets - Savings,845.0,10 (83.33%),2 (16.67%),
Financial Assets - Savings,846.0,14 (93.33%),1 (6.67%),
Financial Assets - Savings,848.0,14 (93.33%),1 (6.67%),
Financial Assets - Savings,850.0,89 (94.68%),5 (5.32%),
Financial Assets - Savings,851.0,8 (88.89%),1 (11.11%),
Financial Assets - Savings,852.0,23 (95.83%),1 (4.17%),
Financial Assets - Savings,854.0,6 (85.71%),1 (14.29%),
Financial Assets - Savings,855.0,11 (91.67%),1 (8.33%),
Financial Assets - Savings,856.0,11 (84.62%),2 (15.38%),
Financial Assets - Savings,860.0,78 (92.86%),6 (7.14%),
Financial Assets - Savings,862.0,1 (50.00%),1 (50.00%),
Financial Assets - Savings,864.0,209 (91.27%),20 (8.73%),
Financial Assets - Savings,866.0,7 (63.64%),4 (36.36%),
Financial Assets - Savings,870.0,90 (97.83%),2 (2.17%),
Financial Assets - Savings,872.0,10 (90.91%),1 (9.09%),
Financial Assets - Savings,875.0,11 (84.62%),2 (15.38%),
Financial Assets - Savings,878.0,7 (87.50%),1 (12.50%),
Financial Assets - Savings,879.0,3 (75.00%),1 (25.00%),
Financial Assets - Savings,880.0,86 (84.31%),16 (15.69%),
Financial Assets - Savings,881.0,3 (75.00%),1 (25.00%),
Financial Assets - Savings,882.0,8 (88.89%),1 (11.11%),
Financial Assets - Savings,883.0,4 (80.00%),1 (20.00%),
Financial Assets - Savings,884.0,17 (94.44%),1 (5.56%),
Financial Assets - Savings,888.0,41 (87.23%),6 (12.77%),
Financial Assets - Savings,890.0,19 (95.00%),1 (5.00%),
Financial Assets - Savings,893.0,16 (88.89%),2 (11.11%),
Financial Assets - Savings,896.0,17 (94.44%),1 (5.56%),
Financial Assets - Savings,900.0,784 (94.34%),47 (5.66%),
Financial Assets - Savings,901.0,2 (66.67%),1 (33.33%),
Financial Assets - Savings,910.0,48 (87.27%),7 (12.73%),
Financial Assets - Savings,912.0,59 (84.29%),11 (15.71%),
Financial Assets - Savings,913.0,9 (81.82%),2 (18.18%),
Financial Assets - Savings,915.0,10 (83.33%),2 (16.67%),
Financial Assets - Savings,920.0,75 (89.29%),9 (10.71%),
Financial Assets - Savings,921.0,3 (75.00%),1 (25.00%),
Financial Assets - Savings,922.0,9 (90.00%),1 (10.00%),
Financial Assets - Savings,924.0,79 (92.94%),6 (7.06%),
Financial Assets - Savings,925.0,15 (93.75%),1 (6.25%),
Financial Assets - Savings,930.0,64 (96.97%),2 (3.03%),
Financial Assets - Savings,936.0,137 (96.48%),5 (3.52%),
Financial Assets - Savings,937.0,1 (33.33%),2 (66.67%),
Financial Assets - Savings,938.0,4 (80.00%),1 (20.00%),
Financial Assets - Savings,940.0,70 (93.33%),5 (6.67%),
Financial Assets - Savings,944.0,7 (87.50%),1 (12.50%),
Financial Assets - Savings,945.0,19 (90.48%),2 (9.52%),
Financial Assets - Savings,948.0,27 (96.43%),1 (3.57%),
Financial Assets - Savings,950.0,81 (98.78%),1 (1.22%),
Financial Assets - Savings,954.0,13 (86.67%),2 (13.33%),
Financial Assets - Savings,956.0,24 (88.89%),3 (11.11%),
Financial Assets - Savings,960.0,1104 (92.70%),87 (7.30%),
Financial Assets - Savings,970.0,33 (94.29%),2 (5.71%),
Financial Assets - Savings,972.0,56 (93.33%),4 (6.67%),
Financial Assets - Savings,974.0,15 (88.24%),2 (11.76%),
Financial Assets - Savings,975.0,15 (78.95%),4 (21.05%),
Financial Assets - Savings,976.0,7 (87.50%),1 (12.50%),
Financial Assets - Savings,978.0,8 (88.89%),1 (11.11%),
Financial Assets - Savings,979.0,8 (88.89%),1 (11.11%),
Financial Assets - Savings,980.0,68 (93.15%),5 (6.85%),
Financial Assets - Savings,984.0,70 (98.59%),1 (1.41%),
Financial Assets - Savings,990.0,101 (93.52%),7 (6.48%),
Financial Assets - Savings,995.0,6 (85.71%),1 (14.29%),
Financial Assets - Savings,998.0,12 (85.71%),2 (14.29%),
