"writer","date","comment"
"cu**blue1004","2022.06.23","서현진 배우는 연기를 정말 잘하네요!몰입하면서 봤어요"
"da**252340","2022.06.23","배우들 연기가 너무 좋아요"
"nw**ld","2022.06.22","볼만합니다.치매무셔"
"coo영친2731","2022.06.21","젊은이가 알츠하이머에 걸리면, 어떻게 되는지에 대해서..."
"달래와나리","2022.06.21","눈물을 쏙 뽑는... 카시오체아"
"la**riposa21","2022.06.20","CASIOPEA.2022.0603"
"월하가인","2022.06.19","무겁고 쉽지않은 주제를 배우연기로 넘어간다"
"olivejin","2022.06.19","카시오페이 잘. 봤어요~~"
"캪틴큐","2022.06.19","재미있게 잘 보았습니다."
"송엔젤","2022.06.19","서현진 배우의 연기가 너무좋아요"
"파피파코니","2022.06.18","안성기배우님 오래오래 만나고 싶어요"
"yu**ho83","2022.06.18","잘 보고 왔습니다. 감사합니다"
"면목 까치","2022.06.18","현진언니 연기 진자 미쳤어요.."
"활동사진좋아","2022.06.18","두 분의 열연 잘 봤습니다."
"Steady","2022.06.17","Ubdjbgihxinb"
"아카시아나무81","2022.06.17","눈물이 주룩주룩 ㅜㅜ
치매는 현실이네요.
7.5/10"
"lh**301","2022.06.17","아프지 않고 행복했으면 좋겠다. 모두가"
"무지개과자","2022.06.17","배우의 연기는 훌륭하였으나 영화 보는내내 힘들게 느껴지진 했다."
"we**v89","2022.06.17","여운이 남는 작품 입니다 추천해요"
"li**anbyeol","2022.06.17","별로예요별로예요별로"
"한희망","2022.06.16","카시오페아 잘봤어요 짱이에요 ㅎㅎ"
"허춘덕","2022.06.16","캐릭터에 완벽하게 녹아든 서현진의 연기"
"wo**oon8","2022.06.16","서현진님 연기 잘하셔서 가슴 아파요"
"구로다","2022.06.16","우리 인생에 언제라도 벌어질 수 있는 얘기"
"ka**l3126","2022.06.16","감동적인 휴먼 스토리!"
"키티","2022.06.16","오랜만에 안성기님의  연기좋아요"
"코난과 김전일","2022.06.16","울 것 같아서 관람 못했어요"
"hy**seok45","2022.06.15","카시오페아...~~~"
"so**yang49","2022.06.15","카시오페아 카시오페아"
"ca**ediemq","2022.06.15","카시오페아 카시오페아."
"박감독 mom","2022.06.15","가장 빛나는 별을
의미화하여
치매를 도드라지게하는
독특한 스토리의 영화다."
"ki**erlysuki","2022.06.15","너무 좋았던 영화…안성기 서현진씨의 연기에 눈물이 또르륵 ㅠㅠ"
"sbsss222","2022.06.14","연기가 아주 인상깊었습니다."
"pj522222","2022.06.14","영화 감동적이었어요."
"hee4444","2022.06.14","카시오페아 잘봤습니다."
"ls**40861","2022.06.14","영화 그 이상의 감동,,,"
"bsh","2022.06.14","슬프네요 너무 슬프네요"
"pm**11","2022.06.14","안성기 배우님에 연기는 압권이었어요!"
"chocho.","2022.06.14","서현진 연기 너무 살벌해서 끝나고 눈물 펑펑"
"겐시로","2022.06.14","카시오페아 소소한재미"
"lk**590","2022.06.14","두연기자의 조합 색다름"
"st**happyman","2022.06.14","배우들의 일품 연기가 좋았습니다."
"미르5364","2022.06.13","배우의 압도적인 표정 연기가 돋보이는 영화!!"
"동원이지","2022.06.13","배우들의 연기만큼은 최고."
"me**y30","2022.06.13","별처럼 반짝이는 마음의 영화"
"jawoo","2022.06.13","잼있어요잘봤습니다."
"미니인절미","2022.06.13","기대보다 훨씬 더 좋았네요."
"ha**yharu26","2022.06.13","지극히 현실적인 소재여서 더 공감가고 감동적이었어요"
"al**qaf","2022.06.13","흠~조금 아쉬웠어요."
"ha**65","2022.06.13","몰입할 수밖에 없는 연기에 저절로 눈물이 나오네요"
"di**l2525","2022.06.13","안타까운 상황 속에서 가족들의 사랑을 느낄 수 있는 따뜻한 영화였어요"
"ch**ls11046","2022.06.13","서현진배우의 연기가 정말 좋았어요"
"wl**d63","2022.06.13","슬프고 감동적인 부성애 이야기"
"2s**blue","2022.06.13","병 자체보다 이면의 사람을 보는 신연식의 인장"
"sm**eally","2022.06.13","So, so normal."
"dr**ming0816","2022.06.13","잘봤습니다~~~~!"
"js**grae70","2022.06.13","치매에 관한 시선이 돋보이네요. 잘봤어요"
"스타워즈","2022.06.13","배우들의 연기가 너무 좋았네요.."
"sa**a0429","2022.06.13","서현진 언니의 첫 주연 영화 좋았어요~!"
"mo**lightoh","2022.06.13","감동적으로 잘봤습니다."
"ho**cplus","2022.06.13","배우들의 연기 너무 좋았어요"
"ej**610","2022.06.13","잘봤습니다. 재밌었습니다. 괜찮아요."
"ui**4bro","2022.06.13","잘봤습니다. 배우들이 고생했을 것 같네요."
"lo**127","2022.06.13","괜찮게봣습니다. 영화 좋았습니다."
"he**incj","2022.06.13","배우들 연기가 아주 좋아요. 잘봤습니다."
"ki**kookoo48","2022.06.13","좋은 영화였습니다. 좋습니다."
"kk**osso","2022.06.13","잘봤습니다. 연기 좋았습니다."
"sa**sik45","2022.06.13","안성기 서현진 주예림 세분 연기가 다 좋으네
진짜 부녀같고 모녀같아 @.@"
"릴리77","2022.06.13","슾픈현실 ㅠㅠ 서현진 연기 굿"
"박신자","2022.06.13","연기력은 좋으나 내용이 암울해짐"
"us**609","2022.06.13","잘봤네요.ㄱㄱㄷ?ㅡ1"
"zj**hs44","2022.06.13","ㅡ잘?봤어요.0292"
"jo**316","2022.06.13","goodgoodgood"
"bo**n0511","2022.06.13","애틋한 동행이란 표현이 정말 와닿았어요"
"블랙잭","2022.06.13","섬세한 감정선을 잘표현한 영화"
"쥬디","2022.06.13","간병하는건 정말 쉽지 않은거 같아요"
"가니어","2022.06.13","알츠하이머의 삶에 대해 조금은 알게되었다"
"아자비이","2022.06.13","담담하게 눈물을 자극하네요"
"sc**4098","2022.06.13","배우들의 훌륭한 연기, 그러나 산으로 가는 이야기가 치명적인."
"Guhhb","2022.06.13","주인공과 배우들에 감정연기가 단연 돋보였어요~"
"sk**iew48","2022.06.13","보기전부터 두 배우의 연기가 너무 기대됐던 작품"
"소풀","2022.06.13","잘쉬다갑니다.,,.,.,"
"fo**verjhh","2022.06.13","배우들의 연기가 좋았아요 영화 너무 잘봤습니다~!"
"os**621","2022.06.13","경쟁사회에서  파르게 확산돌 수 잏는 문제다.슬프기도하지만 적합한 대응시스템을 구축해야살 듯"
"MILOCRORZE","2022.06.13","슬프면서 괜찮았던 영화^^"
"아카시아나무","2022.06.13","즐거운 주말에 재미있게 관람했어요! 역시 좋으네요!"
"qq**123","2022.06.13","영화끝나고 여운이 길게남아 영화관에서 나오기 싫었어요
사랑하는 사람들이 많이 생각나는 영화"
"mi**et007","2022.06.13","가슴이먹먹해집니다 추천합니다"
"cj**v9","2022.06.13","물오른 서현진 연기와 안정적 내공의  안성기의 연기"
"ziGy","2022.06.13","서현진의 연기가 인상 깊었다"
"요괴돼지","2022.06.13","안성기, 서현진 배우님!
늘 응원합니다!"
"ja**aa10","2022.06.13","영화나 드라마 이야기로 자주사용되어지는 내용이지만
볼때마다 가슴이 아프네요...
배우들의 연기가 가슴에 와닿습니다"
"줄스","2022.06.12","북극성으로 안내하는 길잡이별처럼 아버지의 사랑은 아련하면서도 애틋하게 빛을 발한다."
"삼각지는 사거리다","2022.06.12","비슷한 소재의 다른 영화나 드라마와 크게 다른 점은 없었지만 서현진이 쉽지 않은 연기를 보여줬단 것만은 분명하다."
"Bongs Lab","2022.06.12","캐릭터에 입체감을 불어넣은 서현진의 몰입"
"su**joonkjh","2022.06.12","괜찮았어요. 추천합니다."
"bo**n511","2022.06.12","너무 공감되는 이야기라 슬펐어요"
"dn**1016","2022.06.12","나의 길을 잡아주는 가족"
"su**ess9090","2022.06.12","오랜만에 다시 보고 싶은 영화"
"시현","2022.06.12","다시 시작된 육아, 다시 쌓아 올리는 추억."
"카르타","2022.06.12","안성기와 서현진 두배우의 연기 좋았습니다"
"ww**cwwwawow","2022.06.12","스토리가 맘에든다 ㅎㅎ"
"V12타이거즈","2022.06.12","안성기, 서현진 주연의 카시오페아"
"hy**park88","2022.06.12","굳이 넣었어야 했나 싶은 장면이 있어서 아쉬웠습니다."
"cj**057","2022.06.12","배우들의 연기가 더욱 눈물짓게 한다."
"Y냥","2022.06.12","슬픈이야기지만 담담하게 연출하고, 배우들도 차분하게 연기해서 더 짠하네요"
"호랑이","2022.06.12","카시오페아 잘 봤습니다"
"갓타","2022.06.12","감정이 너무 과잉되어서 아쉽다.
그래도 신연식 감독이니까 평타는 친다."
"ci**e4u","2022.06.12","초로기치매라는 생소한 부분을 소재로 한 것이 참신하였지만 뭔가 작위적인 느낌은 지울 수 없다 하지만 눈물은 흐른다"
"ps**eri","2022.06.12","서현진과 안성기의 연기력이 돋보인 영화
알츠하이머에 대해서 생각해 보게 되는 시간이었음"
"su**0310","2022.06.12","예측이 가능한 내용과 결말의 가족극!"
"jm**607","2022.06.12","가슴이 먹먹한 내용에 슬퍼서 눈물남!"
"hr**79","2022.06.12","마음을 울리는 내용에 취해서 슬퍼짐!"
"hu**onp","2022.06.12","가슴에 뜨거운 여운을 남기는 가족극!"
"밀캉","2022.06.12","길을 잃었을 때 큰 중심이 되어주는 빛, 카시오페아"
"김데레","2022.06.12","카시오페아 카시오페아"
"ap**ss","2022.06.12","안상기 이제는 떠날 때 인가? 아쉽다."
"sy**ee0420","2022.06.12","감동적이고 볼만한영화였다"
"Duffy","2022.06.12","서현진 배우 연기ㅠㅠ 재밌게 봤습니다"
"blueeee","2022.06.12","연기가 정말 좋았고 감동적인 영화예요"
"hs**686","2022.06.12","갑작스레 다가오니 더 아프고 슬프다"
"ca**tt80","2022.06.12","배우들 연기가 너무 좋았습니다."
"du**hks7862","2022.06.12","좋은 영화 감사합니다."
"yu**h00","2022.06.12","좋았습니다~~ 간만ㅇ[ㅔ"
"dl**dnjs00","2022.06.12","딕션이 정말 좋으신배우들"
"un**somtoyou","2022.06.12","잘보고왔습니다 ㅎㅎㅎ"
"qk**ghdi","2022.06.12","볼만했어요 볼만했어요"
"w30254","2022.06.12","볼만했어요 볼만했어요"
"ba**ok7","2022.06.12","슬프지만 뭔가 어색해요."
"sumi285","2022.06.12","안성기배우님 간만입니다."
"cinevip","2022.06.12","ㅠㅠ 안타깝네요. 무료쿠폰으로 잘봤습니다."
"yi**0116","2022.06.12","서현진 배우의 연기 정말 최고였습니다. 수진이 울때마다 저도 눈물이 흐르더라구요 .쉽지 않은 역할이고 작품이었을텐데 훌륭하게 해내신 거 같아요! 정말 잘봤습니다."
"kt**27","2022.06.12","영화 <카시오페아> 잘 봤습니다."
"hc**54","2022.06.11","볼만했어요~~~^^"
"영화보는짱오씨","2022.06.11","치매에 대하여 들은 것보다 직접 보고서 더 자세히 알았다고 생각합니다. 배우들의 연기가 더 좋았어요."
"ㄹㄹㄹ","2022.06.11","가슴뭉클. 아주 쟐 봤습니다."
"행복해","2022.06.11","가슴 아프게 잘 봤습니다. 그 병에 대해 생각해 볼 수 있게도 해주네요."
"na**ung13","2022.06.11","상황이 너무 작위적이고 과한 연기"
"fl**er2316","2022.06.11","잼있어요잘봤습니다."
"툐툐료","2022.06.11","내게도 카시오페아 같은 길잡이가 있었으면"
"bo**25","2022.06.11","이렇게 담담하게 눈물이 나게 하네요"
"id**by","2022.06.11","두 배우의 연기에 감탄하고 갑니다"
"sm**ang217","2022.06.11","어렸을때는 아빠와의 많은 시간을 갖지 못했고, 성인이 된 후에는 또 딸과 남편이랑 떨어져 지내야하는 수진.
그렇게 행복하고 좋은시간을 많이 갖지 못했을 그녀에게 냉혹한현실은 알츠하이머까지 준다..ㅠ 
서현진배우님의 미친듯한 연기에 더욱 몰입되어서 봤네요.."
"Haisley","2022.06.11","눈물을 많이 흘렸어요ㅠㅠ"
"so**1247","2022.06.11","알츠하이머에 걸린 딸을 간병하는 아버지 모습을 보며 가슴 먹먹했던 영화. 무엇보다 서현진 배우님의 연기가 압도적이라 더욱 슬펐던거 같다."
"sm**inggipsy","2022.06.11","Cassiopeia"
"ky**26","2022.06.11","서현진, 안성기씨 연기 최고입니다."
"ro**15400","2022.06.11","슬퍼서 눈물샘이 고장남"
"네버랜드","2022.06.11","부모님 나이때 즉 나이가 들어 걸린 치매가 아닌 젊은 나이에 걸린 초로기 치매를 소재로 만들어져 또 다른 울림을 준 영화 카시오페아.
서로에게 든든한 힘이 되어주는 가족의 이야기를 별자리 카시오페아를 빌어 배우들의 연기로 채워졌다."
"이자식아","2022.06.11","연기파티 였어요ㅠㅠ 너무 좋았습니다 ㅠㅠ"
"윤또신","2022.06.11","음 나름 신선??햇다고해야하나?..."
"SKY(스카이)","2022.06.11","나쁘지 않았어요. 꼭 보세요."
"복이다","2022.06.11","소재나 연기는 나쁘지 않으나 좀 너무 어둡고 억지스럽기도 하다"
"갈색머리 앤","2022.06.11","서현진배우의 텅빈거 같은 눈빛연기가 좋았어요. 아버지와 딸로 설정한 것도 좋았구요. 다만 스토리가 마지막에 힘이 빠진거 같은 느낌이 아쉽네요"
"지존대로","2022.06.11","좋았어요~! 좋았어요"
"ir**e4ucj","2022.06.11","배우분들 연기가 너무 실감나네요"
"co**stone77","2022.06.11","서현진 연기가 너무 좋았어요"
"bs**lkyway9","2022.06.11","너무 슬픈 내용.안타까울뿐"
"wa**99","2022.06.11","별로입니다 별로입니다"
"ti**eb2","2022.06.11","너무너무너무 재미있게 잘 봤습니다"
"an**hanycj","2022.06.11","슬펏어요…무거운영화네요"
"현정 임","2022.06.10","현실과 비현실의모호한 경계"
"siwith","2022.06.10","점점 아이가 되어가는 엄마
빨리 어른이 되어가는 아이
그리고 뒤늦게 딸의 뒷바라지를 묵묵히 시작하는 아빠"
"그윈플렌","2022.06.10","너무나도 마음아픈 스토리다. 내 사람이 격는다고 생각하니 상상만으로도 눈물이 난다. 단순한 스토리라인이지만 감정만은 단순하지 않다. 배우들의 열연이 빛났다"
"jj**on0221","2022.06.10","잘봤습니다~~~!!"
"zzoaaaa","2022.06.10","ㅅㄴㅅㄴㅂㄴㅅㄹㅎㄴ
ㄷㅅㄴㅍㄷㅅㄷㅅ
종ㅈ아요"
"LIme","2022.06.10","담담하게 ... 사실 잊는다는건 참 슬프다"
"ki**un0033","2022.06.10","서현진 배우의 연기에 감탄했습니다. 연기 정말 너무 잘 하셨어요!!"
"ha**809i","2022.06.10","잘 봤습니다.
연기력에 박수를 보냅니다."
"h5**12th","2022.06.10","늦어서 앞 부분을 많이 못 보긴 했지만 배우들 연기 너무 좋았고 그래서 너무 가슴 아팠던 영화.
영화를 다시 회상하기만 해도 장면장면이 떠올라 눈물이 저절로 나온다"
"앙코79","2022.06.10","남녀의 진실성 있는 감성 역할이 진솔했습니다."
"헌터","2022.06.10","공포 그 자체인 알츠하이머"
"쭈미찡어","2022.06.10","잘 봤습니다 잘 봤습니다 잘 봤습니다 잘"
"찡징어","2022.06.10","잘 받았습니다 잘 받았습니다 잘 받았습니다"
"신자운","2022.06.10","연기자분들의 연기가 영화에 몰입할 수 있도록 도왔어요! 울면서 잘 감상했습니다 ㅠㅠ"
"김레전드","2022.06.10","좋습니다. 감사합니다."
"za**whitney","2022.06.10","dhhfghtdhh"
"cs**60812","2022.06.10","fjddjjyehiud"
"s9**3018","2022.06.10","보는내내 눈물이 나는 영화네요~~^^
정말 최고에요"
"제임 스님","2022.06.10","겪고 싶지않은 가혹함."
"sa**0103","2022.06.10","예매해놓고 못봤네요;;;;"
"rm**s3","2022.06.10","현실인듯 판타지인듯 그 경계선에서 왔다갔다, 배우들의 명연기에 감탄하며 봤습니다. 휴지 꼭 챙기셔요!"
"jm**yung","2022.06.10","가족 관람 추천해요 이제 믿고 보는 서배우"
"DoosanBears","2022.06.10","배우들의 현실적인 연기가 좋았던 영화"
"예인95","2022.06.10","배우들의 연기가 좋았습니다. 볼수록 대사를 생각하게되고, 상황을 생각하게되는 영화네요"
"to**gkaqkr","2022.06.10","영화 너무 좋게 봤습니다."
"팡지수","2022.06.10","폭풍눈물..옆좌석 중년 남성분이 5분에 한번씩 한숨 쉬며 울던 영화입니다 모든 배우들의 연기로 만들어낸 눈물"
"s9**4043","2022.06.10","배우들의 연기가 좋았어요~"
"aooa1014","2022.06.10","세상 무너지는 연기  보는 내내 울컥"
"재범사랑","2022.06.10","슬프지만 괜찮았습니다.."
"le**3570","2022.06.10","감동적으로 잘봤어요..."
"1쑥","2022.06.10","슬프고 연기가 너무 좋았어요!"
"spin","2022.06.10","그냥 그럭저럭 볼만했습니다"
"bluepils","2022.06.10","보이지 않는 어둠이 불현듯 찾아왔을 때, 카시오페아가 북극성을 알려줄까?"
"re**slow09","2022.06.10","의미 있는 영화의 모습이 보인다"
"프라이버시","2022.06.10","완벽한삶하지만건강이우선 힘들땐 가족이최고"
"자유별지구인","2022.06.10","서사보다 배우열연이 살린 작품"
"fl**36","2022.06.10","규칙적으로 행동하면 몸이 기억한다. 이건 맞는 말인 것 같네요. 눈빛연기가 좋았어요. 책도 읽어 볼 기회가 있으면..."
"nm**228","2022.06.10","그냥 저냥 그럭 저럭 그래요"
"주술회전0","2022.06.10","영화  좋았네요. 잘 보았습니다"
"03**afa","2022.06.10","카시오페아  영화 좋았습니다"
"zk카툰","2022.06.10","카시오페아  영화도 좋고 배우들 연기도 좋네요"
"눈빛마음103","2022.06.10","재미있어요. 추천합니다."
"말랑찹쌀마리모","2022.06.10","재밌었습니다 볼만해요"
"qk**dbwns12","2022.06.10","그럭저럭 볼만했어요 저랑안맞긴하지만 그건개인취향이니까ㅎㅎ"
"이너브","2022.06.10","현실적인 얘기라 더 와닿았어요"
"ti**eb9","2022.06.10","너무너무너무 재미있게 잘 봤습니다"
"익시더즈","2022.06.10","서현진 배우의 연기가 정말 좋았다"
"whalei","2022.06.10","카시오페아 잘 봤습니다"
"jayon","2022.06.10","배우들 연기가 좋았습니다"
"스카이맘신","2022.06.10","진짜 있을수도 있는 일이다"
"노에시스","2022.06.10","볼 만한 영화였습니다."
"limow","2022.06.10","연기도 연출도 너무 좋았던 영화. 후회하지 않을 작품입니다. 이런 영화가 많아졌으면 좋겠습니다. 부모님과 함께 보아도 좋을 것 같은 영화입니다."
"ky**si","2022.06.10","누구에게나 갑자기 생길수 있는 일..ㅠㅠ"
"boss3639","2022.06.09","길을 잃어버린 이에게 길을 잃지 않게 해주는 ""카시오페아"" 처럼, 가족관계와 가까운관계 사람들의 소중함을 느끼게 해주는 작품!"
"ki**827","2022.06.09","재미있게 보았습니다~~~"
"ct**813","2022.06.09","영화 재미나게 잘 봤습니다"
"로보캅21","2022.06.09","재미있게 잘 보았네요~~"
"ji**2332","2022.06.09","좋은 영화 상영관이 작아 아쉽네요"
"gr**dy1024","2022.06.09","현실적인 연기가 인상적이네요"
"vi**etnuage9","2022.06.09","연기가 정말 리얼하네요"
"bo**bong57","2022.06.09","현실적으로 잘 봤어요~!"
"멜버르너","2022.06.09","슬프지만 잘 봤어요 ㅜㅜ"
"TOM FORD","2022.06.09","배우들의 열연이 돋보인 영화"
"고영희구출작전","2022.06.09","스크린에서 점점 안성기배우를 볼 수 있는 횟수가 적어지고 있는 요즘, 배우를 다시 볼 수 있던 점은 좋았다."
"스텔라","2022.06.09","슬픈 이야기이지만 배우들의 연기가 좋았던 영화"
"sh**sdhr","2022.06.09","여자주인공 연기도 좋은데, 딸 역 아역배우도 연기가 좋았어요. 줄거리도 좋았어요"
"화 랑","2022.06.09","끝 마무리에서 환자가 혼자서 걸어서 집에복귀한다 등 전체적으로 결말이 안좋음."
"ir**asumi662","2022.06.09","한 번 더 보고싶습니다."
"na**e72","2022.06.09","펑펑 울다 왔어요. 감동 ㅠㅠㅠ"
"그레토스","2022.06.09","배우들의 연기가 좋았고 보고 나서 슬폈다."
"아작","2022.06.09","인생 영화 갱신작입니다!"
"Yㆍ","2022.06.09","배우분들의 연기가 좋았어요"
"빨간머리앤","2022.06.09","만약 우리가족에게 아니 나에게 이런일이 닥친다면 ㅜㅜㅜ 생각만해도 너무 힘들다
안성기 대배우의 연기가 너무 좋았다"
"오땅오땅","2022.06.09","좋았습니다 좋았습니다"
"애사","2022.06.09","그 누구 하나 연기가 빠지지 않고 일부러 쥐어짜내는 눈물이 아니라 그냥 보고 있으면 눈물이 났어요... 서현진 짱 ♡"
"cloud9gs","2022.06.09","별로예요@★★♥♥
$0"
"cloud9si","2022.06.09","별로예요@★★♥♥
$0"
"멍들","2022.06.09","안성기 배우의 연기가 정말 좋아요"
"휘파람공주","2022.06.09","누구에게도 자유로울 수 없는일! 가족의 눈물겨운사랑과 헌신이 아팠다 서현진 연기...안성기님의 연기...정말 정말 대단하심!!"
"하루솜","2022.06.09","배우분들 연기 좋았고..  너무 슬프네요ㅠㅠ"
"지연우기","2022.06.09","서현진 배우님의 연기가 돋보이는 영화"
"ROM.Y","2022.06.09","시작하고 10분 지나서부터 내내 눈물. 몸이 덜덜 떨릴 정도로 운 영화는 처음이야"
"rd**78k","2022.06.09","카시오페아가 되고 싶은 우리들"
"밍구리 김민주","2022.06.09","모 배우가 TV드라마 연기를 너무 열심히 해서 몰입이 좀 덜 됐다"
"빅오-쇼타임","2022.06.09","서현진 연기 진짜 최고입니다."
"su**2299","2022.06.09","sososo...."
"ㆍㆍㆍㆍ","2022.06.09","안성기 배우님의 영화는 재미 없을수 가 없다"
"sd**21","2022.06.09","영화 보고 갑니다 ㅎㅎㅎ"
"3년차신입","2022.06.09","나쁘지 않았습니다 마지막에 살짝 울컥했네요"
"kg**2330","2022.06.09","반대로 생각해보다. .."
"pa**46","2022.06.09","소재의 대상의 역방향."
"ki**h0827","2022.06.09","카시오페어 좋았어요~^^"
"js**jh21","2022.06.09","배우들의 연기가 빛을 냈던 영화!!"
"cs**321","2022.06.09","배우들의 연기도 좋았고 영화도 슬퍼서 몰입해서 봤어요."
"ph**om","2022.06.09","이런일을 상상만해도 너무 슬프네요. 극장안이 눈물바다였어요."
"al**mee","2022.06.09","....,,  ..and"
"mo**cho","2022.06.09","....,,,,gz"
