,source,target,weight
222,abuse,significantly,9
223,abuse,focus,4
224,abuse,uganda,1
225,abuse,harassment,1
226,abuse,cultural,2
227,abuse,domestic,2
228,abuse,reduction,4
229,abuse,investigations,2
230,abuse,reflect,1
231,abuse,exclusion,1
232,abuse,american,3
233,abuse,elder,20
234,abuse,higher,7
235,abuse,varied,2
236,abuse,mental,3
237,abuse,experiences,4
238,abuse,intervention,8
239,abuse,suggest,1
240,abuse,china,3
241,abuse,research,12
242,abuse,present,4
243,abuse,scale,2
244,abuse,psychological,10
245,abuse,financial,24
246,abuse,good,1
247,abuse,program,1
248,abuse,59,2
249,abuse,25,3
250,abuse,2,3
251,abuse,seventyfive,1
252,abuse,shelter,1
253,abuse,recognized,2
254,abuse,442,1
255,abuse,252,1
256,abuse,112,1
257,abuse,83,1
258,abuse,consistently,1
259,abuse,responsible,1
260,abuse,phenomenon,2
261,abuse,malaysia,2
262,abuse,measured,1
263,abuse,modification,1
264,abuse,profiles,1
265,abuse,reported,16
266,abuse,common,12
267,abuse,occurrences,1
268,abuse,aor,3
269,abuse,occurred,2
270,abuse,indicate,1
271,abuse,grow,1
272,abuse,noninstitutional,1
273,abuse,especially,4
274,abuse,effective,3
275,abuse,holding,1
276,abuse,african,3
277,abuse,range,2
278,abuse,improving,2
279,abuse,veterans,2
280,abuse,furthering,1
281,abuse,vha,1
282,abuse,prevention,7
283,abuse,include,4
284,abuse,implemented,1
285,abuse,preventing,1
286,abuse,communication,1
287,abuse,discussion,2
288,abuse,type,10
289,abuse,characteristics,7
290,abuse,resource,2
291,abuse,identifying,3
292,abuse,ncea,2
293,abuse,alleged,1
294,abuse,1939,1
295,abuse,commonly,2
296,abuse,types,10
297,abuse,likely,7
298,abuse,unique,1
299,abuse,victims,29
300,abuse,related,4
301,abuse,discrimination,1
302,abuse,covid19,6
303,abuse,pandemic,3
304,abuse,intentional,1
305,abuse,group,1
306,abuse,interventionprevention,2
307,abuse,occurs,3
308,abuse,native,3
309,abuse,incredibly,1
310,abuse,literature,5
311,abuse,components,2
312,abuse,trusted,1
313,abuse,suspicion,8
314,abuse,screening,33
315,abuse,experts,4
316,abuse,expertsn,1
317,abuse,contextspecific,1
318,abuse,andor,8
319,abuse,pilot,1
320,abuse,associated,13
321,abuse,estimated,6
322,abuse,exploitation,3
323,abuse,detecting,1
324,abuse,challenging,1
325,abuse,investigate,3
326,abuse,overall,1
327,abuse,18,2
328,abuse,cases,19
329,abuse,contribute,1
330,abuse,key,2
331,abuse,result,2
332,abuse,depressive,1
333,abuse,mistreatment,9
334,abuse,neglecta,1
335,abuse,health,5
336,abuse,late,3
337,abuse,sleep,1
338,abuse,81,1
339,abuse,contributed,1
340,abuse,useful,1
341,abuse,emergency,3
342,abuse,innovative,1
343,abuse,aps,2
344,abuse,detection,5
345,abuse,forms,1
346,abuse,sexual,10
347,abuse,conducted,4
348,abuse,17,3
349,abuse,3,2
350,abuse,statistically,2
351,abuse,total,3
352,abuse,interventions,4
353,abuse,level4,1
354,abuse,depression,10
355,abuse,important,8
356,abuse,92,1
357,abuse,182,1
358,abuse,44,1
359,abuse,general,1
360,abuse,t3865,1
361,abuse,t2924,1
362,abuse,t3127,1
363,abuse,t5719,1
364,abuse,encompasses,1
365,abuse,including,10
366,abuse,abuse,15
367,abuse,actually,1
368,abuse,perpetrated,2
369,abuse,systematic,3
370,abuse,increasingly,3
371,abuse,perceived,2
372,abuse,victim,3
373,abuse,evaluating,1
374,abuse,training,5
375,abuse,consequences,4
376,abuse,imperative,2
377,abuse,mandated,1
378,abuse,sample,2
379,abuse,kama,1
380,abuse,uk,2
381,abuse,provides,1
382,abuse,india,2
383,abuse,impacts,1
384,abuse,focused,1
385,abuse,compared,6
386,abuse,nursing,18
387,abuse,nh,2
388,abuse,resident,1
389,abuse,leads,1
390,abuse,exploratory,1
391,abuse,recent,1
392,abuse,glimpse,1
393,abuse,76,1
394,abuse,feel,1
395,abuse,limited,3
396,abuse,occurring,6
397,abuse,increases,1
398,abuse,resulting,1
399,abuse,caregiver,7
400,abuse,emotional,13
401,abuse,likewise,1
402,abuse,case,6
403,abuse,crosssectional,5
404,abuse,measurement,1
405,abuse,disregarding,1
406,abuse,assess,2
407,abuse,82,1
408,abuse,12,3
409,abuse,terms,2
410,abuse,111,2
411,abuse,increased,2
412,abuse,frequency,1
413,abuse,relevant,2
414,abuse,severity,9
415,abuse,collaboration,2
416,abuse,confrontation,1
417,abuse,identified,7
418,abuse,assist,2
419,abuse,residential,5
420,abuse,global,4
421,abuse,evident,1
422,abuse,residents,1
423,abuse,aged,2
424,abuse,synergistic,1
425,abuse,rarely,2
426,abuse,life,4
427,abuse,integrated,1
428,abuse,assert,1
429,abuse,informed,1
430,abuse,elderly,24
431,abuse,growing,3
432,abuse,safety,1
433,abuse,canada,2
434,abuse,typically,1
435,abuse,united,3
436,abuse,focusing,2
437,abuse,statutes,1
438,abuse,furthermore,1
439,abuse,highly,1
440,abuse,topics,1
441,abuse,increase,1
442,abuse,implementation,2
443,abuse,hidden,2
444,abuse,major,1
445,abuse,reportedly,1
446,abuse,theft,1
447,abuse,home,3
448,abuse,national,2
449,abuse,developed,2
450,abuse,neglected,3
451,abuse,rural,6
452,abuse,hwaleksengstock,1
453,abuse,243,1
454,abuse,502,1
455,abuse,primary,5
456,abuse,302,1
457,abuse,communitydwelling,6
458,abuse,pervasive,2
459,abuse,remains,2
460,abuse,data,4
461,abuse,included,7
462,abuse,respect,1
463,abuse,114,1
464,abuse,populationbased,1
465,abuse,pressing,1
466,abuse,results,8
467,abuse,relative,1
468,abuse,findings,5
469,abuse,protect,1
470,abuse,lebanon,1
471,abuse,preventable,1
472,abuse,beirut,1
473,abuse,seemingly,1
474,abuse,requires,1
475,abuse,public,2
476,abuse,pediatric,1
477,abuse,patients,3
478,abuse,fracture,2
479,abuse,multiple,3
480,abuse,multivariate,2
481,abuse,heightened,1
482,abuse,considered,2
483,abuse,norwegian,1
484,abuse,1,2
485,abuse,156,1
486,abuse,different,4
487,abuse,issue,3
488,abuse,94,1
489,abuse,39,1
490,abuse,24,2
491,abuse,65,2
492,abuse,78,1
493,abuse,11,2
494,abuse,14,1
495,abuse,tests,1
496,abuse,frequent,2
497,abuse,homedwelling,1
498,abuse,essential,1
499,abuse,iran,4
500,abuse,violation,2
501,abuse,hospitalized,5
502,abuse,multidimensional,1
503,abuse,recommended,1
504,abuse,implementing,1
505,abuse,significant,7
506,abuse,forensic,8
507,abuse,postintervention,1
508,abuse,preintervention,1
509,abuse,addressed,1
510,abuse,potential,2
511,abuse,nationwide,1
512,abuse,defined,3
513,abuse,5,3
514,abuse,reporting,4
515,abuse,study,13
516,abuse,need,4
517,abuse,bibliometric,1
518,abuse,emerging,1
519,abuse,published,2
520,abuse,originated,1
521,abuse,relatively,2
522,abuse,studied,1
523,abuse,underresearched,1
524,abuse,based,1
525,abuse,predictors,2
526,abuse,children,1
527,abuse,elicited,1
528,abuse,tool,1
529,abuse,commonest,1
530,abuse,univariate,1
531,abuse,respondents,1
532,abuse,ground,1
533,abuse,provide,4
534,abuse,relationship,3
535,abuse,questionnaire,5
536,abuse,413,1
537,abuse,343,2
538,abuse,level,1
539,abuse,larger,1
540,abuse,female,3
541,abuse,given,4
542,abuse,europes,1
543,abuse,currently,2
544,abuse,passed,1
545,abuse,means,1
546,abuse,seen,2
547,abuse,documented,1
548,abuse,south,2
549,abuse,globally,1
550,abuse,screen,6
551,abuse,validation,1
552,abuse,turkey,2
553,abuse,majority,2
554,abuse,641,1
555,abuse,126,2
556,abuse,complex,1
557,abuse,future,3
558,abuse,adopt,1
559,abuse,prevalent,4
560,abuse,reagerap,1
561,abuse,geriatric,2
562,abuse,content,2
563,abuse,cronbachs,1
564,abuse,initial,1
565,abuse,prevalence,7
566,abuse,recognised,1
567,abuse,157,1
568,abuse,68,3
569,abuse,42,2
570,abuse,09,1
571,abuse,metaanalysis,1
572,abuse,revealed,1
573,abuse,affect,1
574,abuse,found,5
575,abuse,206,1
576,abuse,half,1
577,abuse,underreported,1
578,abuse,participants,4
579,abuse,similar,2
580,abuse,descriptions,1
581,abuse,younger,1
582,abuse,contexts,1
583,abuse,randomized,1
584,abuse,baseline,1
585,abuse,wilcoxon,1
586,abuse,warrants,1
587,abuse,perpetration,5
588,abuse,studies,2
589,abuse,thrive,1
590,abuse,leverage,1
591,abuse,healthcare,4
592,abuse,underdetection,1
593,abuse,wide,1
594,abuse,07783,1
595,abuse,01677,1
596,abuse,0592,1
597,abuse,low,1
598,abuse,online,2
599,abuse,awareness,6
600,abuse,ninetysix,1
601,abuse,improvement,1
602,abuse,exacerbate,1
603,abuse,1198,1
604,abuse,02,1
605,abuse,verbalemotionalpsychological,1
606,abuse,geriatrics,4
607,abuse,consultation,1
608,abuse,pediatrics,3
609,abuse,evidence,3
610,abuse,impact,1
611,abuse,assessed,4
612,abuse,respectively,2
613,abuse,890,1
614,abuse,86,1
615,abuse,49,1
616,abuse,468,1
617,abuse,factors,4
618,abuse,individuals,2
619,abuse,escalating,1
620,abuse,comorbid,2
621,abuse,khat,1
622,abuse,418,1
623,abuse,magnitude,1
624,abuse,considering,1
625,abuse,longterm,5
626,abuse,oldest,1
627,abuse,relationships,1
628,abuse,fipv,1
629,abuse,review,2
630,abuse,dementia,3
631,abuse,accusations,1
632,abuse,form,2
633,abuse,gps,1
634,abuse,intergenerational,1
635,abuse,fatality,2
636,abuse,matters,1
637,abuse,quality,2
638,abuse,course,1
639,abuse,qol,1
640,abuse,injuries,1
641,abuse,injury,1
642,abuse,lifetime,4
643,abuse,previous,1
644,abuse,lens,1
645,abuse,facilitating,1
646,abuse,high,3
647,abuse,written,1
648,abuse,patient,1
649,abuse,caring,5
650,abuse,teamwork,1
651,abuse,sense,1
652,abuse,disrespect,1
653,abuse,discuss,1
654,abuse,acute,1
655,abuse,implicit,1
656,abuse,little,3
657,abuse,substantiation,3
658,abuse,decision,5
659,abuse,assessments,1
660,abuse,bologna,1
661,abuse,italy,5
662,abuse,developing,1
663,abuse,happens,1
664,abuse,rate,3
665,abuse,observed,2
666,abuse,324,2
667,abuse,667,1
668,abuse,exist,1
669,abuse,explored,1
670,abuse,swiss,1
671,abuse,explore,1
672,abuse,secondary,1
673,abuse,performed,1
674,abuse,237,1
675,abuse,negative,1
676,abuse,specific,1
677,abuse,scus,1
678,abuse,required,1
679,abuse,combination,1
680,abuse,483,1
681,abuse,elders,3
682,abuse,netherlands,2
683,abuse,foremost,1
684,abuse,mainly,2
685,abuse,primarily,1
686,abuse,influence,2
687,abuse,portugal,1
688,abuse,sociodemographic,2
689,abuse,family,9
690,abuse,covariates,1
691,abuse,accurate,1
692,abuse,film,1
693,abuse,partly,1
694,abuse,affects,1
695,abuse,small,1
696,abuse,childhood,2
697,abuse,vulnerable,10
698,abuse,suicidal,1
699,abuse,test,1
700,abuse,poor,2
701,abuse,available,1
702,abuse,atrisk,5
703,abuse,oversight,1
704,abuse,60,1
705,abuse,typenearly,1
706,abuse,aian,1
707,abuse,typologies,1
708,abuse,differently,2
709,abuse,intersectionality,1
710,abuse,systems,1
711,abuse,medical,2
712,abuse,includes,2
713,abuse,fraction,1
714,abuse,objective,1
715,abuse,4,1
716,abuse,6,1
717,abuse,7,2
718,abuse,legislation,2
719,abuse,variation,1
720,abuse,recurrence,2
721,abuse,concept,1
722,abuse,complicated,1
723,abuse,episodes,1
724,abuse,aims,1
725,abuse,155,1
726,abuse,131,1
727,abuse,092,1
728,abuse,involved,2
729,abuse,rise,2
730,abuse,elevated,1
731,abuse,wellunderstood,1
732,abuse,associations,1
733,abuse,multidisciplinary,2
734,abuse,cutaneous,1
735,abuse,patterned,1
736,abuse,violence,4
737,abuse,lifespan,1
738,abuse,existed,1
739,abuse,societys,1
740,abuse,cooccur,1
741,abuse,building,1
742,abuse,investigation,2
743,abuse,forgivable,1
744,abuse,forgiveness,1
745,abuse,inductive,1
746,abuse,analysis,2
747,abuse,oaa,1
748,abuse,characterized,1
749,abuse,opioid,1
750,abuse,women,6
751,abuse,nonspousal,1
752,abuse,substantiated,1
753,abuse,context,2
754,abuse,service,5
755,abuse,recommend,1
756,abuse,paying,1
757,abuse,early,1
758,abuse,canadian,1
759,abuse,population,2
760,abuse,victimization,5
761,abuse,purpose,4
762,abuse,perspective,3
763,abuse,postimmigration,1
764,abuse,protracted,1
765,abuse,introduction,1
766,abuse,bethesda,1
767,abuse,child,1
768,abuse,priority,1
769,abuse,453,2
770,abuse,module,1
771,abuse,13,2
772,abuse,108,1
773,abuse,mortality,1
774,abuse,close,2
775,abuse,received,1
776,abuse,despite,2
777,abuse,lacks,1
778,abuse,object,1
779,abuse,particularly,1
780,abuse,committed,9
781,abuse,victimisation,1
782,abuse,examine,4
783,abuse,exposure,1
784,abuse,poverty,1
785,abuse,positive,1
786,abuse,appraised,1
787,abuse,perpetrator,1
788,abuse,transcripts,1
789,abuse,advocated,1
790,abuse,instruments,1
791,abuse,inside,1
792,abuse,daily,1
793,abuse,figures,1
794,abuse,133,1
795,abuse,ksa,1
796,abuse,experience,1
797,abuse,438,1
798,abuse,219,1
799,abuse,dental,1
800,abuse,educators,1
801,abuse,perpetrators,3
802,abuse,irresponsibility,1
803,abuse,searching,1
804,abuse,help,3
805,abuse,aim,1
806,abuse,retrospective,1
807,abuse,individual,1
808,abuse,caregivers,4
809,abuse,carers,1
810,abuse,homebound,1
811,abuse,populations,1
812,abuse,logistic,2
813,abuse,representative,2
814,abuse,long,2
815,abuse,male,1
816,abuse,improve,1
817,abuse,americans,1
818,abuse,tfa,1
819,abuse,eahas,1
820,abuse,cooccurrence,1
821,abuse,118,1
822,abuse,38,1
823,abuse,22,1
824,abuse,heterogeneous,1
825,abuse,worldwide,1
826,abuse,maltreatment,1
827,abuse,illtreatment,2
828,abuse,qeea,1
829,abuse,charges,1
830,abuse,homicide,1
831,abuse,position,1
832,abuse,457,1
833,abuse,affecting,1
834,abuse,effect,1
835,abuse,692,1
836,abuse,66,1
837,abuse,15,2
838,abuse,spouses,1
839,abuse,hope,1
840,abuse,ghana,1
841,abuse,situational,1
842,abuse,finally,1
843,abuse,behaviors,2
844,abuse,patterns,1
845,abuse,time,1
846,abuse,difference,1
847,abuse,nonabuse,1
848,abuse,coresidents,1
849,abuse,relatives,1
850,abuse,directcare,1
851,abuse,overlooked,1
852,abuse,employment,1
853,abuse,measure,1
854,abuse,field,4
855,abuse,communitybased,1
856,abuse,cognitive,1
857,abuse,mean,1
858,abuse,169,1
859,abuse,75,2
860,abuse,pediatricians,1
861,abuse,clinical,2
862,abuse,diagnosis,2
863,abuse,goal,1
864,abuse,joint,1
865,abuse,informal,1
866,abuse,practice,2
867,abuse,resolution,2
868,abuse,services,2
869,abuse,lessons,1
870,abuse,discussed,1
871,abuse,presented,2
872,abuse,phase,1
873,abuse,usually,1
874,abuse,serving,1
875,abuse,ranged,1
876,abuse,organic,1
877,abuse,particular,1
878,abuse,settings,1
879,abuse,tailored,1
880,abuse,moving,1
881,abuse,came,1
882,abuse,349,1
883,abuse,28,1
884,abuse,men,2
885,abuse,neglectdependencyexplained,1
886,abuse,10,1
887,abuse,408,1
888,abuse,124,1
889,abuse,dangerous,1
890,abuse,dermatology,1
891,abuse,appropriate,1
892,abuse,continue,1
893,abuse,highest,2
894,abuse,remain,1
895,abuse,uncovered,1
896,abuse,dedicated,1
897,abuse,expected,2
898,abuse,attitudes,2
899,abuse,935,1
900,abuse,culture,2
901,abuse,utilize,1
902,abuse,iranian,1
903,abuse,education,4
904,abuse,college,1
905,abuse,tolerance,1
906,abuse,moderating,1
907,abuse,analyzed,2
908,abuse,approximately,1
909,abuse,arab,2
910,abuse,shadow,1
911,abuse,prostitute,1
912,abuse,loss,1
913,abuse,physicians,2
914,abuse,tasmania,1
915,abuse,subjected,1
916,abuse,painful,1
917,abuse,described,1
918,abuse,contemporary,1
919,abuse,witnessed,1
920,abuse,continues,1
921,abuse,20year,1
922,abuse,2022,1
923,abuse,belief,1
924,abuse,barriers,1
925,abuse,coordinated,1
926,abuse,pa,1
927,abuse,main,1
928,abuse,silence,1
929,abuse,postmortem,1
930,abuse,exploring,2
931,abuse,detected,3
932,abuse,article,3
933,abuse,lmics,1
934,abuse,concludes,1
935,abuse,survivors,2
936,abuse,iii,1
937,abuse,rajshahi,2
938,abuse,wealth,2
939,abuse,kind,1
940,abuse,reducing,1
941,abuse,hospitalised,1
942,abuse,215,1
943,abuse,2291,1
944,abuse,absent,1
945,abuse,r,1
946,abuse,diverse,1
947,abuse,recognize,1
948,abuse,material,1
949,abuse,policy,1
950,abuse,communityresiding,1
951,abuse,refer,2
952,abuse,nonstigmatizing,1
953,abuse,welfare,2
954,abuse,caregiving,3
955,abuse,determined,1
956,abuse,creates,1
957,abuse,quasiexperimental,1
958,abuse,safe,1
959,abuse,integrating,2
960,abuse,point,1
961,abuse,supported,1
962,abuse,chinese,1
963,abuse,possible,1
964,abuse,outofhospital,4
965,abuse,following,1
966,abuse,portuguese,2
967,abuse,12months,1
968,abuse,199,1
969,abuse,58,1
970,abuse,869,1
971,abuse,719,1
972,abuse,sensitivity,1
973,abuse,230,1
974,abuse,stated,1
975,abuse,turkish,1
976,abuse,affected,1
977,abuse,social,5
978,abuse,taken,1
979,abuse,denying,1
980,abuse,08,1
981,abuse,concerned,1
982,abuse,775,1
983,abuse,frequently,2
984,abuse,odds,3
985,abuse,broader,1
986,abuse,negatively,1
987,abuse,correlates,1
988,abuse,greece,2
989,abuse,greeks,1
990,abuse,taking,1
991,abuse,reports,1
992,abuse,cohens,1
993,abuse,511,1
994,abuse,proven,1
995,abuse,csa,1
996,abuse,scores,1
997,abuse,evaluation,1
998,abuse,269,1
999,abuse,565,1
1000,abuse,intermediate,1
1001,abuse,assessment,1
1002,abuse,stands,1
1003,abuse,posed,2
1004,abuse,coercive,1
1005,abuse,ideas,1
1006,abuse,dependent,1
1007,abuse,continence,1
1008,abuse,colombian,1
1009,abuse,partners,1
1010,abuse,area,1
1011,abuse,50,1
1012,abuse,proportion,1
1013,abuse,dependence,1
1014,abuse,predicted,1
1015,abuse,reached,1
1016,abuse,2012,1
1017,abuse,diagnosed,1
1018,abuse,eds,2
1019,abuse,recorded,1
1020,abuse,orders,1
1021,abuse,crs,1
1022,abuse,phenotypes,1
1023,abuse,chronic,1
1024,abuse,comparison,1
1025,abuse,captured,1
1026,abuse,bivariate,1
1027,abuse,certain,1
1028,abuse,potentially,1
1029,abuse,classified,1
1030,abuse,subtype,1
1031,abuse,357,1
1032,abuse,or250,1
1033,abuse,frailty,1
1034,abuse,43,1
1035,abuse,country,3
1036,abuse,considerable,1
1037,abuse,highlights,1
1038,abuse,investigating,1
1039,abuse,changes,2
1040,abuse,2year,1
1041,abuse,specifically,2
1042,abuse,daughters,1
1043,abuse,connection,2
1044,abuse,clinic,1
1045,abuse,examining,1
1046,abuse,genderbased,1
1047,abuse,verbalmental,1
1048,abuse,nationally,1
1049,abuse,neglectrelated,1
1050,abuse,nonresident,1
1051,abuse,screens,1
1052,abuse,relation,1
1053,abuse,subscales,1
1054,abuse,demonstrates,1
1055,abuse,perception,1
1056,abuse,identify,1
1057,abuse,40,1
1058,abuse,reportingtreatment,1
1059,abuse,victimrelated,1
1060,abuse,collected,1
1061,abuse,lower,1
1062,abuse,greater,1
1063,abuse,theoretically,1
1064,abuse,protocols,2
1065,abuse,effectiveness,1
1066,abuse,western,1
1067,abuse,true,1
1068,abuse,offenders,1
1069,abuse,korea,1
1070,abuse,magnified,1
1071,abuse,problem,1
1072,abuse,seriousness,1
1073,abuse,highlighted,2
1074,abuse,listed,1
1075,abuse,establishment,1
1076,abuse,guarantee,1
1077,abuse,needs,1
1078,abuse,viewpoint,1
1079,abuse,second,3
1080,abuse,july,1
1081,abuse,litigated,1
1082,abuse,intention,1
1083,abuse,workers,3
1084,abuse,intentions,1
1085,abuse,32,1
1086,abuse,prior,1
1087,abuse,subjective,2
1088,abuse,infringe,1
1089,abuse,assesment,2
1090,abuse,infringing,1
1091,abuse,accidents,1
1092,abuse,categories,1
1093,abuse,actions,8
1094,abuse,enforced,1
1095,abuse,protective,2
1096,abuse,thirteen,1
1097,abuse,utilized,1
1098,abuse,clients,1
1099,abuse,incidents,1
1100,abuse,care,1
1101,neglect,health,2
1102,neglect,violence,8
1103,neglect,empower,1
1104,neglect,116,1
1105,neglect,physical,11
1106,neglect,older,41
1107,neglect,abuse,30
1108,neglect,likely,3
1109,neglect,abandonment,9
1110,neglect,early,1
1111,neglect,average,1
1112,neglect,reduction,1
1113,neglect,suspected,1
1114,neglect,emotional,4
1115,neglect,historical,2
1116,neglect,mmctsean,1
1117,neglect,ean,13
1118,neglect,ireland,1
1119,neglect,factor,1
1120,neglect,56,1
1121,neglect,people,2
1122,neglect,objective,1
1123,neglect,adults,1
1124,neglect,165,1
1125,neglect,elderly,10
1126,neglect,played,1
1127,neglect,finally,1
1128,neglect,establish,1
1129,neglect,rural,5
1130,neglect,sexual,5
1131,neglect,currently,2
1132,neglect,ethiopia,1
1133,neglect,perspective,1
1134,neglect,15,1
1135,neglect,economic,2
1136,neglect,article,1
1137,neglect,exploitation,14
1138,neglect,examining,1
1139,neglect,treating,1
1140,neglect,associated,8
1141,neglect,man,1
1142,neglect,disadvantaged,2
1143,neglect,form,1
1144,neglect,results,4
1145,neglect,concentrated,1
1146,neglect,evaluate,1
1147,neglect,goal,1
1148,neglect,significantly,2
1149,neglect,experimental,1
1150,neglect,inversely,1
1151,neglect,related,4
1152,neglect,increasing,1
1153,neglect,combination,1
1154,neglect,include,2
1155,neglect,psychological,3
1156,neglect,death,1
1157,neglect,study,5
1158,neglect,second,1
1159,neglect,multidisciplinary,1
1160,neglect,time,1
1161,neglect,followed,1
1162,neglect,educational,1
1163,neglect,measures,1
1164,neglect,considering,1
1165,neglect,civil,1
1166,neglect,determinants,1
1167,neglect,104,1
1168,neglect,active,1
1169,neglect,elders,1
1170,neglect,person,1
1171,neglect,amplified,1
1172,neglect,community,2
1173,neglect,reviewed,1
1174,neglect,human,1
1175,neglect,crucial,1
1176,neglect,home,4
1177,neglect,ineed,2
1178,neglect,significant,1
1179,neglect,result,1
1180,neglect,systematic,2
1181,neglect,emergency,2
1182,neglect,common,7
1183,neglect,document,1
1184,neglect,highly,1
1185,neglect,surveillance,1
1186,neglect,training,1
1187,neglect,inclusion,1
1188,neglect,longterm,1
1189,neglect,defined,1
1190,neglect,caregivers,3
1191,neglect,patients,2
1192,neglect,problem,1
1193,neglect,32,1
1194,neglect,22,1
1195,neglect,elder,5
1196,neglect,societal,1
1197,neglect,remaining,1
1198,neglect,scarcity,1
1199,neglect,70,1
1200,neglect,t6245,1
1201,neglect,t5913,1
1202,neglect,financial,18
1203,neglect,discussion,1
1204,neglect,allan,1
1205,neglect,norwegian,1
1206,neglect,nh,1
1207,neglect,pervasive,2
1208,neglect,basic,1
1209,neglect,inflicts,1
1210,neglect,50,1
1211,neglect,35,1
1212,neglect,apparent,1
1213,neglect,order,1
1214,neglect,continue,1
1215,neglect,types,2
1216,neglect,cases,8
