Features_2022,Features_2021,Features_2020,Features_2019,Features_2018
0,0,0,0,문A4-1)자기부담.귀하께서 지난 1년 간(2017년 7월 - 2018년 6월) 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까?
0,0,0,문A3(시간(하루평균)).귀하께서 지난 1년 간(2018년 7월 - 2019년 6월) 위 교육과정(A1-1)에 참여한 총 교육시간 (방학 기간 제외)은 얼마나 되십니까?,0
0,0,0,0,문A4-2)외부지원.귀하께서 지난 1년 간(2017년 7월 - 2018년 6월) 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까?_1
문A1-1) 작년(21.01.01~21.12.31) (3) 직업능력향상교육 참여 경험 여부,문A1-1) 작년(21.01.01~21.12.31) (3) 직업능력향상교육 참여 경험 여부,0,0,0
0,0,0,0,문A4-2)외부지원.귀하께서 지난 1년 간(2017년 7월 - 2018년 6월) 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까?_2
0,0,0,문A3(주).귀하께서 지난 1년 간(2018년 7월 - 2019년 6월) 위 교육과정(A1-1)에 참여한 총 교육시간 (방학 기간 제외)은 얼마나 되십니까?,0
0,0,0,0,문A4-2)외부지원.귀하께서 지난 1년 간(2017년 7월 - 2018년 6월) 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까?_3
0,0,문A3.[개월]귀하께서 지난 1년간 위 교육과정(A1-1)에 참여한 총 교육시간(방학 기간 제외)은 얼마나 되십니까?,0,0
0,0,0,0,문A4-2)외부지원.귀하께서 지난 1년 간(2017년 7월 - 2018년 6월) 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까?_4
0,0,0,문A3(일(일주일평균).귀하께서 지난 1년 간(2018년 7월 - 2019년 6월) 위 교육과정(A1-1)에 참여한 총 교육시간 (방학 기간 제외)은 얼마나 되십니까?,0
0,0,0,0,문A4-2)외부지원.귀하께서 지난 1년 간(2017년 7월 - 2018년 6월) 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까?_5
문A1-1) 작년(21.01.01~21.12.31) (4) 인문교양교육 참여 경험 여부,문A1-1) 작년(21.01.01~21.12.31) (4) 인문교양교육 참여 경험 여부,0,0,0
0,0,0,0,문A4-2-1)지원금액.귀하께서 지난 1년 간(2017년 7월 - 2018년 6월) 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까? - 2)직장
0,0,0,문A3(시간(하루평균).귀하께서 지난 1년 간(2018년 7월 - 2019년 6월) 위 교육과정(A1-1)에 참여한 총 교육시간 (방학 기간 제외)은 얼마나 되십니까?,0
0,0,0,0,문A4-2-1)지원금액.귀하께서 지난 1년 간(2017년 7월 - 2018년 6월) 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까? - 3)국가기관 및 지방자치단체 등(고용보험 포함)
0,0,문A3.[일(일주일 평균)]귀하께서 지난 1년간 위 교육과정(A1-1)에 참여한 총 교육시간(방학 기간 제외)은 얼마나 되십니까?_1,0,0
0,0,0,0,문A4-2-1)지원금액.귀하께서 지난 1년 간(2017년 7월 - 2018년 6월) 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까? - 4)교육훈련기관(학교 등)
0,0,0,문A3.연간참여시간(무응답포함),0
0,0,0,0,문A4-2-1)지원금액.귀하께서 지난 1년 간(2017년 7월 - 2018년 6월) 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까? - 5)기타
문A1-1) 작년(21.01.01~21.12.31) (5) 문화예술스포츠교육 참여 경험 여부,문A1-1) 작년(21.01.01~21.12.31) (5) 문화예술스포츠교육 참여 경험 여부,0,0,0
0,0,0,문A5.귀하께서 지난 1년 간 참여한 형식교육 경험이 다음 각각의 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까? - 1)건강관리,문A5.귀하께서 지난 1년 간 참여한 형식교육 경험이 다음 각각의 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까? - 1)건강관리
문A2-6) 연간참여시간__(1)학위취득을 위한 교육_1,문A2-6) 연간참여시간__(1)학위취득을 위한 교육_1,문A2-6) 연간참여시간__(1)학위취득을 위한 교육_1,문A2-6) 연간참여시간__(1)학위취득을 위한 교육_1,0
0,0,0,문A5.귀하께서 지난 1년 간 참여한 형식교육 경험이 다음 각각의 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까? - 2)심리적 만족 및 행복감 증대,문A5.귀하께서 지난 1년 간 참여한 형식교육 경험이 다음 각각의 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까? - 2)심리적 만족 및 행복감 증대
0,0,문A3.[시간(하루 평균)]귀하께서 지난 1년간 위 교육과정(A1-1)에 참여한 총 교육시간(방학 기간 제외)은 얼마나 되십니까?_1,0,0
0,0,0,문A5.귀하께서 지난 1년 간 참여한 형식교육 경험이 다음 각각의 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까? - 3)교양 함양이나 지식 습득 등 자기 계발,문A5.귀하께서 지난 1년 간 참여한 형식교육 경험이 다음 각각의 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까? - 3)교양 함양이나 지식 습득 등 자기 계발
문A2-7) 자기부담학습비__(1)학위취득을 위한 교육_1,문A2-7) 자기부담학습비__(1)학위취득을 위한 교육_1,문A2-7) 자기부담학습비__(1)학위취득을 위한 교육_1,문A2-7) 자기부담학습비__(1)학위취득을 위한 교육_1,0
0,0,0,문A5.귀하께서 지난 1년 간 참여한 형식교육 경험이 다음 각각의 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까? - 4)취업^ 이직^ 창업에 도움,문A5.귀하께서 지난 1년 간 참여한 형식교육 경험이 다음 각각의 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까? - 4)취업^ 이직^ 창업에 도움
문A1-1) 작년(21.01.01~21.12.31) (6) 시민참여교육 참여 경험 여부,문A1-1) 작년(21.01.01~21.12.31) (6) 시민참여교육 참여 경험 여부,0,0,0
0,0,0,문A5.귀하께서 지난 1년 간 참여한 형식교육 경험이 다음 각각의 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까? - 5)일하는데 필요한 기능 습득,문A5.귀하께서 지난 1년 간 참여한 형식교육 경험이 다음 각각의 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까? - 5)일하는데 필요한 기능 습득
0,0,0,문A4-2)외부지원.귀하께서 지난 1년 간(2018년 7월 - 2019년 6월) 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까?_1,0
0,0,0,문A5.귀하께서 지난 1년 간 참여한 형식교육 경험이 다음 각각의 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까? - 6)성과급^ 연봉 등 소득 증대,문A5.귀하께서 지난 1년 간 참여한 형식교육 경험이 다음 각각의 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까? - 6)성과급^ 연봉 등 소득 증대
0,0,문A3.[주]귀하께서 지난 1년간 위 교육과정(A1-1)에 참여한 총 교육시간(방학 기간 제외)은 얼마나 되십니까?,0,0
0,0,0,문A5.귀하께서 지난 1년 간 참여한 형식교육 경험이 다음 각각의 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까? - 7)고용안정,문A5.귀하께서 지난 1년 간 참여한 형식교육 경험이 다음 각각의 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까? - 7)고용안정
0,0,0,문A4-2)외부지원.귀하께서 지난 1년 간(2018년 7월 - 2019년 6월) 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까?_2,0
0,0,0,문A5.귀하께서 지난 1년 간 참여한 형식교육 경험이 다음 각각의 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까? - 8)사회참여(자원봉사 및 지역사회적 활동),문A5.귀하께서 지난 1년 간 참여한 형식교육 경험이 다음 각각의 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까? - 8)사회참여(자원봉사 및 지역사회적 활동)
문A1-2) 참여한 프로그램 수는 몇개입니까? (1) 학위(졸업장) 취득을 위한 교육,문A1-2) 참여한 프로그램 수는 몇개입니까? (1) 학위(졸업장) 취득을 위한 교육,0,0,0
0,0,0,문A5.귀하께서 지난 1년 간 참여한 형식교육 경험이 다음 각각의 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까? - 9)친목도모 증진,문A5.귀하께서 지난 1년 간 참여한 형식교육 경험이 다음 각각의 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까? - 9)친목도모 증진
0,0,0,문A4-2)외부지원.귀하께서 지난 1년 간(2018년 7월 - 2019년 6월) 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까?_3,0
0,0,0,문A5.귀하께서 지난 1년 간 참여한 형식교육 경험이 다음 각각의 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까? - 10)기타,문A5.귀하께서 지난 1년 간 참여한 형식교육 경험이 다음 각각의 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까? - 10)기타
0,0,문A3.[일(일주일 평균)]귀하께서 지난 1년간 위 교육과정(A1-1)에 참여한 총 교육시간(방학 기간 제외)은 얼마나 되십니까?_2,0,0
0,0,0,0,문B1.귀하께서는 지난 1년 간(2017년 7월 - 2018년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 1)일정 장소에서 강사가 강의하는 강좌
0,0,0,문A4-2)외부지원.귀하께서 지난 1년 간(2018년 7월 - 2019년 6월) 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까?_4,0
0,0,0,0,문B1.귀하께서는 지난 1년 간(2017년 7월 - 2018년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 2)직장 내 직무 연수 프로그램
0,0,문A3.[시간(하루 평균)]귀하께서 지난 1년간 위 교육과정(A1-1)에 참여한 총 교육시간(방학 기간 제외)은 얼마나 되십니까?_2,0,0
0,0,0,0,문B1.귀하께서는 지난 1년 간(2017년 7월 - 2018년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 3)원격/사이버 강좌 수강
0,0,0,문A4-2)외부지원.귀하께서 지난 1년 간(2018년 7월 - 2019년 6월) 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까?_5,0
0,0,0,0,문B1.귀하께서는 지난 1년 간(2017년 7월 - 2018년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 4)전문적인 세미나 및 워크숍
0,0,0,문A4-2-1)지원금액.귀하께서 지난 1년 간(2018년 7월 - 2019년 6월) 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까? - 2)직장,0
0,0,0,0,문B1.귀하께서는 지난 1년 간(2017년 7월 - 2018년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 5)학습 동아리
문A1-2) 참여한 프로그램 수는 몇개입니까? (2) 성인기초 및 문자해득교육(문해교육),문A1-2) 참여한 프로그램 수는 몇개입니까? (2) 성인기초 및 문자해득교육(문해교육),문A1-2) 참여한 프로그램 수는 몇개입니까? (2) 성인기초 및 문자해득교육(문해교육),문A1-2) 참여한 프로그램 수는 몇개입니까? (2) 성인기초 및 문자해득교육(문해교육),0
0,0,0,0,문B1.귀하께서는 지난 1년 간(2017년 7월 - 2018년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 6)기타 강좌 및 개인교습
0,0,문A3.[개월]연간참여시간,0,0
0,0,0,0,문B2(개).지난 1년간(2017년 7월 -  2018년 6월)비형식 교육에 참여한 프로그램 수는 몇 개 입니까? - (1)학력보완 교육
0,0,0,문A4-2-1)지원금액.귀하께서 지난 1년 간(2018년 7월 - 2019년 6월) 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까? - 3)국가기관 및 지방자치단체 등(고용보험 포함),0
0,0,0,0,문B2(개).지난 1년간(2017년 7월 -  2018년 6월)비형식 교육에 참여한 프로그램 수는 몇 개 입니까? - (2)성인기초 및 문자해득교육
0,0,0,문A4-2-1)지원금액.귀하께서 지난 1년 간(2018년 7월 - 2019년 6월) 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까? - 4)교육훈련기관(학교 등),0
문A1-2) 참여한 프로그램 수는 몇개입니까? (3) 직업능력향상교육,문A1-2) 참여한 프로그램 수는 몇개입니까? (3) 직업능력향상교육,문A1-2) 참여한 프로그램 수는 몇개입니까? (3) 직업능력향상교육,문A1-2) 참여한 프로그램 수는 몇개입니까? (3) 직업능력향상교육,문A1-2) 참여한 프로그램 수는 몇개입니까? (3) 직업능력향상교육
0,0,문A3.[주]연간참여시간,0,0
문A1-2) 참여한 프로그램 수는 몇개입니까? (5) 문화예술스포츠교육,문A1-2) 참여한 프로그램 수는 몇개입니까? (5) 문화예술스포츠교육,문A1-2) 참여한 프로그램 수는 몇개입니까? (5) 문화예술스포츠교육,문A1-2) 참여한 프로그램 수는 몇개입니까? (5) 문화예술스포츠교육,문A1-2) 참여한 프로그램 수는 몇개입니까? (5) 문화예술스포츠교육
0,0,0,문A4-2-1)지원금액.귀하께서 지난 1년 간(2018년 7월 - 2019년 6월) 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까? - 5)기타,0
문A1-2) 참여한 프로그램 수는 몇개입니까? (6) 시민참여교육,문A1-2) 참여한 프로그램 수는 몇개입니까? (6) 시민참여교육,문A1-2) 참여한 프로그램 수는 몇개입니까? (6) 시민참여교육,문A1-2) 참여한 프로그램 수는 몇개입니까? (6) 시민참여교육,문A1-2) 참여한 프로그램 수는 몇개입니까? (6) 시민참여교육
0,0,0,0,문B3-1)프로그램 유형 - 1-(1)학력보완 교육
0,0,0,0,문B3-2)프로그램 과거수강경험 여부 - 1-(1)학력보완 교육
문A1-2) 참여한 프로그램 수는 몇개입니까? (4) 인문교양교육,문A1-2) 참여한 프로그램 수는 몇개입니까? (4) 인문교양교육,문A1-2) 참여한 프로그램 수는 몇개입니까? (4) 인문교양교육,문A1-2) 참여한 프로그램 수는 몇개입니까? (4) 인문교양교육,문A1-2) 참여한 프로그램 수는 몇개입니까? (4) 인문교양교육
0,0,0,0,문B3-3)프로그램 형태 - 1-(1)학력보완 교육
0,0,0,0,문B3-4)기관 유형 - 1-(1)학력보완 교육
0,0,0,0,문B3-6)참여목적 - 1-(1)학력보완 교육
0,0,0,0,문B3-7)중도 포기여부 - 1-(1)학력보완 교육
0,0,문A4-2)외부지원.귀하께서 지난 1년간 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까? (중복응답)_1,0,0
0,0,0,0,문B3-8)중도 포기이유 - 1-(1)학력보완 교육
0,0,0,0,문B3-9)연간참여시간 - 1-(1)학력보완 교육
문A2-2) 프로그램 형태__(1)학위취득을 위한 교육_1,문A2-2) 프로그램 형태__(1)학위취득을 위한 교육_1,0,0,0
0,0,0,0,문B3-10)자기부담학습비 - 1-(1)학력보완 교육
0,0,0,0,문B3-11)학습비 외부 지원여부 - 1-(1)학력보완 교육
0,0,문A4-2)외부지원.귀하께서 지난 1년간 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까? (중복응답)_2,0,0
0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 1-(1)학력보완 교육_1
0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 1-(1)학력보완 교육_2
문A2-3) 기관 유형__(1)학위취득을 위한 교육_1,문A2-3) 기관 유형__(1)학위취득을 위한 교육_1,0,0,0
0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 1-(1)학력보완 교육_3
0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 1-(1)학력보완 교육_4
0,0,문A4-2)외부지원.귀하께서 지난 1년간 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까? (중복응답)_3,0,0
0,0,0,0,문B3-13)자격증 취득가능여부 - 1-(1)학력보완 교육
0,0,0,0,문B3-14)프로그램 만족도 - 1-(1)학력보완 교육
0,0,문A4-2)외부지원.귀하께서 지난 1년간 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까? (중복응답)_4,0,0
0,0,0,0,문B3-15)프로그램 불만족 요인 - 1 -(1)학력보완 교육_1
0,0,0,0,문B3-15)프로그램 불만족 요인 - 1 -(1)학력보완 교육_2
0,0,0,0,문B3-15)프로그램 불만족 요인 - 1 -(1)학력보완 교육_3
0,0,0,0,문B3-15)프로그램 불만족 요인 - 1 -(1)학력보완 교육_4
문A2-5) 참여목적__(1)학위취득을 위한 교육_1,문A2-5) 참여목적__(1)학위취득을 위한 교육_1,문A2-5) 참여목적__(1)학위취득을 위한 교육_1,문A2-5) 참여목적__(1)학위취득을 위한 교육_1,문A2-5) 참여목적__(1)학위취득을 위한 교육_1
0,0,문A4-2)외부지원.귀하께서 지난 1년간 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까? (중복응답)_5,0,0
0,0,0,0,문B3-15)프로그램 불만족 요인 - 1 -(1)학력보완 교육_5
0,0,0,문B1.귀하께서는 지난 1년 간(2018년 7월 - 2019년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 1)일정 장소에서 강사가 강의하는 강좌,0
0,0,0,0,문B3-15)프로그램 불만족 요인 - 1 -(1)학력보완 교육_6
0,0,0,문B1.귀하께서는 지난 1년 간(2018년 7월 - 2019년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 2)직장 내 직무 연수 프로그램,0
0,0,0,0,문B3-1)프로그램 유형 - 2-(1)학력보완 교육
0,0,문A4-2-1)지원금액.(2)직장)귀하께서 지난 1년간 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까?,0,0
0,0,0,0,문B3-2)프로그램 과거수강경험 여부 - 2-(1)학력보완 교육
0,0,0,문B1.귀하께서는 지난 1년 간(2018년 7월 - 2019년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 3)원격/사이버 강좌 수강,0
0,0,0,0,문B3-3)프로그램 형태 - 2-(1)학력보완 교육
0,0,0,문B1.귀하께서는 지난 1년 간(2018년 7월 - 2019년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 4)전문적인 세미나 및 워크숍,0
0,0,0,0,문B3-4)기관 유형 - 2-(1)학력보완 교육
문A2-8) 학습비 외부 지원여부__(1)학위취득을 위한 교육_1,문A2-8) 학습비 외부 지원여부__(1)학위취득을 위한 교육_1,0,0,0
0,0,0,0,문B3-6)참여목적 - 2-(1)학력보완 교육
0,0,0,문B1.귀하께서는 지난 1년 간(2018년 7월 - 2019년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 5)학습 동아리,0
0,0,0,0,문B3-7)중도 포기여부 - 2-(1)학력보완 교육
0,0,문A4-2-1)지원금액.(3)국가기관 및 지방자치단체 등)귀하께서 지난 1년간 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까?,0,0
0,0,0,0,문B3-8)중도 포기이유 - 2-(1)학력보완 교육
0,0,0,문B1.귀하께서는 지난 1년 간(2018년 7월 - 2019년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 6)기타 강좌 및 개인교습,0
0,0,0,0,문B3-9)연간참여시간 - 2-(1)학력보완 교육
문A2-9) 학습비 외부 지원기관__(1)학위취득을 위한 교육_1,문A2-9) 학습비 외부 지원기관__(1)학위취득을 위한 교육_1,0,0,0
0,0,0,0,문B3-10)자기부담학습비 - 2-(1)학력보완 교육
0,0,문A4-2-1)지원금액.(4)교육훈련기관)귀하께서 지난 1년간 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까?,0,0
0,0,0,0,문B3-11)학습비 외부 지원여부 - 2-(1)학력보완 교육
문A2-10) 프로그램만족도__(1)학위취득을 위한 교육_1,문A2-10) 프로그램만족도__(1)학위취득을 위한 교육_1,0,0,0
0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 2-(1)학력보완 교육_1
0,0,문A4-2-1)지원금액.(5)기타)귀하께서 지난 1년간 위 교육과정(A1-1)에 사용한 학습비는 얼마입니까?,0,0
0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 2-(1)학력보완 교육_2
문A2-11) 프로그램 불만족 요인(중복응답)__(1)학위취득을 위한 교육_1-1,문A2-11) 프로그램 불만족 요인(중복응답)__(1)학위취득을 위한 교육_1-1,0,0,0
0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 2-(1)학력보완 교육_3
0,0,문A5.(1)건강관리)귀하께서 지난 1년간 참여한 형식교육 경험이 다음 각각의 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?,0,0
0,0,0,0,문B3-12)학습비 지원기관(중복응답) - 2-(1)학력보완 교육_4
0,0,0,0,문B3-13)자격증 취득가능여부 - 2-(1)학력보완 교육
문A2-1) 프로그램 유형__(2)성인기초 및 문자해득교육_1,문A2-1) 프로그램 유형__(2)성인기초 및 문자해득교육_1,문A2-1) 프로그램 유형__(2)성인기초 및 문자해득교육_1,문A2-1) 프로그램 유형__(2)성인기초 및 문자해득교육_1,문A2-1) 프로그램 유형__(2)성인기초 및 문자해득교육_1
문A2-11) 프로그램 불만족 요인(중복응답)__(1)학위취득을 위한 교육_1-2,문A2-11) 프로그램 불만족 요인(중복응답)__(1)학위취득을 위한 교육_1-2,0,0,0
0,0,0,0,문B3-14)프로그램 만족도 - 2-(1)학력보완 교육
0,0,0,문B3-2)프로그램 과거수강경험 여부-1-(1)성인기초 및 문자해득교육,0
0,0,0,0,문B3-15)프로그램 불만족 요인 - 2 -(1)학력보완 교육_1
0,0,문A5.(2)심리적 만족 및 행복감 증대)귀하께서 지난 1년간 참여한 형식교육 경험이 다음 각각의 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?,0,0
0,0,0,0,문B3-15)프로그램 불만족 요인 - 2 -(1)학력보완 교육_2
0,0,0,0,문B3-15)프로그램 불만족 요인 - 2 -(1)학력보완 교육_3
문A2-2) 프로그램 형태__(2)성인기초 및 문자해득교육_1,문A2-2) 프로그램 형태__(2)성인기초 및 문자해득교육_1,문A2-2) 프로그램 형태__(2)성인기초 및 문자해득교육_1,문A2-2) 프로그램 형태__(2)성인기초 및 문자해득교육_1,문A2-2) 프로그램 형태__(2)성인기초 및 문자해득교육_1
문A2-11) 프로그램 불만족 요인(중복응답)__(1)학위취득을 위한 교육_1-3,문A2-11) 프로그램 불만족 요인(중복응답)__(1)학위취득을 위한 교육_1-3,0,0,0
0,0,0,0,문B3-15)프로그램 불만족 요인 - 2 -(1)학력보완 교육_4
0,0,0,0,문B3-15)프로그램 불만족 요인 - 2 -(1)학력보완 교육_5
문A2-3) 기관 유형__(2)성인기초 및 문자해득교육_1,문A2-3) 기관 유형__(2)성인기초 및 문자해득교육_1,문A2-3) 기관 유형__(2)성인기초 및 문자해득교육_1,문A2-3) 기관 유형__(2)성인기초 및 문자해득교육_1,문A2-3) 기관 유형__(2)성인기초 및 문자해득교육_1
0,0,문A5.(3)교양 함양이나 지식 습득 등 자기 계발)귀하께서 지난 1년간 참여한 형식교육 경험이 다음 각각의 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?,0,0
0,0,0,0,문B3-15)프로그램 불만족 요인 - 2 -(1)학력보완 교육_6
0,0,0,0,문B3-1)프로그램 유형 - 3-(1)학력보완 교육
문A2-5) 참여목적__(2)성인기초 및 문자해득교육_1,문A2-5) 참여목적__(2)성인기초 및 문자해득교육_1,문A2-5) 참여목적__(2)성인기초 및 문자해득교육_1,문A2-5) 참여목적__(2)성인기초 및 문자해득교육_1,문A2-5) 참여목적__(2)성인기초 및 문자해득교육_1
문A2-11) 프로그램 불만족 요인(중복응답)__(1)학위취득을 위한 교육_1-4,문A2-11) 프로그램 불만족 요인(중복응답)__(1)학위취득을 위한 교육_1-4,0,0,0
0,0,0,0,문B3-2)프로그램 과거수강경험 여부 - 3-(1)학력보완 교육
0,0,0,문B3-7)중도 포기여부-1-(1)성인기초 및 문자해득교육,0
0,0,0,0,문B3-3)프로그램 형태 - 3-(1)학력보완 교육
0,0,문A5.(4)취업^ 이직^ 창업에 도움)귀하께서 지난 1년간 참여한 형식교육 경험이 다음 각각의 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?,0,0
0,0,0,0,문B3-4)기관 유형 - 3-(1)학력보완 교육
0,0,0,문B3-8)중도 포기이유-1-(1)성인기초 및 문자해득교육,0
0,0,0,0,문B3-6)참여목적 - 3-(1)학력보완 교육
문A2-11) 프로그램 불만족 요인(중복응답)__(1)학위취득을 위한 교육_1-5,문A2-11) 프로그램 불만족 요인(중복응답)__(1)학위취득을 위한 교육_1-5,0,0,0
0,0,0,0,문B3-7)중도 포기여부 - 3-(1)학력보완 교육
