Feature,Interaction Features,Contribution Importance
학습 지향 평균,DQ4. 귀하께서는 부양할 가족이 있습니까? (동거여부 무관),0.00066034036
학습 지향 평균,DQ9. 귀하의 현재 고용형태는 어떻게 되십니까?_1.0,-0.0005234865
학습 지향 평균,문A2-5) 참여목적__(3)직업능력향상교육_1,0.0004904474
학습 지향 평균,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_2.0,0.0004625692
학습 지향 평균,무형식학습(의존형) 참여,0.0004364665
학습 지향 평균,문A1-2) 참여한 프로그램 수는 몇개입니까? (6) 시민참여교육,-0.0003922616
학습 지향 평균,DQ1. 귀하의 최종 학력은 어떻게 되십니까?__상태구분_5.0,0.00033284814
학습 지향 평균,Year,0.00029852832
학습 지향 평균,문A3-6) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__성과급^ 연봉 등 소득 증대,-0.0002703187
학습 지향 평균,성별,0.00026466465
학습 지향 평균,문A2-1) 프로그램 유형__(3)직업능력향상교육_1,0.00022883892
학습 지향 평균,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_8.0,-0.00020699209
학습 지향 평균,DQ9. 귀하의 현재 고용형태는 어떻게 되십니까?_2.0,-0.00018155808
학습 지향 평균,문A1-2) 참여한 프로그램 수는 몇개입니까? (4) 인문교양교육,-0.00016664148
학습 지향 평균,문A2-3) 기관 유형__(3)직업능력향상교육_1,-0.00015759587
학습 지향 평균,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_7.0,-0.00013363521
학습 지향 평균,DQ9-1. 귀하의 현재 종사상 지위는 어떻게 되십니까?,-0.00011769711
학습 지향 평균,연령별(1),-0.0001132129
학습 지향 평균,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_6.0,-9.672059e-05
학습 지향 평균,DQ6. 귀하께서는 건강에 자신 있습니까?_1,9.484487e-05
학습 지향 평균,DQ1. 귀하의 최종 학력은 어떻게 되십니까?__상태구분_3.0,9.352543e-05
학습 지향 평균,DQ3. 귀하께서는 함께 동거하는 가족이 있습니까?,8.328015e-05
학습 지향 평균,문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (4)인문교양교육,-7.898698e-05
학습 지향 평균,문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (3)직업능력향상교육,-5.7830588e-05
학습 지향 평균,문A1-2) 참여한 프로그램 수는 몇개입니까? (3) 직업능력향상교육,5.209954e-05
학습 지향 평균,DQ2. 귀하께서는 자녀가 있으십니까? 있다면^ 귀하의 막내자녀는 현재 어떤 상태입니까?,4.9410974e-05
학습 지향 평균,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_9.0,-4.639153e-05
학습 지향 평균,DQ8. 귀하께서는 현재 수입을 목적으로 일하고 계십니까?,4.4858607e-05
학습 지향 평균,문C2) 귀하께서는 작년(교육이나 학습 프로그램의 참여여부와 관계없이)에 참여하고 싶었지만 참여하지 못했던 평생교육 프로그램이 있었습니까?,-3.8291935e-05
학습 지향 평균,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_5.0,-3.2526183e-05
학습 지향 평균,DQ7. 귀하의 주된 소득원천은 무엇입니까?_3,2.974477e-05
학습 지향 평균,문A3-4) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__취업^ 이직^ 창업에 도움,-2.532357e-05
학습 지향 평균,DQ7. 귀하의 주된 소득원천은 무엇입니까?_5,1.1816617e-05
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A3-9) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__친목도모 증진,0.01901937
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문E1-4) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 다른 사람들과 함께 공부 하는 것이 좋다.,-0.015938736
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,-0.01590626
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,학습 지향 평균,-0.009902606
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,지역규모별,-0.008984111
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문C2) 귀하께서는 작년(교육이나 학습 프로그램의 참여여부와 관계없이)에 참여하고 싶었지만 참여하지 못했던 평생교육 프로그램이 있었습니까?,-0.008423363
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A3-2) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__심리적 만족 및 행복감 증대,0.007730925
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ1. 귀하의 최종 학력은 어떻게 되십니까?__상태구분_5.0,-0.007667851
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,직업관련 목표지향 평균,0.0069788713
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A2-2) 프로그램 형태__(3)직업능력향상교육_1,-0.0043111714
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ6. 귀하께서는 건강에 자신 있습니까?_2,0.0042766994
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (중복응답)1,-0.004006744
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_3.0,-0.0038741287
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A2-8) 학습비 외부 지원여부__(3)직업능력향상교육_1,0.0032769106
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문D1) 귀하께서는 작년에 평생교육 프로그램 관련 정보를 접한 적이 있습니까?,0.0032509242
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문G1-3) 지난 한 해 동안 동아리에서 활동한 적이 있습니까? 있다면^ 몇 회 정도 참여하셨습니까?__참여횟수,0.0026682278
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,월 가구소득,0.0025640829
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A2-6) 연간참여시간__(3)직업능력향상교육_1,-0.0025128925
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A3-6) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__성과급^ 연봉 등 소득 증대,0.002287004
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문E1-1) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 책이나 판서 수업 중심으로 공부하는 것이 익숙하고 잘된다.,-0.0020940374
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문E1-2) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 인터넷강의 또는 컴퓨터(전자책^ 태블릿 PC^스마트폰)를 활용한 학습이 익숙하고 잘된다.,0.00207322
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__년,-0.0019540102
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A1-2) 참여한 프로그램 수는 몇개입니까? (6) 시민참여교육,-0.0019500415
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ6. 귀하께서는 건강에 자신 있습니까?_1,0.0016570863
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,사회참여,-0.0016553666
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ3. 몇 명과 함께 지내고 있습니까?__명,0.0015645218
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_4.0,-0.0014175362
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A2-7) 자기부담학습비__(3)직업능력향상교육_1,-0.0012870351
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A3-7) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__고용안정,0.0011213538
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,취약계층,-0.001086502
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A3-3) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__교양 함양이나 지식 습득 등 자기 계발,-0.0010803916
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A2-3) 기관 유형__(3)직업능력향상교육_1,0.0010598116
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,무형식학습(온라인) 참여,0.0010430252
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A3-4) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__취업^ 이직^ 창업에 도움,-0.00083904
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A1-2) 참여한 프로그램 수는 몇개입니까? (2) 성인기초 및 문자해득교육(문해교육),-0.00077059196
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,만 연령,0.000741061
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A1-2) 참여한 프로그램 수는 몇개입니까? (4) 인문교양교육,-0.0007091965
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문F1-4) 다음 학습 관련 질문에 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__직장에서 필요로 하는 기술을 학교에서는 배울 수 없다.,-0.0006664002
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A3-5) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__일하는데 필요한 기능 습득 등,0.0006340974
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A2-1) 프로그램 유형__(3)직업능력향상교육_1,-0.00060821313
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_7.0,-0.00057824014
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,성별,0.00056517613
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ12. 귀하의 현재 직장에서의 근무기간은 얼마나 되십니까?__개월,-0.0005369302
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문D1-1) 귀하께서는 평생교육 프로그램 관련 정보를 어떻게 얻으셨습니까? (중복응답)1,0.00051246694
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ1. 귀하의 최종 학력은 어떻게 되십니까?__학교급,0.0005068557
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,Year,-0.00047577603
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,무형식학습 (암묵적 학습) 참여,0.0004718786
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ2. 귀하께서는 자녀가 있으십니까? 있다면^ 귀하의 막내자녀는 현재 어떤 상태입니까?,-0.00043844726
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A2-5) 참여목적__(3)직업능력향상교육_1,0.0004260393
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (3)직업능력향상교육,0.0003667839
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문E1-3) 자신의 학습패턴에 관하여 어느 정도 동의하시는지 동의 정도를 말씀해주시기 바랍니다.__나는 혼자서 공부하는 것이 익숙하고 좋다.,0.00035250175
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ7. 귀하의 주된 소득원천은 무엇입니까?_3,-0.00033077633
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,경활상태,-0.00029839648
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ4. 귀하께서는 부양할 가족이 있습니까? (동거여부 무관),-0.00029598325
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A1-2) 참여한 프로그램 수는 몇개입니까? (5) 문화예술스포츠교육,-0.00027946418
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ1. 귀하의 최종 학력은 어떻게 되십니까?__상태구분_3.0,-0.0002784365
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,무형식학습(의존형) 참여,-0.00027490294
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ3. 귀하께서는 함께 동거하는 가족이 있습니까?,0.00024042507
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ9-1. 귀하의 현재 종사상 지위는 어떻게 되십니까?,-0.00022990808
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ5. 귀하께서는 취학 전의 손자·손녀가 있습니까? (동거여부 무관),-0.00020632108
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ11. 귀하가 현재 소속되어 있는 직장의 규모는 어느 정도입니까? (사업장^ 상시근로자 기준),0.00017473049
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ6. 귀하께서는 건강에 자신 있습니까?_3,-0.00015738358
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_2.0,-0.00011933484
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_8.0,0.000109936984
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A3-8) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__사회참여,-8.5374995e-05
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ9-2. 귀하의 현재 근로시간형태는 어떻게 되십니까?,6.556296e-05
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (4)인문교양교육,-5.8397458e-05
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ7. 귀하의 주된 소득원천은 무엇입니까?_1,-3.016761e-05
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_5.0,-1.1637136e-05
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,연령별(1),-1.0158196e-05
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,DQ10. 귀하는 현재 어떤 직업에 종사하고 계십니까?_6.0,-9.423116e-06
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문A2-10) 프로그램만족도__(3)직업능력향상교육_1,9.152675e-06
문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,문C1) 앞으로 참여하길 희망하는 프로그램은 무엇입니까? (1)학위취득을위한교육,7.6299875e-06
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,학습 지향 평균,0.026870739
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,문A3-2) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__심리적 만족 및 행복감 증대,0.0211889
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,문H1) 귀하께서는 전반적으로 현재의 생활에 얼마나 만족하십니까?,-0.015906245
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,문A3-9) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__친목도모 증진,-0.010226641
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,문A2-5) 참여목적__(3)직업능력향상교육_1,0.006510069
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,문A3-8) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__사회참여,-0.0049577826
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,문A3-4) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__취업^ 이직^ 창업에 도움,0.0047547626
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,취약계층,0.004326349
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,사회참여,0.003816498
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,문A3-3) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__교양 함양이나 지식 습득 등 자기 계발,0.0033933385
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,DQ3. 몇 명과 함께 지내고 있습니까?__명,0.0031965494
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,지역규모별,-0.0029392648
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,문A2-3) 기관 유형__(3)직업능력향상교육_1,0.0029195948
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,문A1-2) 참여한 프로그램 수는 몇개입니까? (5) 문화예술스포츠교육,0.002750574
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,문A2-2) 프로그램 형태__(3)직업능력향상교육_1,-0.002627323
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,DQ11. 귀하가 현재 소속되어 있는 직장의 규모는 어느 정도입니까? (사업장^ 상시근로자 기준),-0.002418429
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,문A3-7) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__고용안정,0.002311643
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,만 연령,-0.0020784216
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,문A2-1) 프로그램 유형__(3)직업능력향상교육_1,-0.0020558336
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,문A3-5) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__일하는데 필요한 기능 습득 등,0.0018822734
문A3-1) 귀하께서 작년에 참여한 학습경험이 전반적으로 다음 각 항목과 관련하여 귀하에게 어느 정도 도움이 되었다고 생각하십니까?__건강 관리,DQ7. 귀하의 주된 소득원천은 무엇입니까?_3,-0.00182095
