,source,target,weight,Category
257,345,prevalent,1,medical
258,denial,observed,1,medical
259,denial,food,1,medical
260,food,privileges,1,medical
261,form,privileges,1,medical
262,form,punishment,1,medical
263,138,punishment,1,medical
264,138,male,1,medical
265,male,nursing,1,medical
266,professionals,reported,2,medical
267,observing,reported,1,medical
268,forms,observing,1,medical
269,abuse,forms,4,medical
270,abuse,significantly,1,medical
271,female,significantly,1,medical
272,counterparts,female,1,medical
273,counterparts,p,1,medical
274,038,p,1,medical
275,038,statistically,1,medical
276,significant,statistically,6,medical
277,agerelated,significant,1,medical
278,agerelated,differences,1,medical
279,differences,furthermore,1,medical
280,furthermore,mistreatment,1,medical
281,frequently,people,1,medical
282,frequently,observed,1,medical
283,nursing,observed,1,medical
284,homes,nursing,16,medical
285,homes,p,1,medical
286,013,p,1,medical
287,013,suboptimal,1,medical
288,ratio,suboptimal,1,medical
289,caregivers,ratio,1,medical
290,care,caregivers,1,medical
291,care,recipients,1,medical
292,nursing,recipients,1,medical
293,professionals,work,1,medical
294,shifts,work,1,medical
295,p,shifts,1,medical
296,012,p,1,medical
297,012,reliability,1,medical
298,analysis,demonstrated,1,medical
299,demonstrated,satisfactory,1,medical
300,level,satisfactory,1,medical
301,internal,level,1,medical
302,consistency,internal,4,medical
303,consistency,questionnaire,1,medical
304,questionnaire,study,1,medical
305,reinforces,study,1,medical
306,neglect,reinforces,1,medical
307,growing,people,1,medical
308,growing,public,1,medical
309,health,problem,6,medical
310,problem,puts,1,medical
311,emphasis,puts,1,medical
312,emphasis,perception,1,medical
313,need,perception,1,medical
314,need,systematic,1,medical
315,continuous,systematic,1,medical
316,continuous,training,1,medical
317,nursing,training,1,medical
318,preventing,professionals,1,medical
319,identifying,preventing,1,medical
320,identifying,responding,1,medical
321,mistreatment,responding,1,medical
322,aim,mistreatment,2,medical
323,aim,enhancing,1,medical
324,enhancing,quality,1,medical
325,life,quality,17,medical
326,life,vulnerable,1,medical
327,group,vulnerable,2,medical
328,group,study,2,medical
329,contributes,study,1,medical
330,contributes,growing,1,medical
331,body,growing,1,medical
332,body,research,1,medical
333,quality,research,1,medical
334,evidencebased,quality,1,medical
335,evidencebased,nursing,1,medical
336,care,nursing,4,medical
337,care,older,1,medical
338,notably,people,1,medical
339,notably,providers,1,medical
340,perspective,providers,1,medical
341,direct,perspective,1,medical
342,direct,implications,1,medical
343,implications,policy,1,medical
344,policy,practice,1,medical
345,practice,research,3,medical
346,research,training,2,medical
347,initial,steps,1,medical
348,addressing,steps,1,medical
349,addressing,challenges,1,medical
350,challenges,elder,1,medical
351,elder,mistreatment,72,medical
352,evaluation,mistreatment,1,medical
353,evaluation,protocol,2,medical
354,evaluating,protocol,1,medical
355,evaluating,vulnerable,1,medical
356,elder,vulnerable,7,medical
357,elder,protection,6,medical
358,protection,team,6,medical
359,programmes,team,1,medical
360,developed,programmes,1,medical
361,address,developed,2,medical
362,address,elder,4,medical
363,highquality,mistreatment,1,medical
364,highquality,rigorous,1,medical
365,evaluations,rigorous,1,medical
366,assess,evaluations,2,medical
367,assess,impact,2,medical
368,impact,lacking,1,medical
369,lacking,partly,1,medical
370,challenges,partly,1,medical
371,challenges,conducting,1,medical
372,conducting,programme,1,medical
373,evaluation,programme,1,medical
374,complex,evaluation,1,medical
375,complex,phenomenon,3,medical
376,describe,phenomenon,1,medical
377,describe,development,1,medical
378,development,protocol,1,medical
379,mitigate,protocol,1,medical
380,challenges,mitigate,1,medical
381,challenges,rigorously,1,medical
382,evaluate,rigorously,1,medical
383,evaluate,firstofitskind,1,medical
384,emergency,firstofitskind,1,medical
385,departmenthospitalbased,emergency,2,medical
386,departmenthospitalbased,elder,1,medical
387,intervention,mistreatment,1,medical
388,intervention,vulnerable,1,medical
389,team,vept,3,medical
390,multistep,vept,1,medical
391,multistep,process,1,medical
392,develop,process,1,medical
393,develop,evaluation,1,medical
394,protocol,vept,2,medical
395,1,vept,1,medical
396,1,creation,1,medical
397,creation,logic,1,medical
398,logic,model,1,medical
399,describe,model,1,medical
400,describe,programme,1,medical
401,activities,programme,1,medical
402,activities,relevant,1,medical
403,relevant,shortterm,1,medical
404,longterm,shortterm,2,medical
405,longterm,outcomes,1,medical
406,2,outcomes,2,medical
407,2,operationalisation,1,medical
408,operationalisation,outcome,1,medical
409,measures,outcome,2,medical
410,3,measures,1,medical
411,3,development,1,medical
412,combined,development,1,medical
413,combined,outcome,1,medical
414,4,outcome,1,medical
415,4,design,1,medical
416,design,protocol,1,medical
417,protocol,telephone,1,medical
418,followup,telephone,1,medical
419,followup,multiple,1,medical
420,multiple,time,1,medical
421,points,time,1,medical
422,obtain,points,1,medical
423,information,obtain,1,medical
424,information,older,1,medical
425,adults,served,1,medical
426,served,vept,1,medical
427,informing,protocol,1,medical
428,informing,ongoing,1,medical
429,evaluation,ongoing,1,medical
430,evaluation,vept,1,medical
431,help,vept,1,medical
432,help,researchers,1,medical
433,health,researchers,1,medical
434,health,system,3,medical
435,leaders,system,1,medical
436,design,leaders,1,medical
437,design,evaluations,1,medical
438,evaluations,similar,1,medical
439,elder,similar,1,medical
440,mistreatment,programmes,1,medical
441,programmes,project,1,medical
442,project,reviewed,2,medical
443,approved,reviewed,2,medical
444,approved,weill,2,medical
445,cornell,weill,4,medical
446,cornell,medicine,2,medical
447,institutional,medicine,2,medical
448,institutional,review,2,medical
449,board,review,2,medical
450,board,protocol,2,medical
451,2002021422,protocol,1,medical
452,2002021422,aim,1,medical
453,aim,disseminate,2,medical
454,disseminate,results,2,medical
455,peerreviewed,results,2,medical
456,journals,peerreviewed,2,medical
457,journals,national,2,medical
458,international,national,2,medical
459,conferences,international,2,medical
460,conferences,interested,2,medical
461,interested,patient,2,medical
462,groups,patient,2,medical
463,groups,public,2,medical
464,malay,version,2,medical
465,modified,version,2,medical
466,conflict,modified,1,medical
467,conflict,tactics,2,medical
468,scale,tactics,2,medical
469,elder,scale,1,medical
470,mmctsean,neglect,1,medical
471,mmctsean,validation,1,medical
472,methodological,validation,1,medical
473,challenges,methodological,2,medical
474,challenges,challenges,1,medical
475,challenges,systematic,2,medical
476,inquiry,systematic,1,medical
477,elder,inquiry,1,medical
478,ean,neglect,5,medical
479,ean,lack,2,medical
480,lack,standardized,1,medical
481,standardized,tool,1,medical
482,measurement,tool,1,medical
483,existing,measurement,1,medical
484,existing,literature,1,medical
485,demonstrates,literature,1,medical
486,demonstrates,diverse,1,medical
487,diverse,tools,1,medical
488,conflict,tools,1,medical
489,cts,scale,1,medical
490,cts,versions,1,medical
491,common,versions,1,medical
492,common,malaysian,1,medical
493,elder,malaysian,1,medical
494,mistreatment,project,1,medical
495,maestro,project,1,medical
496,maestro,utilized,1,medical
497,modified,utilized,1,medical
498,cts,modified,2,medical
499,cts,developed,1,medical
500,developed,national,1,medical
501,national,study,1,medical
502,elder,study,7,medical
503,ireland,neglect,1,medical
504,ireland,nseai,1,medical
505,article,nseai,1,medical
506,aimed,article,1,medical
507,aimed,validate,1,medical
508,malay,validate,1,medical
509,cts,use,1,medical
510,malaysian,use,1,medical
511,context,malaysian,1,medical
512,context,malayspeaking,1,medical
513,malayspeaking,populations,1,medical
514,populations,southeast,1,medical
515,asia,southeast,1,medical
516,asia,highlighting,1,medical
517,highlighting,practical,1,medical
518,methodological,practical,1,medical
519,challenges,encountered,1,medical
520,encountered,process,1,medical
521,data,process,1,medical
522,collected,data,8,medical
523,1927,collected,1,medical
524,1927,older,1,medical
525,older,respondents,1,medical
526,lived,respondents,1,medical
527,kuala,lived,1,medical
528,kuala,pilah,1,medical
529,district,pilah,1,medical
530,district,preliminary,1,medical
531,data,preliminary,1,medical
532,data,screening,1,medical
533,led,screening,1,medical
534,dropping,led,1,medical
535,10,dropping,1,medical
536,10,items,1,medical
537,0,items,1,medical
538,0,variance,1,medical
539,items,variance,1,medical
540,deleted,items,1,medical
541,cfa,deleted,1,medical
542,cfa,low,1,medical
543,loading,low,1,medical
544,indicators,loading,1,medical
545,indicators,neglect,1,medical
546,factor,neglect,1,medical
547,composite,factor,2,medical
548,factor,high,1,medical
549,collinearity,high,1,medical
550,collinearity,final,1,medical
551,final,scale,1,medical
552,acceptable,scale,1,medical
553,acceptable,reliability,1,medical
554,reliability,validity,4,medical
555,tool,validity,1,medical
556,likely,tool,1,medical
557,assist,likely,1,medical
558,assessing,assist,1,medical
559,assessing,detecting,1,medical
560,detecting,ean,1,medical
561,ean,quickly,1,medical
562,conveniently,quickly,1,medical
563,assist,conveniently,1,medical
564,assist,future,1,medical
565,future,researches,1,medical
566,ean,researches,1,medical
567,ean,taking,1,medical
568,account,taking,1,medical
569,account,issues,1,medical
570,arise,issues,2,medical
571,arise,measurement,1,medical
572,ean,measurement,1,medical
573,initial,team,1,medical
574,experience,initial,2,medical
575,emergency,experience,1,medical
576,departmentbased,emergency,2,medical
577,departmentbased,interdisciplinary,1,medical
578,elder,interdisciplinary,1,medical
579,abuse,program,1,medical
580,emergency,program,1,medical
581,department,emergency,25,medical
582,department,ed,5,medical
583,ed,visit,3,medical
584,provides,visit,1,medical
585,provides,unique,1,medical
586,opportunity,unique,3,medical
587,identify,opportunity,6,medical
588,emergency,intervention,1,medical
589,emergency,providers,1,medical
590,providers,rarely,1,medical
591,address,rarely,1,medical
592,developed,vulnerable,1,medical
593,edbased,vept,1,medical
594,edbased,interdisciplinary,1,medical
595,consultation,interdisciplinary,1,medical
596,consultation,service,3,medical
597,describe,service,1,medical
598,describe,initial,1,medical
599,experience,years,2,medical
600,program,years,1,medical
601,launch,program,1,medical
602,launch,launched,1,medical
603,launched,vept,1,medical
604,large,vept,1,medical
605,large,urban,3,medical
606,academic,urban,1,medical
607,academic,edhospital,1,medical
608,4317,edhospital,1,medical
609,4219,4317,1,medical
610,4219,tracked,1,medical
611,tracked,vept,1,medical
612,activations,vept,2,medical
613,activations,including,1,medical
614,including,patient,1,medical
615,characteristics,patient,1,medical
616,assessment,characteristics,1,medical
617,assessment,interventions,1,medical
618,compared,interventions,1,medical
619,compared,vept,1,medical
620,activations,frequency,1,medical
621,elder,frequency,2,medical
622,ed,identification,2,medical
623,ed,vept,1,medical
624,launch,vept,1,medical
625,examined,launch,1,medical
626,examined,outcomes,1,medical
627,outcomes,patients,1,medical
628,evaluated,patients,1,medical
629,evaluated,vept,1,medical
630,including,vept,1,medical
631,change,including,1,medical
632,change,living,1,medical
633,living,situation,3,medical
634,discharge,situation,1,medical
635,assessed,discharge,1,medical
636,assessed,ed,1,medical
637,ed,providers,4,medical
638,experiences,providers,1,medical
639,experiences,vept,1,medical
640,vept,written,1,medical
641,surveys,written,1,medical
642,focus,surveys,1,medical
643,focus,groups,8,medical
644,groups,programs,1,medical
645,initial,programs,1,medical
646,initial,years,1,medical
647,vept,years,1,medical
648,activated,vept,1,medical
649,activated,provided,1,medical
650,consultationcare,provided,1,medical
651,200,consultationcare,1,medical
652,200,ed,1,medical
653,ed,patients,3,medical
654,cases,patients,1,medical
655,cases,included,1,medical
656,included,physical,1,medical
657,59,abuse,2,medical
658,59,neglect,1,medical
659,56,neglect,1,medical
660,56,financial,1,medical
661,exploitation,financial,27,medical
662,32,exploitation,1,medical
663,32,verbalemotionalpsychological,1,medical
664,abuse,verbalemotionalpsychological,3,medical
665,25,abuse,1,medical
666,25,sexual,2,medical
667,abuse,sexual,23,medical
668,2,abuse,1,medical
669,2,sixtytwo,1,medical
670,percent,sixtytwo,1,medical
671,patients,percent,2,medical
672,assessed,patients,1,medical
673,assessed,determined,1,medical
674,determined,vept,1,medical
675,high,vept,1,medical
676,high,moderate,1,medical
677,moderate,suspicion,1,medical
678,elder,suspicion,1,medical
679,abuse,seventyfive,1,medical
680,percent,seventyfive,1,medical
681,change,patients,1,medical
682,change,livinghousing,1,medical
683,livinghousing,situation,2,medical
684,discharged,situation,1,medical
685,discharged,new,1,medical
686,additional,new,2,medical
687,additional,home,3,medical
688,home,services,3,medical
689,14,services,1,medical
690,14,discharged,1,medical
691,discharged,elder,1,medical
692,abuse,shelter,1,medical
693,39,shelter,1,medical
694,39,different,1,medical
695,different,livinghousing,1,medical
696,22,situation,1,medical
697,22,new,1,medical
698,ed,services,1,medical
699,providers,reported,1,medical
700,reported,vept,1,medical
701,likely,vept,1,medical
702,considerassess,likely,1,medical
703,considerassess,elder,1,medical
704,abuse,recognized,1,medical
705,recognized,value,1,medical
706,expertise,value,1,medical
707,expertise,guidance,1,medical
708,guidance,vept,1,medical
709,provided,vept,1,medical
710,ninetyfour,provided,1,medical
711,ninetyfour,percent,1,medical
712,percent,reported,1,medical
713,believing,reported,1,medical
714,believing,merit,1,medical
715,establishing,merit,1,medical
716,establishing,vept,1,medical
717,program,vept,2,medical
718,eds,program,1,medical
719,eds,vept,1,medical
720,frequently,vept,1,medical
721,activated,frequently,1,medical
722,activated,patients,1,medical
723,discharged,patients,1,medical
724,changes,discharged,1,medical
725,changes,living,1,medical
726,andor,situation,1,medical
727,additional,andor,1,medical
728,improve,services,2,medical
729,improve,safety,1,medical
730,future,safety,1,medical
731,future,research,5,medical
732,needed,research,2,medical
733,examine,needed,1,medical
734,examine,longerterm,1,medical
735,longerterm,outcomes,1,medical
736,neglect,people,1,medical
737,multiple,people,1,medical
738,multiple,sclerosis,5,medical
739,sclerosis,survey,1,medical
740,north,survey,2,medical
741,american,north,2,medical
742,american,research,2,medical
743,committee,research,2,medical
744,committee,multiple,2,medical
745,narcoms,sclerosis,2,medical
746,estimated,narcoms,1,medical
747,100,estimated,1,medical
748,100,americans,1,medical
749,advanced,americans,1,medical
750,advanced,multiple,1,medical
751,ms,sclerosis,1,medical
752,ms,risk,1,medical
753,mistreatment,risk,3,medical
754,lack,mistreatment,1,medical
755,lack,national,1,medical
756,national,prevalence,1,medical
757,data,prevalence,5,medical
758,abuse,data,2,medical
759,neglect,objective,1,medical
760,determine,objective,1,medical
761,determine,incidence,1,medical
762,incidence,prevalence,1,medical
763,caregiver,prevalence,1,medical
764,abuse,caregiver,4,medical
765,adults,neglect,1,medical
766,adults,advanced,2,medical
767,advanced,ms,2,medical
768,anonymous,ms,1,medical
769,anonymous,telephone,1,medical
770,survey,telephone,2,medical
771,administered,narcoms,1,medical
772,administered,validated,1,medical
773,scale,validated,1,medical
774,report,scale,1,medical
775,emotional,report,1,medical
776,emotional,stress,1,medical
777,signs,stress,1,medical
778,multiple,signs,1,medical
779,sclerosis,stressms,1,medical
780,stressms,study,1,medical
781,measures,study,1,medical
782,206,measures,1,medical
783,206,adults,1,medical
784,adults,unpaid,1,medical
785,caregivers,unpaid,1,medical
786,caregivers,msrelated,1,medical
787,disability,msrelated,1,medical
788,549,disability,1,medical
789,549,respondents,1,medical
790,disclosed,respondents,1,medical
791,disclosed,undergoing,1,medical
792,form,undergoing,1,medical
793,form,mistreatment,1,medical
794,mistreatment,requiring,1,medical
795,caregiving,requiring,1,medical
796,caregiving,family,1,medical
797,family,member,4,medical
798,friend,member,1,medical
799,friend,including,1,medical
800,including,psychological,1,medical
801,abuse,psychological,17,medical
802,442,abuse,1,medical
803,442,financial,1,medical
804,abuse,financial,22,medical
805,252,abuse,1,medical
806,252,neglect,1,medical
807,165,neglect,1,medical
808,165,physical,1,medical
809,112,abuse,1,medical
810,112,sexual,1,medical
811,83,abuse,1,medical
812,83,experienced,1,medical
813,experienced,multiple,1,medical
814,forms,multiple,1,medical
815,forms,mistreatment,2,medical
816,mistreated,mistreatment,1,medical
817,mistreated,respondents,1,medical
818,reported,respondents,1,medical
819,reported,social,1,medical
820,social,support,8,medical
821,alcohol,support,1,medical
822,alcohol,use,3,medical
823,higher,use,1,medical
824,higher,levels,3,medical
825,fatigue,levels,1,medical
826,cognitive,fatigue,1,medical
827,cognitive,impairment,4,medical
828,daily,impairment,1,medical
829,caregiving,daily,1,medical
830,caregiving,increased,1,medical
831,increased,mistreatment,1,medical
832,caregivers,risk,1,medical
833,caregivers,mental,1,medical
834,illness,mental,2,medical
835,13,illness,1,medical
836,13,times,2,medical
837,likely,times,1,medical
838,abusive,likely,1,medical
839,abusive,neglectful,1,medical
840,neglectful,poor,1,medical
841,poor,premorbid,1,medical
842,premorbid,relationships,1,medical
843,caregivers,relationships,1,medical
844,caregivers,nearly,1,medical
845,nearly,tripled,1,medical
846,mistreatment,tripled,1,medical
847,risk,significant,1,medical
848,alcohol,significant,1,medical
849,history,use,1,medical
850,history,people,1,medical
851,ms,people,1,medical
852,caregivers,ms,1,medical
853,caregivers,doubled,1,medical
854,doubled,risk,1,medical
855,nationwide,risk,1,medical
856,nationwide,survey,1,medical
857,50,survey,1,medical
858,50,american,1,medical
859,adults,american,1,medical
860,ms,reported,1,medical
861,mistreatment,reported,3,medical
862,caregivers,mistreatment,1,medical
863,aspects,medicolegal,1,medical
864,aspects,deaths,1,medical
865,deaths,related,1,medical
866,neglect,related,3,medical
867,abandonment,neglect,3,medical
868,abandonment,elderly,1,medical
869,elderly,life,1,medical
870,expectancy,life,2,medical
871,expectancy,increases,1,medical
872,increases,phenomenon,1,medical
873,neglect,phenomenon,1,medical
874,elderly,neglect,4,medical
875,elderly,persons,4,medical
876,increasingly,persons,1,medical
877,increasingly,relevant,1,medical
878,fields,relevant,1,medical
879,fields,medicine,1,medical
880,medicine,social,1,medical
881,care,social,7,medical
882,care,work,1,medical
883,analyses,work,1,medical
884,analyses,cases,1,medical
885,cases,subjects,1,medical
886,deaths,subjects,1,medical
887,deaths,initially,1,medical
888,attributable,initially,1,medical
889,attributable,natural,1,medical
890,causes,natural,1,medical
891,autopsy,causes,1,medical
892,autopsy,findings,2,medical
893,analysis,findings,2,medical
894,analysis,clinical,1,medical
895,clinical,data,1,medical
896,able,data,1,medical
897,able,establish,1,medical
898,establish,neglect,2,medical
899,neglect,played,1,medical
900,determining,played,1,medical
901,determining,role,1,medical
902,deaths,role,1,medical
903,cases,deaths,1,medical
904,cases,highlight,1,medical
905,highlight,need,1,medical
906,healthcare,need,1,medical
907,healthcare,workers,3,medical
908,alert,workers,1,medical
909,alert,clinical,1,medical
910,clinical,signs,8,medical
911,neglect,signs,6,medical
912,finally,neglect,1,medical
913,cases,finally,1,medical
914,cases,death,1,medical
915,death,forensic,1,medical
916,forensic,pathologist,2,medical
917,conduct,pathologist,1,medical
918,conduct,meticulous,1,medical
919,meticulous,postmortem,1,medical
920,examination,postmortem,2,medical
921,detect,examination,1,medical
922,detect,physical,1,medical
923,physical,signs,4,medical
924,abuse,establish,1,medical
925,abuse,responsible,1,medical
926,death,responsible,1,medical
927,care,geriatric,2,medical
928,care,issues,1,medical
929,american,issues,1,medical
930,american,international,1,medical
931,international,perspective,1,medical
932,global,perspective,1,medical
933,global,population,1,medical
934,ages,population,2,medical
935,ages,opportunity,1,medical
936,benefit,opportunity,1,medical
937,benefit,increased,1,medical
938,increased,longevity,1,medical
939,healthy,longevity,2,medical
940,healthy,older,2,medical
941,adult,population,1,medical
942,healthy,population,1,medical
943,individuals,older,1,medical
944,contribute,individuals,1,medical
945,contribute,financially,1,medical
946,financially,younger,1,medical
947,generations,younger,1,medical
948,generations,offering,1,medical
949,financial,offering,1,medical
950,assistance,financial,1,medical
951,assistance,paying,1,medical
952,paying,taxes,1,medical
953,benefits,taxes,1,medical
954,benefits,received,1,medical
955,providing,received,1,medical
956,providing,unpaid,1,medical
957,childcare,unpaid,1,medical
958,childcare,voluntary,1,medical
959,voluntary,work,1,medical
960,governments,work,1,medical
961,address,governments,1,medical
962,address,challenges,1,medical
963,challenges,income,1,medical
964,income,insecurity,1,medical
965,access,insecurity,1,medical
966,access,health,1,medical
967,isolation,social,7,medical
968,isolation,neglect,1,medical
969,currently,neglect,2,medical
970,currently,face,1,medical
971,elderly,face,1,medical
972,adults,elderly,1,medical
973,adults,countries,1,medical
974,countries,reduction,1,medical
975,disparities,reduction,1,medical
976,areas,disparities,1,medical
977,areas,lead,1,medical
978,better,lead,1,medical
979,better,health,1,medical
980,health,outcomes,4,medical
981,allow,outcomes,1,medical
982,allow,societies,1,medical
983,benefit,societies,1,medical
984,benefit,longer,1,medical
985,healthier,longer,1,medical
986,healthier,lives,1,medical
987,citizens,lives,1,medical
988,abuse,african,2,medical
989,african,diaspora,2,medical
990,diaspora,review,1,medical
991,populations,review,1,medical
992,abuse,populations,2,medical
993,adults,growing,1,medical
994,growing,problem,3,medical
995,africa,problem,1,medical
996,africa,diaspora,1,medical
997,diaspora,modernization,1,medical
998,modernization,urbanization,1,medical
999,eroding,urbanization,1,medical
1000,eroding,traditional,1,medical
1001,traditional,values,1,medical
1002,respect,values,1,medical
1003,older,respect,1,medical
1004,adults,living,4,medical
1005,environments,living,1,medical
1006,environments,limited,1,medical
1007,limited,social,1,medical
1008,economic,social,1,medical
1009,economic,resources,1,medical
1010,means,resources,1,medical
