,source,target,weight
107,children,younger,2
108,adults,younger,5
109,adults,consistently,1
110,consistently,identify,1
111,child,identify,1
112,abuse,risk,35
113,factor,risk,13
114,factor,ipv,1
115,experienced,ipv,1
116,experienced,old,1
117,age,similarly,1
118,prospective,similarly,1
119,ipv,studies,2
120,follow,ipv,1
121,follow,subjects,1
122,childhood,subjects,1
123,childhood,old,2
124,age,identify,1
125,identify,lifetime,1
126,lifetime,patterns,1
127,abuse,patterns,2
128,abuse,qualitative,4
129,qualitative,studies,3
130,age,include,1
131,include,retrospective,1
132,data,retrospective,2
133,data,suggest,5
134,link,suggest,2
135,ipv,link,1
136,ipv,perpetrated,1
137,children,perpetrated,1
138,adults,children,1
139,adults,ages,2
140,ages,persons,1
141,persons,positions,1
142,positions,trust,1
143,lead,trust,1
144,lead,trauma,1
145,adverse,trauma,1
146,adverse,lifelong,1
147,behavioral,lifelong,1
148,behavioral,relational,1
149,implications,relational,1
150,implications,provides,2
151,link,provides,1
152,link,trauma,1
153,theory,violence,1
154,older,people,125
155,people,recently,1
156,abuse,recently,1
157,conceptualized,violence,1
158,conceptualized,differently,1
159,based,differently,1
160,based,life,3
161,life,stage,2
162,stage,victim,1
163,historically,victim,1
164,definitions,historically,1
165,definitions,partner,1
166,nonpartner,partner,1
167,nonpartner,violence,1
168,diverged,violence,1
169,based,diverged,1
170,stage,victims,1
171,recently,victims,2
172,begun,recently,1
173,begun,converge,1
174,converge,understanding,1
175,understanding,violence,3
176,course,traumainformed,1
177,perspective,traumainformed,1
178,better,perspective,1
179,better,identifies,1
180,identifies,risk,1
181,factors,risk,90
182,factors,interventions,2
183,interventions,ipv,2
184,ipv,older,2
185,adults,intersectionality,1
186,age,intersectionality,1
187,age,gender,7
188,gender,variables,1
189,demonstrate,variables,1
190,demonstrate,differences,1
191,differences,similarities,5
192,populations,similarities,1
193,populations,studied,1
194,development,usability,1
195,evaluation,usability,3
196,evaluation,voices,1
197,digital,voices,1
198,digital,health,3
199,health,tool,3
200,identify,tool,2
201,elder,mistreatment,224
202,major,mistreatment,2
203,barrier,major,2
204,barrier,society,1
205,overcoming,society,1
206,elder,overcoming,2
207,inability,mistreatment,2
208,accurately,inability,1
209,accurately,identify,1
210,identify,victims,1
211,barriers,victims,1
212,barriers,selfreporting,1
213,elder,selfreporting,2
214,including,mistreatment,3
215,fear,including,1
216,fear,nursing,1
217,home,nursing,50
218,home,placement,3
219,losing,placement,1
220,autonomy,losing,1
221,autonomy,caregiver,1
222,caregiver,existing,1
223,existing,strategies,2
224,identify,strategies,3
225,mistreatment,neglect,4
226,empower,neglect,1
227,empower,experience,1
228,experience,tools,1
229,selfreporting,tools,1
230,project,selfreporting,1
231,developed,project,1
232,developed,evaluated,1
233,evaluated,usability,1
234,usability,voices,1
235,selfadministrated,voices,1
236,digital,selfadministrated,3
237,screens,tool,2
238,educates,screens,2
239,educates,motivates,2
240,motivates,older,2
241,adults,selfreport,2
242,elder,selfreport,2
243,crosssectional,mistreatment,2
244,crosssectional,study,37
245,study,usercentered,1
246,design,usercentered,1
247,design,ucd,1
248,approach,ucd,1
249,approach,thirty,1
250,communitydwelling,thirty,1
251,cognitively,communitydwelling,5
252,cognitively,intact,8
253,intact,older,5
254,adults,aged,20
255,60years,aged,5
256,60years,older,3
257,caregivers,older,9
258,caregivers,clinicians,1
259,clinicians,social,1
260,social,workers,51
261,tabletbased,workers,1
262,selfadministrated,tabletbased,1
263,mistreatment,qualitative,1
264,qualitative,quantitative,6
265,data,quantitative,1
266,data,obtained,3
267,1,obtained,1
268,1,focus,1
269,focus,groups,32
270,groups,participants,2
271,including,participants,1
272,feedback,including,1
273,feedback,openended,2
274,discussion,openended,1
275,demographics,discussion,1
276,demographics,postsession,1
277,postsession,survey,1
278,2,survey,1
279,2,usability,1
280,evaluation,including,1
281,demographics,including,1
282,demographics,usability,1
283,measures,usability,1
284,comfortability,measures,1
285,comfortability,technology,1
286,emotional,technology,1
287,emotional,state,1
288,openended,state,1
289,feedback,focus,2
290,focus,group,19
291,group,participants,2
292,n,participants,4
293,24,n,1
294,24,generally,1
295,favored,generally,1
296,favored,tabletbased,1
297,tabletbased,tool,1
298,screen,tool,1
299,elder,screen,2
300,expressed,mistreatment,1
301,comfort,expressed,1
302,answering,comfort,1
303,answering,questions,1
304,elder,questions,2
305,mistreatment,tablets,1
306,tablets,usability,1
307,evaluation,participants,1
308,14,n,1
309,14,overall,1
310,overall,scored,1
311,scored,voices,1
312,mean,voices,1
313,mean,system,1
314,system,usability,1
315,scale,usability,1
316,scale,sus,1
317,score,sus,2
318,866,score,1
319,866,median,1
320,888,median,1
321,888,higher,1
322,benchmark,higher,1
323,benchmark,sus,1
324,68,score,1
325,68,indicating,1
326,excellent,indicating,1
327,ease,excellent,1
328,ease,use,2
329,addition,use,1
330,93,addition,1
331,93,stated,1
332,recommend,stated,1
333,recommend,voices,1
334,tool,voices,1
335,100,tool,1
336,100,indicated,1
337,indicated,understanding,1
338,understanding,voices,1
339,information,voices,1
340,content,information,1
341,content,findings,1
342,findings,older,3
343,adults,capable,1
344,capable,willing,1
345,comfortable,willing,1
346,comfortable,innovative,1
347,innovative,selfadministrated,1
348,digital,tool,1
349,elder,tool,4
350,mistreatment,screening,5
351,future,screening,1
352,future,plan,1
353,conduct,plan,1
354,conduct,feasibility,1
355,feasibility,study,1
356,evaluate,study,2
357,evaluate,use,1
358,use,voices,1
359,identifying,voices,1
360,identifying,suspicion,1
361,mistreatment,suspicion,2
362,elder,prevalence,53
363,abuse,institutional,5
364,institutional,settings,8
365,settings,systematic,4
366,review,systematic,41
367,metaanalysis,review,14
368,metaanalysis,recent,1
369,recent,study,4
370,shown,study,2
371,close,shown,1
372,close,older,1
373,adults,experienced,4
374,elder,experienced,5
375,abuse,community,6
376,community,setting,4
377,past,setting,1
378,past,year,14
379,thought,year,1
380,abuse,thought,1
381,abuse,institutions,2
382,institutions,prevalent,1
383,prevalent,systematic,1
384,evidence,systematic,1
385,evidence,scale,1
386,problem,scale,1
387,exists,problem,1
388,elder,exists,1
389,care,elder,7
390,care,facilities,28
391,aim,facilities,1
392,aim,review,2
393,conduct,review,1
394,conduct,systematic,2
395,metaanalysis,problem,1
396,institutional,problem,1
397,provide,settings,1
398,estimates,provide,1
399,estimates,prevalence,13
400,abuse,past,9
401,12,past,5
402,12,months,11
403,fourteen,months,1
404,academic,fourteen,1
405,academic,databases,1
406,databases,online,1
407,online,platforms,1
408,platforms,systematically,1
409,searched,systematically,2
410,searched,studies,2
411,elder,studies,6
412,abuse,additionally,1
413,26,additionally,1
414,26,experts,1
415,experts,field,2
416,consulted,field,1
417,consulted,identify,1
418,identify,studies,1
419,studies,studies,1
420,screened,studies,1
421,inclusion,screened,1
422,criteria,inclusion,10
423,criteria,independent,1
424,independent,reviewers,1
425,data,reviewers,1
426,data,extracted,9
427,extracted,metaanalysis,1
428,conducted,metaanalysis,1
429,conducted,selfreported,1
430,data,selfreported,2
431,data,older,5
432,older,residents,4
433,residents,staff,6
434,considered,staff,1
435,considered,separately,1
436,separately,studies,1
437,met,studies,2
438,inclusion,met,7
439,criteria,initial,1
440,55,initial,1
441,55,studies,2
442,identified,studies,3
443,identified,review,2
444,overall,review,1
445,abuse,overall,9
446,abuse,estimates,3
447,based,estimates,1
448,based,staff,2
449,reports,staff,2
450,reports,suggest,1
451,642,suggest,1
452,642,staff,1
453,admitted,staff,1
454,admitted,elder,1
455,insufficient,year,1
456,insufficient,studies,2
457,calculate,studies,1
458,calculate,overall,1
459,overall,prevalence,13
460,estimate,prevalence,9
461,based,estimate,1
462,based,selfreported,2
463,prevalence,residents,1
464,abuse,subtypes,7
465,reported,subtypes,1
466,older,reported,2
467,highest,residents,1
468,highest,psychological,1
469,abuse,psychological,83
470,334,abuse,1
471,334,followed,1
472,followed,physical,2
473,141,physical,1
474,141,financial,1
475,138,financial,1
476,138,neglect,1
477,116,neglect,1
478,116,sexual,1
479,abuse,sexual,70
480,19,abuse,6
481,19,prevalence,1
482,high,institutions,1
483,global,high,1
484,action,global,1
485,action,improve,1
486,improve,surveillance,1
487,monitoring,surveillance,1
488,institutional,monitoring,1
489,elder,institutional,3
490,abuse,vital,1
491,inform,vital,1
492,inform,policy,1
493,action,policy,1
494,action,prevent,1
495,elder,prevent,16
496,medical,understanding,1
497,markers,medical,1
498,elder,markers,2
499,neglect,physical,17
500,examination,physical,6
501,examination,findings,2
502,findings,specific,1
503,foundation,specific,1
504,foundation,knowledge,1
505,important,knowledge,1
506,evaluating,important,1
507,evaluating,potential,1
508,abuse,potential,8
509,abuse,physical,121
510,findings,physical,4
511,adult,older,40
512,adult,standard,1
513,physical,standard,1
514,examination,foundation,1
515,detecting,foundation,1
516,detecting,types,1
517,abuse,types,43
518,abuse,understanding,4
519,traumatic,understanding,1
520,injuries,traumatic,1
521,including,injuries,1
522,including,patterns,1
523,injury,patterns,2
524,important,injury,1
525,health,important,3
526,inclusion,providers,1
527,elder,inclusion,1
528,abuse,differential,1
529,diagnosis,differential,1
530,diagnosis,patient,1
531,care,patient,2
532,care,essential,1
533,essential,possess,1
534,possess,skills,1
535,needed,skills,2
536,needed,piece,1
537,history,piece,1
538,history,including,1
539,functional,including,1
540,capabilities,functional,1
541,capabilities,physical,1
542,armed,findings,1
543,armed,skill,1
544,set,skill,1
545,health,set,1
546,develop,providers,1
547,confidence,develop,1
548,confidence,needed,1
549,identify,needed,4
550,identify,intervene,1
551,cases,intervene,2
552,cases,elder,29
553,abuse,financial,84
554,abuse,older,62
555,older,women,71
556,serbia,women,3
557,serbia,survey,1
558,older,survey,3
559,conducted,serbia,1
560,conducted,understand,1
561,structural,understand,1
562,individual,structural,1
563,financial,individual,1
564,abuse,experienced,13
565,experienced,family,1
566,context,family,1
567,context,risks,1
568,form,risks,1
569,abuse,form,19
570,abuse,knowledge,4
571,knowledge,rights,1
572,rights,study,1
573,financial,study,2
574,important,serbia,1
575,implications,important,1
576,implications,older,1
577,experience,women,3
578,experience,lower,1
579,lower,overall,1
580,economic,overall,1
581,economic,status,1
582,older,status,3
583,men,older,1
584,men,women,11
585,women,younger,3
586,ages,younger,2
587,ages,convenience,1
588,convenience,sample,2
589,97,sample,1
590,97,older,1
591,age,women,3
592,65years,age,4
593,65years,older,1
594,citiesmunicipalities,older,1
595,citiesmunicipalities,serbia,1
596,interviewed,serbia,1
597,interviewed,respondents,1
598,provided,respondents,1
599,information,provided,2
600,finances,information,1
601,experience,finances,1
602,experience,receivingforgoing,1
603,inheritance,receivingforgoing,1
604,inheritance,lifelong,1
605,contract,lifelong,1
606,contract,family,1
607,family,members,46
608,etc,members,1
609,etc,given,1
610,given,sampling,1
611,methodology,sampling,1
612,findings,methodology,1
613,allow,findings,1
614,allow,generalization,1
615,generalization,results,1
616,provide,results,2
617,insights,provide,2
618,inform,insights,2
619,efficient,inform,1
620,efficient,policies,1
621,policies,protect,1
622,older,protect,4
623,particular,people,1
624,older,particular,1
625,form,women,1
626,bestpractice,guideline,1
627,guideline,prevention,1
628,abuse,prevention,9
629,neglect,older,41
630,adults,systematic,1
631,conducted,literature,1
632,conducted,identify,5
633,effective,identify,2
634,approaches,effective,1
635,approaches,preventing,2
636,addressing,preventing,2
637,abuse,addressing,5
638,adults,health,2
639,canada,settings,2
640,canada,review,1
641,conducted,review,6
642,conducted,databases,3
643,databases,searched,5
644,january,searched,1
645,2000aprilmay,january,1
646,2000aprilmay,2013,1
647,2013,additionally,1
648,additionally,expert,1
649,expert,panel,3
650,members,panel,1
651,members,submitted,1
652,article,submitted,1
653,article,citations,1
654,citations,personal,1
655,archives,personal,1
656,archives,research,1
657,associates,research,1
658,associates,nra,1
659,nra,screened,1
660,screened,title,1
661,abstract,title,1
662,abstract,inclusion,1
663,inclusion,interrater,1
664,interrater,reliability,3
665,determined,reliability,1
666,determined,nras,1
667,kappa,nras,1
668,kappa,score,1
669,076,score,1
670,076,records,1
671,divided,records,1
672,appraised,divided,1
673,appraised,data,1
674,extracted,independently,2
675,independently,review,1
676,resulted,review,2
677,62,resulted,1
678,62,studies,1
679,focused,studies,2
680,focused,identifying,1
681,assessing,identifying,1
682,assessing,responding,1
683,abuse,responding,1
684,adults,education,1
685,education,prevention,3
686,health,prevention,1
687,health,promotion,9
688,promotion,strategies,1
689,organizational,strategies,1
690,organizational,systemlevel,1
691,supports,systemlevel,1
692,prevent,supports,1
693,prevent,respond,3
694,abuse,respond,1
695,adults,remains,2
696,remains,underexplored,2
697,terms,underexplored,1
698,evidencebased,terms,1
699,evidencebased,studies,1
700,consequently,studies,1
701,consequently,research,1
702,areas,research,1
703,areas,described,1
704,described,results,1
705,needed,results,1
706,door,opening,2
707,developing,door,1
708,developing,pilot,1
709,pilot,testing,2
710,adult,testing,1
711,adult,protective,61
712,protective,services,55
713,services,worker,1
714,engagement,worker,1
715,engagement,training,1
716,new,training,2
717,new,york,9
718,city,york,3
719,10,city,1
720,10,americans,1
721,age,americans,2
722,60,age,9
723,60,experience,1
724,elder,experience,3
725,abuse,ea,10
726,ea,ea,1
727,ea,frequently,1
728,detected,frequently,1
729,detected,primary,1
730,primary,responders,1
731,alleged,responders,1
732,alleged,ea,1
733,cases,ea,3
734,adult,cases,1
735,protective,service,13
736,aps,service,2
737,aps,caseworkers,8
738,caseworkers,ideally,1
739,ideally,positioned,1
740,improve,positioned,1
741,detection,improve,3
742,detection,intervention,1
743,intervention,opening,1
744,door,otd,1
745,otd,training,1
746,developed,training,1
747,developed,multidisciplinary,1
748,multidisciplinary,setting,1
749,designed,setting,1
750,collaboration,designed,1
751,aps,collaboration,3
752,aps,workers,15
753,enhance,workers,1
754,engagement,enhance,1
755,engagement,skills,2
756,potential,skills,1
757,ea,potential,1
758,cases,maximize,1
759,maximize,possibility,1
760,disclosure,possibility,1
761,disclosure,rooted,1
762,relational,rooted,1
763,approach,relational,1
764,approach,utilizing,1
765,adult,utilizing,1
766,adult,learning,1
767,learning,theory,4
768,divided,theory,1
769,divided,main,1
770,main,topics,1
771,preparing,topics,1
772,engagement,preparing,1
773,engagement,engagement,1
774,engagement,practice,1
775,practice,processing,1
776,engagement,processing,1
777,eighthour,engagement,1
778,eighthour,training,1
779,piloted,training,1
780,groups,piloted,1
781,groups,urban,1
782,aps,urban,1
783,caseworkers,wide,1
784,range,wide,3
785,range,work,1
786,experience,work,1
787,experience,pre,1
788,posttests,pre,1
789,case,posttests,1
790,case,reflections,1
791,indicate,reflections,1
792,indicate,positive,2
793,impact,positive,2
794,caseworkers,impact,1
795,caseworkers,sense,1
796,selfefficacy,sense,1
797,focus,selfefficacy,1
798,groups,indicate,1
799,indicate,necessity,1
800,necessity,ongoing,1
801,ongoing,provision,1
802,provision,trainings,1
803,development,trainings,1
804,additional,development,1
805,additional,supports,1
806,aps,supports,1
807,caseworkers,future,1
808,future,work,2
809,explore,work,1
810,efficacy,explore,1
811,efficacy,training,1
812,expand,training,1
813,expand,reach,2
814,interventions,prevent,2
815,prevent,stop,2
816,abuse,stop,1
817,adults,work,1
818,systematic,work,1
819,review,reviews,2
820,abuse,reviews,1
821,adults,impact,1
822,impact,recognized,1
823,internationally,recognized,2
824,internationally,significant,1
825,growing,significant,1
826,growing,public,6
827,health,public,48
828,health,issues,4
829,issues,systematic,1
830,conducted,reviews,2
831,effective,strategies,4
832,approaches,strategies,2
833,abuse,preventing,5
834,adults,eligible,1
835,eligible,reviews,1
836,reviews,systematic,6
837,metaanalyses,systematic,1
838,focused,metaanalyses,1
839,focused,older,2
840,older,population,9
841,population,reported,1
842,publications,reported,1
843,publications,reviewed,1
844,prevention,reviewed,1
845,interventions,prevention,3
846,included,interventions,1
847,included,relevant,1
848,relevant,violence,1
849,abuse,violence,20
850,abuse,outcomes,3
851,outcomes,written,1
852,english,written,2
853,english,published,2
854,peerreviewed,published,1
855,journal,peerreviewed,1
856,january,journal,1
857,2000,january,1
858,2000,2020,1
859,2020,unique,1
860,reviews,unique,1
861,12,reviews,1
862,12,publications,1
863,met,publications,2
864,eligibility,met,1
865,criteria,eligibility,1
866,criteria,including,1
867,including,metaanalysis,2
868,included,metaanalysis,3
869,included,reviews,2
870,mainly,reviews,1
871,focused,mainly,1
872,focused,general,1
873,abuse,general,2
874,abuse,directed,1
875,directed,older,1
876,adults,educational,1
877,educational,interventions,5
878,interventions,professional,1
879,paraprofessional,professional,1
880,caregivers,paraprofessional,1
881,caregivers,multidisciplinary,1
882,multidisciplinary,teams,8
883,health,teams,1
884,care,legal,1
885,legal,professionals,2
886,families,professionals,1
887,families,interventions,1
888,implemented,interventions,2
889,implemented,variety,1
890,community,variety,1
891,community,institutional,3
892,addressed,settings,1
893,addressed,primary,1
894,primary,secondary,4
895,secondary,tertiary,2
896,prevention,tertiary,1
897,prevention,reviews,1
898,indicated,reviews,1
899,indicated,weak,1
900,insufficient,weak,1
901,evidence,insufficient,2
902,effectiveness,evidence,1
903,effectiveness,preventing,1
904,preventing,reducing,3
905,abuse,reducing,4
906,abuse,promising,1
907,practices,promising,1
908,identified,practices,1
909,future,identified,2
910,future,research,29
911,needed,research,7
912,evaluate,needed,1
913,emerging,evaluate,1
914,emerging,promising,1
915,promising,strategies,1
916,approaches,prevent,1
917,abuse,prevent,9
918,adults,effective,1
919,effective,interventions,6
920,interventions,needed,2
921,needed,prevent,2
922,prevent,reduce,3
923,abuse,reduce,1
924,adults,brief,1
925,brief,overview,1
926,abuse,overview,1
927,adults,pervasive,1
928,global,pervasive,1
929,global,social,2
930,issue,social,3
931,issue,resulting,1
932,harm,resulting,1
933,harm,vulnerable,1
934,population,vulnerable,5
935,population,rapid,1
936,increase,rapid,2
937,increase,number,3
938,dependent,number,1
939,adults,dependent,1
940,adults,elder,7
941,likely,neglect,3
942,likely,pervasive,1
943,pervasive,recent,1
944,recent,years,3
945,shown,years,1
946,improved,shown,1
947,improved,research,1
948,methodology,research,5
949,healthcare,methodology,1
950,healthcare,legislative,1
951,legislative,responses,1
952,improved,responses,1
953,improved,understanding,3
954,narrowed,understanding,1
955,definitions,narrowed,1
956,appreciation,definitions,1
957,appreciation,nuances,1
958,complexities,nuances,1
959,complexities,varied,1
960,settings,varied,1
961,older,settings,2
962,adult,mistreatment,4
963,mistreatment,occurs,1
964,occurs,resulted,1
965,improved,resulted,1
966,identification,improved,2
967,identification,intervention,4
968,intervention,prevention,16
969,health,people,1
970,facilities,health,2
971,facilities,perspective,1
972,nursing,perspective,1
973,nursing,professionals,7
974,crosssectional,professionals,1
975,croatia,study,1
976,abuse,croatia,1
977,people,represent,1
978,represent,salient,1
979,public,salient,1
980,health,issue,10
981,issue,remains,1
982,remains,understudied,1
983,current,understudied,1
984,current,literature,2
985,literature,studies,2
986,estimating,focused,2
987,estimating,prevalence,4
988,mistreatment,prevalence,5
989,mistreatment,older,16
990,litter,people,1
991,litter,priority,1
992,healthcare,priority,1
993,healthcare,professionals,27
994,professionals,role,2
995,addressing,role,4
996,addressing,problem,2
997,aim,problem,3
998,aim,paper,2
999,determine,paper,1
1000,determine,nurses,1
1001,nurses,perceptions,1
1002,neglect,perceptions,3
1003,health,persons,1
1004,croatia,facilities,1
1005,croatia,crosssectional,1
1006,crosssectional,survey,5
1007,convenience,survey,1
1008,convenience,sampling,2
1009,approach,sampling,1
1010,approach,conducted,2
1011,632,conducted,1
1012,632,nursing,1
1013,26,professionals,1
1014,26,march,2
1015,26,april,1
1016,2020,april,1
1017,2020,participation,1
1018,participation,voluntary,1
1019,anonymous,voluntary,1
1020,anonymous,questionnaire,2
1021,drennan,questionnaire,1
1022,drennan,et,1
1023,al,et,4
1024,al,ncpop,1
1025,ncpop,university,1
1026,college,university,1
1027,college,dublin,1
1028,dublin,dublin,1
1029,2012,dublin,1
1030,2012,previously,1
1031,adapted,previously,1
1032,adapted,neuberg,1
1033,et,neuberg,1
1034,al,arch,1
1035,arch,ind,1
1036,hyg,ind,1
1037,hyg,toxicol,1
1038,68,toxicol,1
1039,2017,68,1
1040,190,2017,1
1041,190,survey,1
1042,instrument,survey,1
1043,descriptive,instrument,1
1044,descriptive,inferential,1
1045,inferential,statistics,2
1046,multivariable,statistics,1
1047,methods,multivariable,1
1048,methods,reliability,1
1049,analysis,reliability,2
1050,analysis,significance,1
1051,set,significance,2
1052,p05,set,1
1053,p05,twotailed,1
1054,abuseneglect,twotailed,1
1055,abuseneglect,older,2
1056,observed,people,1
1057,138,observed,1
1058,138,574,1
1059,574,nursing,1
1060,depending,professionals,1
1061,depending,incident,1
1062,incident,type,2
1063,prevalent,type,1
1064,incidents,prevalent,2
1065,incidents,observed,2
1066,ignoring,observed,1
1067,ignoring,older,1
1068,older,person,13
1069,574,person,1
1070,574,shouting,1
1071,older,shouting,2
1072,anger,person,1
1073,411,anger,1
1074,411,forcefeeding,1
1075,forcefeeding,older,1
1076,345,person,1
1077,345,prevalent,1
1078,denial,observed,1
1079,denial,food,1
1080,food,privileges,1
1081,form,privileges,1
1082,form,punishment,1
1083,138,punishment,1
1084,138,male,1
1085,male,nursing,1
1086,professionals,reported,4
1087,observing,reported,1
1088,forms,observing,1
1089,abuse,forms,21
1090,abuse,significantly,9
1091,female,significantly,1
1092,counterparts,female,1
1093,counterparts,p,1
1094,038,p,1
1095,038,statistically,1
1096,significant,statistically,15
1097,agerelated,significant,1
1098,agerelated,differences,1
1099,differences,furthermore,1
1100,furthermore,mistreatment,1
1101,frequently,people,1
1102,frequently,observed,1
1103,nursing,observed,1
1104,homes,nursing,87
1105,homes,p,1
1106,013,p,1
1107,013,suboptimal,1
1108,ratio,suboptimal,1
1109,caregivers,ratio,1
1110,care,caregivers,4
1111,care,recipients,12
1112,nursing,recipients,1
1113,professionals,work,5
1114,shifts,work,1
1115,p,shifts,1
1116,012,p,1
1117,012,reliability,1
1118,analysis,demonstrated,2
1119,demonstrated,satisfactory,1
1120,level,satisfactory,1
1121,internal,level,1
1122,consistency,internal,11
1123,consistency,questionnaire,1
1124,questionnaire,study,2
1125,reinforces,study,1
1126,neglect,reinforces,1
1127,growing,people,1
1128,health,problem,17
1129,problem,puts,1
1130,emphasis,puts,1
1131,emphasis,perception,1
1132,need,perception,1
1133,need,systematic,1
1134,continuous,systematic,1
1135,continuous,training,2
1136,nursing,training,1
1137,preventing,professionals,1
1138,identifying,preventing,1
1139,identifying,responding,2
1140,mistreatment,responding,1
1141,aim,mistreatment,2
1142,aim,enhancing,1
1143,enhancing,quality,1
1144,life,quality,33
1145,life,vulnerable,1
1146,group,vulnerable,2
1147,group,study,5
1148,contributes,study,2
1149,contributes,growing,1
1150,body,growing,2
1151,body,research,3
1152,quality,research,1
1153,evidencebased,quality,1
1154,evidencebased,nursing,1
1155,care,nursing,12
1156,care,older,18
1157,notably,people,1
1158,notably,providers,1
1159,perspective,providers,1
1160,direct,perspective,1
1161,direct,implications,2
1162,implications,policy,5
1163,policy,practice,15
1164,practice,research,16
1165,research,training,3
1166,estimates,factors,1
1167,associated,factors,49
1168,associated,violence,2
1169,adults,national,3
1170,intimate,national,5
1171,partner,sexual,5
1172,sexual,violence,22
1173,nisvs,violence,1
1174,nisvs,survey,3
1175,20162017,survey,1
1176,20162017,abuse,1
1177,adults,public,1
1178,national,problem,1
1179,survey,violence,4
1180,nationallyrepresentative,nisvs,1
1181,nationallyrepresentative,telephone,1
1182,survey,telephone,5
1183,noninstitutionalized,survey,1
1184,adults,noninstitutionalized,1
1185,adults,united,5
1186,states,united,29
1187,determine,states,1
1188,determine,prevalence,10
1189,factors,prevalence,4
1190,factors,intimate,1
1191,partner,psychological,1
1192,aggression,psychological,4
1193,aggression,physical,4
1194,physical,violence,9
1195,perpetrator,violence,1
1196,older,perpetrator,1
1197,adults,analyzed,4
1198,analyzed,nisvs,1
1199,20162017,nisvs,1
1200,20162017,data,1
1201,data,n10171,1
1202,aged60years,n10171,1
1203,aged60years,past,1
1204,12month,past,1
1205,12month,prevalence,1
1206,prevalence,psychological,7
1207,21,violence,1
1208,08,21,1
1209,08,17,1
1210,17,respectively,1
1211,odds,respectively,1
1212,odds,psychological,2
1213,aggression,significantly,1
1214,higher,significantly,7
1215,hearing,higher,1
1216,hearing,vision,2
1217,impairment,vision,2
1218,impairment,lower,2
1219,aged70years,lower,2
1220,aged70years,odds,1
1221,odds,physical,1
1222,significantly,violence,2
1223,higher,males,1
1224,hearing,males,1
1225,impairment,odds,1
1226,odds,sexual,1
1227,higher,unpartnered,1
1228,individuals,unpartnered,1
1229,cognitive,individuals,1
1230,cognitive,impairment,15
1231,aged70years,epidemiologic,1
1232,epidemiologic,studies,1
1233,studies,violence,1
1234,adults,inform,3
1235,inform,populationspecific,1
1236,populationspecific,prevention,1
1237,prevention,strategies,8
1238,missing,voices,1
1239,older,voices,1
1240,older,peoples,13
1241,peoples,perspectives,2
1242,abused,perspectives,1
1243,abused,uganda,1
1244,abuse,uganda,2
1245,major,people,1
1246,challenge,major,2
1247,challenge,people,1
1248,aging,people,1
1249,aging,studies,2
1250,older,studies,2
1251,abuse,perspectives,2
1252,abuse,focus,4
1253,focus,mainly,2
1254,developed,mainly,1
1255,countries,developed,2
1256,countries,views,1
1257,subsaharan,views,1
1258,africa,subsaharan,1
1259,africa,remain,1
1260,largely,remain,1
1261,largely,unheard,1
1262,social,unheard,1
1263,research,social,2
1264,address,research,2
1265,address,imbalance,1
1266,imbalance,report,1
1267,qualitative,report,1
1268,qualitative,study,20
1269,indepth,study,1
1270,indepth,semistructured,10
1271,interviews,semistructured,15
