,source,target,weight,Category
104,abuse,commonly,1,medical
105,abuse,types,3,medical
106,abuse,likely,5,medical
107,abuse,type,2,medical
108,abuse,unique,1,medical
109,abuse,victims,17,medical
110,abuse,related,3,medical
111,abuse,covid19,1,medical
112,abuse,pandemic,3,medical
113,abuse,intentional,1,medical
114,abuse,group,1,medical
115,abuse,interventionprevention,1,medical
116,abuse,occurs,1,medical
117,abuse,risk,5,medical
118,abuse,detecting,1,medical
119,abuse,challenging,1,medical
120,abuse,investigate,2,medical
121,abuse,associated,3,medical
122,abuse,overall,1,medical
123,abuse,18,1,medical
124,abuse,cases,4,medical
125,abuse,result,1,medical
126,abuse,mistreatment,4,medical
127,abuse,neglecta,1,medical
128,abuse,health,2,medical
129,abuse,past,1,medical
130,abuse,elder,6,medical
131,abuse,encompasses,1,medical
132,abuse,including,4,medical
133,abuse,abuse,3,medical
134,abuse,actually,1,medical
135,abuse,perpetrated,1,medical
136,abuse,discussion,1,medical
137,abuse,exploratory,1,medical
138,abuse,recent,1,medical
139,abuse,glimpse,1,medical
140,abuse,detection,4,medical
141,abuse,76,1,medical
142,abuse,feel,1,medical
143,abuse,knowledge,1,medical
144,abuse,limited,1,medical
145,abuse,occurring,1,medical
146,abuse,increases,1,medical
147,abuse,resulting,1,medical
148,abuse,estimated,4,medical
149,abuse,caregiver,2,medical
150,abuse,emotional,3,medical
151,abuse,likewise,1,medical
152,abuse,case,3,medical
153,abuse,qualitative,1,medical
154,abuse,common,6,medical
155,abuse,collaboration,2,medical
156,abuse,victim,2,medical
157,abuse,confrontation,1,medical
158,abuse,identified,3,medical
159,abuse,assist,2,medical
160,abuse,hidden,1,medical
161,abuse,major,1,medical
162,abuse,reportedly,1,medical
163,abuse,theft,1,medical
164,abuse,home,1,medical
165,abuse,crosssectional,2,medical
166,abuse,neglected,1,medical
167,abuse,rural,1,medical
168,abuse,hwaleksengstock,1,medical
169,abuse,screening,9,medical
170,abuse,243,1,medical
171,abuse,502,1,medical
172,abuse,primary,3,medical
173,abuse,302,1,medical
174,abuse,higher,1,medical
175,abuse,lebanon,1,medical
176,abuse,preventable,1,medical
177,abuse,beirut,1,medical
178,abuse,seemingly,1,medical
179,abuse,requires,1,medical
180,abuse,public,1,medical
181,abuse,pediatric,1,medical
182,abuse,patients,3,medical
183,abuse,fracture,2,medical
184,abuse,compared,2,medical
185,abuse,psychological,3,medical
186,abuse,multiple,2,medical
187,abuse,multivariate,1,medical
188,abuse,heightened,1,medical
189,abuse,considered,1,medical
190,abuse,bibliometric,1,medical
191,abuse,emerging,1,medical
192,abuse,published,1,medical
193,abuse,originated,1,medical
194,abuse,relatively,1,medical
195,abuse,studied,1,medical
196,abuse,underresearched,1,medical
197,abuse,based,1,medical
198,abuse,predictors,2,medical
199,abuse,important,3,medical
200,abuse,children,1,medical
201,abuse,elicited,1,medical
202,abuse,tool,1,medical
203,abuse,study,2,medical
204,abuse,commonest,1,medical
205,abuse,univariate,1,medical
206,abuse,respondents,1,medical
207,abuse,ground,1,medical
208,abuse,prevention,2,medical
209,abuse,provide,1,medical
210,abuse,south,2,medical
211,abuse,globally,1,medical
212,abuse,screen,2,medical
213,abuse,validation,1,medical
214,abuse,perpetration,5,medical
215,abuse,studies,1,medical
216,abuse,especially,1,medical
217,abuse,included,2,medical
218,abuse,thrive,1,medical
219,abuse,leverage,1,medical
220,abuse,community,4,medical
221,abuse,wide,1,medical
222,abuse,prevalence,2,medical
223,abuse,07783,1,medical
224,abuse,01677,1,medical
225,abuse,0592,1,medical
226,abuse,low,1,medical
227,abuse,prevalent,1,medical
228,abuse,online,2,medical
229,abuse,defined,2,medical
230,abuse,awareness,4,medical
231,abuse,ninetysix,1,medical
232,abuse,improvement,1,medical
233,abuse,1198,1,medical
234,abuse,11,1,medical
235,abuse,02,1,medical
236,abuse,sexual,5,medical
237,abuse,verbalemotionalpsychological,1,medical
238,abuse,geriatrics,4,medical
239,abuse,consultation,1,medical
240,abuse,pediatrics,3,medical
241,abuse,evidence,1,medical
242,abuse,impact,1,medical
243,abuse,severity,5,medical
244,abuse,assessed,1,medical
245,abuse,respectively,2,medical
246,abuse,890,1,medical
247,abuse,86,1,medical
248,abuse,49,1,medical
249,abuse,468,1,medical
250,abuse,68,2,medical
251,abuse,factors,2,medical
252,abuse,individuals,1,medical
253,abuse,escalating,1,medical
254,abuse,comorbid,2,medical
255,abuse,khat,1,medical
256,abuse,418,1,medical
257,abuse,magnitude,1,medical
258,abuse,ea,1,medical
259,abuse,fipv,1,medical
260,abuse,review,1,medical
261,abuse,fatality,2,medical
262,abuse,matters,1,medical
263,abuse,previous,1,medical
264,abuse,facilitating,1,medical
265,abuse,high,2,medical
266,abuse,written,1,medical
267,abuse,patient,1,medical
268,abuse,acute,1,medical
269,abuse,bologna,1,medical
270,abuse,italy,1,medical
271,abuse,research,5,medical
272,abuse,iran,3,medical
273,abuse,combination,1,medical
274,abuse,483,1,medical
275,abuse,elders,1,medical
276,abuse,differently,2,medical
277,abuse,intersectionality,1,medical
278,abuse,systems,1,medical
279,abuse,medical,2,medical
280,abuse,elderly,6,medical
281,abuse,cutaneous,1,medical
282,abuse,patterned,1,medical
283,abuse,analysis,1,medical
284,abuse,oaa,1,medical
285,abuse,characterized,1,medical
286,abuse,results,1,medical
287,abuse,currently,1,medical
288,abuse,despite,2,medical
289,abuse,institutional,2,medical
290,abuse,lacks,1,medical
291,abuse,object,1,medical
292,abuse,particularly,1,medical
293,abuse,victimisation,1,medical
294,abuse,examine,1,medical
295,abuse,exposure,1,medical
296,abuse,positive,1,medical
297,abuse,ksa,1,medical
298,abuse,training,4,medical
299,abuse,experience,1,medical
300,abuse,438,1,medical
301,abuse,219,1,medical
302,abuse,324,1,medical
303,abuse,dental,1,medical
304,abuse,educators,1,medical
305,abuse,homebound,1,medical
306,abuse,intimate,1,medical
307,abuse,populations,1,medical
308,abuse,1,1,medical
309,abuse,experts,2,medical
310,abuse,conducted,1,medical
311,abuse,12,1,medical
312,abuse,experienced,2,medical
313,abuse,turkey,1,medical
314,abuse,charges,1,medical
315,abuse,rate,2,medical
316,abuse,457,1,medical
317,abuse,national,1,medical
318,abuse,affecting,1,medical
319,abuse,effect,1,medical
320,abuse,692,1,medical
321,abuse,66,1,medical
322,abuse,15,2,medical
323,abuse,perpetrators,1,medical
324,abuse,spouses,1,medical
325,abuse,seen,1,medical
326,abuse,help,1,medical
327,abuse,hope,1,medical
328,abuse,field,1,medical
329,abuse,intervention,1,medical
330,abuse,multidisciplinary,1,medical
331,abuse,communitybased,1,medical
332,abuse,cognitive,1,medical
333,abuse,mean,1,medical
334,abuse,169,1,medical
335,abuse,75,1,medical
336,abuse,19,1,medical
337,abuse,pediatricians,1,medical
338,abuse,clinical,1,medical
339,abuse,focus,1,medical
340,abuse,diagnosis,2,medical
341,abuse,practice,2,medical
342,abuse,service,4,medical
343,abuse,resolution,2,medical
344,abuse,services,2,medical
345,abuse,lessons,1,medical
346,abuse,domestic,1,medical
347,abuse,discussed,1,medical
348,abuse,presented,1,medical
349,abuse,serving,1,medical
350,abuse,ranged,1,medical
351,abuse,given,2,medical
352,abuse,organic,1,medical
353,abuse,particular,1,medical
354,abuse,settings,1,medical
355,abuse,tailored,1,medical
356,abuse,10,1,medical
357,abuse,dermatology,1,medical
358,abuse,appropriate,1,medical
359,abuse,implementation,1,medical
360,abuse,continue,1,medical
361,abuse,expected,2,medical
362,abuse,attitudes,2,medical
363,abuse,total,1,medical
364,abuse,935,1,medical
365,abuse,culture,1,medical
366,abuse,utilize,1,medical
367,abuse,geriatric,1,medical
368,abuse,iranian,1,medical
369,abuse,physicians,2,medical
370,abuse,20year,1,medical
371,abuse,2022,1,medical
372,abuse,belief,1,medical
373,abuse,legislation,1,medical
374,abuse,reporting,1,medical
375,abuse,nursing,2,medical
376,abuse,pa,1,medical
377,abuse,silence,1,medical
378,abuse,frequent,1,medical
379,abuse,little,1,medical
380,abuse,postmortem,1,medical
381,abuse,hospitalised,1,medical
382,abuse,suspicion,2,medical
383,abuse,215,1,medical
384,abuse,women,2,medical
385,abuse,2291,1,medical
386,abuse,absent,1,medical
387,abuse,statistically,1,medical
388,abuse,r,1,medical
389,abuse,diverse,1,medical
390,abuse,communityresiding,1,medical
391,abuse,refer,1,medical
392,abuse,nonstigmatizing,1,medical
393,abuse,determined,1,medical
394,abuse,creates,1,medical
395,abuse,quasiexperimental,1,medical
396,abuse,safe,1,medical
397,abuse,significant,1,medical
398,abuse,outofhospital,4,medical
399,abuse,following,1,medical
400,abuse,female,1,medical
401,abuse,highest,1,medical
402,abuse,869,1,medical
403,abuse,lifetime,3,medical
404,abuse,hospitalized,1,medical
405,abuse,719,1,medical
406,abuse,sensitivity,1,medical
407,abuse,230,1,medical
408,abuse,stated,1,medical
409,abuse,data,1,medical
410,abuse,greece,2,medical
411,abuse,greeks,1,medical
412,abuse,taking,1,medical
413,abuse,assessment,1,medical
414,abuse,detected,1,medical
415,abuse,integrating,1,medical
416,abuse,experiences,1,medical
417,abuse,emergency,1,medical
418,abuse,reached,1,medical
419,abuse,2012,1,medical
420,abuse,diagnosed,1,medical
421,abuse,eds,2,medical
422,abuse,recorded,1,medical
423,abuse,orders,1,medical
424,abuse,captured,1,medical
425,abuse,bivariate,1,medical
426,abuse,logistic,1,medical
427,abuse,certain,1,medical
428,abuse,clinic,1,medical
429,abuse,verbalmental,1,medical
430,abuse,nationally,1,medical
431,abuse,neglectrelated,1,medical
432,abuse,nonresident,1,medical
433,abuse,perception,1,medical
434,abuse,healthcare,2,medical
435,abuse,identify,1,medical
436,abuse,40,1,medical
437,abuse,violation,1,medical
438,abuse,reportingtreatment,1,medical
439,abuse,13,1,medical
440,neglect,health,2,medical
441,neglect,physical,5,medical
442,neglect,older,12,medical
443,neglect,likely,1,medical
444,neglect,abuse,8,medical
445,neglect,mmctsean,1,medical
446,neglect,ean,5,medical
447,neglect,ireland,1,medical
448,neglect,factor,1,medical
449,neglect,56,1,medical
450,neglect,people,1,medical
451,neglect,objective,1,medical
452,neglect,adults,1,medical
453,neglect,165,1,medical
454,neglect,abandonment,2,medical
455,neglect,elderly,3,medical
456,neglect,played,1,medical
457,neglect,finally,1,medical
458,neglect,establish,1,medical
459,neglect,currently,2,medical
460,neglect,article,1,medical
461,neglect,man,1,medical
462,neglect,inversely,1,medical
463,neglect,related,2,medical
464,neglect,combination,1,medical
465,neglect,determinants,1,medical
466,neglect,104,1,medical
467,neglect,active,1,medical
468,neglect,elders,1,medical
469,neglect,reviewed,1,medical
470,neglect,human,1,medical
471,neglect,ineed,2,medical
472,neglect,systematic,1,medical
473,neglect,emergency,1,medical
474,neglect,common,3,medical
475,neglect,document,1,medical
476,neglect,include,1,medical
477,neglect,financial,8,medical
478,neglect,exploitation,2,medical
479,neglect,discussion,1,medical
480,neglect,50,1,medical
481,neglect,cases,3,medical
482,neglect,sexual,1,medical
483,neglect,published,1,medical
484,neglect,aged,1,medical
485,neglect,refusing,1,medical
486,neglect,11789,1,medical
487,neglect,growing,1,medical
488,neglect,46111,1,medical
489,neglect,caregiver,1,medical
490,neglect,standardized,1,medical
491,neglect,difficult,1,medical
492,neglect,rural,1,medical
493,neglect,vital,1,medical
494,neglect,africa,1,medical
495,neglect,associated,2,medical
496,neglect,emotional,1,medical
497,neglect,need,1,medical
498,neglect,ed,1,medical
499,neglect,dimensionat,1,medical
500,neglect,work,1,medical
501,neglect,little,1,medical
502,neglect,lesbian,1,medical
503,neglect,mature,1,medical
504,neglect,established,1,medical
505,neglect,new,1,medical
506,neglect,facilitate,1,medical
507,neglect,articles,1,medical
508,neglect,identifying,1,medical
509,neglect,identified,1,medical
510,neglect,proposed,1,medical
511,neglect,categories,1,medical
512,neglect,different,1,medical
513,neglect,lead,1,medical
514,neglect,elder,1,medical
515,neglect,direct,1,medical
516,neglect,included,1,medical
517,neglect,easy,1,medical
518,neglect,highlight,1,medical
519,neglect,mistreatment,1,medical
520,neglect,statistically,1,medical
521,neglect,p,1,medical
522,neglect,344,1,medical
523,neglect,preventive,1,medical
524,neglect,635,1,medical
525,neglect,487,1,medical
526,neglect,2,1,medical
527,neglect,scale,1,medical
528,neglect,substandard,1,medical
529,neglect,adjusted,1,medical
530,neglect,study,1,medical
531,neglect,researchers,1,medical
532,neglect,knowledgeable,1,medical
533,neglect,number,1,medical
534,neglect,improving,1,medical
535,neglect,iran,2,medical
536,neglect,substantial,1,medical
537,neglect,18,1,medical
538,neglect,181,1,medical
539,neglect,prevented,1,medical
540,neglect,undergraduate,2,medical
541,neglect,appear,1,medical
542,neglect,purpose,1,medical
543,neglect,taught,1,medical
544,neglect,applied,1,medical
545,neglect,lack,1,medical
546,neglect,national,1,medical
547,neglect,clear,1,medical
548,neglect,16,1,medical
549,neglect,nonetheless,1,medical
550,neglect,witness,1,medical
551,neglect,criminal,1,medical
552,neglect,907,1,medical
553,neglect,making,2,medical
554,neglect,trending,1,medical
555,neglect,including,1,medical
556,neglect,timelines,1,medical
557,neglect,nursing,3,medical
558,neglect,institutionalized,1,medical
559,neglect,occurred,1,medical
560,neglect,qualitative,1,medical
561,neglect,differences,1,medical
562,neglect,paper,1,medical
563,neglect,characterized,1,medical
564,neglect,requires,1,medical
565,neglect,economicfinancial,1,medical
566,neglect,53,1,medical
567,neglect,intervention,2,medical
568,neglect,primary,1,medical
569,neglect,pcps,1,medical
570,neglect,indicated,1,medical
571,neglect,issues,1,medical
572,neglect,intentions,1,medical
573,neglect,participants,1,medical
574,neglect,communitydwelling,1,medical
575,neglect,en,1,medical
576,neglect,social,2,medical
577,neglect,poor,1,medical
578,neglect,multivariate,1,medical
579,neglect,medical,2,medical
580,neglect,residential,1,medical
581,neglect,province,1,medical
582,neglect,geriatric,1,medical
583,neglect,occurs,1,medical
584,neglect,mentioned,1,medical
585,neglect,rotating,1,medical
586,neglect,economic,1,medical
587,neglect,greater,1,medical
588,neglect,higher,1,medical
589,neglect,prepared,1,medical
590,neglect,conducting,1,medical
591,neglect,context,1,medical
592,neglect,period,1,medical
593,neglect,cause,1,medical
594,neglect,relevant,1,medical
595,neglect,long,1,medical
596,neglect,resident,1,medical
597,neglect,expansion,1,medical
598,neglect,41question,1,medical
599,neglect,represents,1,medical
600,health,care,35,medical
601,health,facilities,2,medical
602,health,issue,4,medical
603,health,problem,6,medical
604,health,system,3,medical
605,health,outcomes,4,medical
606,health,developed,1,medical
607,health,crisis,2,medical
608,health,injury,1,medical
609,health,record,2,medical
610,health,challenge,1,medical
611,health,clinical,1,medical
612,health,centre,2,medical
613,health,human,1,medical
614,health,policy,1,medical
615,health,decades,1,medical
616,health,social,2,medical
617,health,science,1,medical
618,health,professionals,3,medical
619,health,status,2,medical
620,health,change,1,medical
621,health,challenges,1,medical
622,health,fipv,1,medical
623,health,needs,2,medical
624,health,education,1,medical
625,health,functional,1,medical
626,health,legal,1,medical
627,health,elders,1,medical
628,health,nurses,1,medical
629,health,systems,2,medical
630,health,problems,1,medical
631,health,environment,1,medical
632,health,neglect,1,medical
633,health,board,1,medical
634,health,consequences,1,medical
635,health,effects,2,medical
636,health,mental,1,medical
637,health,study,1,medical
638,health,clinics,1,medical
639,health,questionnaire12,1,medical
640,health,screening,3,medical
641,health,intervention,1,medical
642,health,treatment,1,medical
643,health,referral,1,medical
644,health,measures,1,medical
645,health,organization,3,medical
646,health,burdens,1,medical
647,health,safety,2,medical
648,health,experts,1,medical
649,health,standard,1,medical
650,health,economics,1,medical
651,health,impacts,1,medical
652,health,psycinfo,1,medical
653,health,attempts,1,medical
654,health,8,1,medical
655,health,needed,1,medical
656,health,public,1,medical
657,care,encounter,1,medical
658,care,providers,20,medical
659,care,settings,5,medical
660,care,essential,1,medical
661,care,recipients,1,medical
662,care,older,1,medical
663,care,work,1,medical
664,care,issues,1,medical
665,care,social,3,medical
666,care,patients,2,medical
667,care,disease,1,medical
668,care,professionals,6,medical
669,care,nurses,3,medical
670,care,workforce,2,medical
671,care,service,2,medical
672,care,practitioners,1,medical
673,care,lived,1,medical
674,care,setting,3,medical
675,care,model,2,medical
676,care,coordination,1,medical
677,care,safety,1,medical
678,care,context,1,medical
679,care,clinicians,1,medical
680,care,response,1,medical
681,care,cost,1,medical
682,care,hospitals,1,medical
683,care,provided,1,medical
684,care,hospital,1,medical
685,care,planning,1,medical
686,care,neglect,1,medical
687,care,victims,2,medical
688,care,3,1,medical
689,care,use,1,medical
690,care,lifeprolonging,1,medical
691,care,assessment,1,medical
692,care,utilisation,2,medical
693,care,effectively,1,medical
694,care,facilities,2,medical
695,care,ninetyseven,1,medical
696,care,n8,1,medical
697,care,site,1,medical
698,care,associated,1,medical
699,care,community,2,medical
700,care,evaluate,1,medical
701,care,elder,1,medical
702,care,little,1,medical
703,care,home,7,medical
704,care,homes,2,medical
705,care,centers,1,medical
706,care,longterm,1,medical
707,care,ltc,1,medical
708,care,institutionalized,1,medical
709,care,project,1,medical
710,care,pragmatic,1,medical
711,care,care,1,medical
712,care,challenges,1,medical
713,care,inhibitors,1,medical
714,care,suggest,1,medical
715,care,physicians,2,medical
716,care,level,2,medical
717,care,clinics,1,medical
718,care,vulnerable,1,medical
719,care,doctors,6,medical
720,care,n,1,medical
721,care,provider,2,medical
722,care,reduce,1,medical
723,care,virtual,1,medical
724,care,establishment,1,medical
725,care,data,1,medical
726,care,post,1,medical
727,care,survey,1,medical
728,care,ed,2,medical
729,care,wvap,1,medical
730,care,volunteer,1,medical
731,care,frequent,1,medical
732,care,ombudsmen,2,medical
733,care,assistants,1,medical
734,encounter,potentially,1,medical
735,encounter,challenging,1,medical
736,encounter,resources,1,medical
737,potentially,critical,1,medical
738,potentially,result,1,medical
739,potentially,increasing,1,medical
740,potentially,devastating,1,medical
741,potentially,untapped,1,medical
742,potentially,vulnerable,1,medical
743,potentially,abusive,2,medical
744,critical,opportunity,1,medical
745,critical,tool,1,medical
746,critical,public,1,medical
747,critical,input,1,medical
748,critical,ensuring,2,medical
749,critical,expanding,1,medical
750,critical,insights,1,medical
751,critical,role,1,medical
752,opportunity,detect,1,medical
753,opportunity,identify,6,medical
754,opportunity,benefit,1,medical
755,opportunity,improve,2,medical
756,opportunity,encourage,1,medical
757,detect,elder,1,medical
758,detect,physical,1,medical
759,detect,multiple,1,medical
760,detect,aim,1,medical
761,detect,cognitive,1,medical
762,detect,early,1,medical
763,detect,abuse,1,medical
764,initiate,intervention,4,medical
765,intervention,unfortunately,1,medical
766,intervention,prevention,4,medical
767,intervention,vulnerable,1,medical
768,intervention,emergency,1,medical
769,intervention,groupsitp,1,medical
770,intervention,observed,1,medical
771,intervention,groups,2,medical
772,intervention,p,1,medical
773,intervention,effective,1,medical
774,intervention,improving,1,medical
775,intervention,designed,1,medical
776,intervention,aimed,1,medical
777,intervention,seven,1,medical
778,intervention,educational,1,medical
779,intervention,primary,1,medical
780,intervention,elder,6,medical
781,intervention,ed,1,medical
782,intervention,approaches,1,medical
783,intervention,preliminary,1,medical
784,intervention,39,1,medical
785,intervention,nurses,1,medical
786,intervention,group,2,medical
787,intervention,studies,1,medical
788,intervention,research,2,medical
789,intervention,proves,1,medical
790,intervention,protect,1,medical
791,intervention,caregivers,1,medical
792,intervention,arms,2,medical
793,intervention,program,1,medical
794,intervention,clinical,1,medical
795,intervention,pcps,1,medical
796,intervention,organizational,1,medical
797,intervention,correctly,1,medical
798,intervention,family,2,medical
799,intervention,continuous,1,medical
800,intervention,guidelines,1,medical
801,intervention,address,1,medical
802,intervention,project,1,medical
803,intervention,atrisk,1,medical
804,unfortunately,health,1,medical
805,providers,currently,1,medical
806,providers,inclusion,1,medical
807,providers,develop,1,medical
808,providers,perspective,1,medical
809,providers,rarely,1,medical
810,providers,experiences,1,medical
811,providers,reported,1,medical
812,providers,experience,1,medical
813,providers,knowledge,1,medical
814,providers,unclear,1,medical
815,providers,ean,1,medical
816,providers,phsps,1,medical
817,providers,potentially,1,medical
818,providers,concerned,1,medical
819,providers,especially,1,medical
820,providers,properly,1,medical
821,providers,awareness,1,medical
822,providers,address,1,medical
823,providers,involved,1,medical
824,providers,working,1,medical
825,providers,case,1,medical
826,providers,speaking,2,medical
827,providers,difficulties,1,medical
828,providers,n,1,medical
829,providers,sense,1,medical
830,providers,play,1,medical
831,providers,trained,1,medical
832,providers,commonly,1,medical
833,providers,improved,1,medical
834,providers,pediatric,1,medical
835,providers,radiologists,1,medical
836,providers,represent,1,medical
837,providers,identify,1,medical
838,providers,key,1,medical
839,providers,documentation,1,medical
840,providers,focused,1,medical
841,providers,child,1,medical
842,providers,focusing,1,medical
843,providers,navigate,1,medical
844,providers,enabling,1,medical
845,providers,create,1,medical
846,providers,screen,1,medical
847,providers,study,1,medical
848,providers,responsibilities,1,medical
849,providers,improve,1,medical
850,providers,conduct,1,medical
851,providers,treat,1,medical
852,currently,seldom,1,medical
853,currently,face,1,medical
854,currently,validated,1,medical
855,currently,unrealized,1,medical
856,currently,functioning,1,medical
857,currently,play,1,medical
858,currently,limited,1,medical
859,seldom,identify,1,medical
860,seldom,realized,1,medical
861,seldom,documented,1,medical
862,development,advanced,1,medical
863,development,protocol,1,medical
864,development,combined,1,medical
865,development,mental,1,medical
866,development,prevention,1,medical
867,development,communities,1,medical
868,development,edbased,1,medical
869,development,emergency,1,medical
870,development,vulnerable,1,medical
871,development,field,1,medical
872,development,psychopathology,1,medical
873,development,training,2,medical
874,development,rational,1,medical
875,development,effective,1,medical
876,development,complementary,1,medical
877,advanced,data,1,medical
878,advanced,multiple,1,medical
879,advanced,ms,2,medical
880,advanced,age,2,medical
881,data,analytics,1,medical
882,data,collected,8,medical
883,data,screening,1,medical
884,data,abuse,1,medical
885,data,able,1,medical
886,data,ncea,1,medical
887,data,lead,2,medical
888,data,large,1,medical
889,data,elder,3,medical
890,data,electronic,1,medical
891,data,20122014,1,medical
892,data,found,1,medical
893,data,grouped,1,medical
894,data,analysed,1,medical
895,data,indepth,1,medical
896,data,prevalence,3,medical
897,data,question,1,medical
898,data,explore,1,medical
899,data,cases,1,medical
900,data,important,1,medical
901,data,entered,1,medical
902,data,entry,1,medical
903,data,analyzed,1,medical
904,data,3920,1,medical
905,data,quantify,1,medical
906,data,legally,1,medical
907,data,linkage,1,medical
908,data,series,1,medical
909,data,science,1,medical
910,data,analysis,2,medical
911,data,combined,1,medical
912,data,guide,1,medical
913,data,transcripts,1,medical
914,data,triangulation,1,medical
915,data,gathered,1,medical
916,data,forensic,1,medical
917,data,victims,1,medical
918,data,types,1,medical
919,data,fortyeight,1,medical
920,data,expanded,1,medical
921,data,themes,1,medical
922,data,2018,1,medical
923,data,older,1,medical
924,data,extracted,2,medical
925,data,bivariate,1,medical
926,data,aces,1,medical
927,data,demonstrated,1,medical
928,data,indicated,1,medical
929,data,came,1,medical
930,data,suggest,1,medical
931,data,national,1,medical
932,data,collection,1,medical
933,analytics,techniques,1,medical
934,techniques,machine,1,medical
935,machine,learning,4,medical
936,learning,artificial,1,medical
937,learning,ean,1,medical
938,learning,physical,1,medical
939,learning,approaches,1,medical
940,learning,algorithms,1,medical
941,potential,dramatically,1,medical
942,potential,abuse,3,medical
943,potential,misuse,1,medical
944,potential,physical,2,medical
945,potential,overlap,1,medical
946,potential,em,1,medical
947,potential,currently,1,medical
948,potential,victims,2,medical
949,potential,mistreatment,2,medical
950,potential,perpetrator,1,medical
951,potential,involvement,1,medical
952,potential,neglect,1,medical
953,potential,play,1,medical
954,potential,strategies,1,medical
955,potential,collaborations,1,medical
956,potential,signs,1,medical
957,potential,future,1,medical
958,potential,forensic,1,medical
959,potential,usefulness,1,medical
960,potential,overlooking,1,medical
961,potential,correlates,4,medical
962,dramatically,improve,1,medical
963,dramatically,impacted,1,medical
964,dramatically,increasing,1,medical
965,improve,elder,1,medical
966,improve,safety,1,medical
967,improve,caregiver,1,medical
968,improve,patientcentered,1,medical
969,improve,reliability,1,medical
970,improve,identification,4,medical
971,improve,primary,1,medical
972,improve,knowledge,2,medical
973,improve,quality,4,medical
974,improve,responses,1,medical
975,improve,health,1,medical
976,improve,practice,1,medical
977,improve,initial,1,medical
978,improve,strategic,1,medical
979,improve,outreach,1,medical
980,improve,systematic,1,medical
981,improve,patient,1,medical
982,improve,detection,1,medical
983,improve,ability,1,medical
984,improve,documentation,1,medical
985,improve,medical,1,medical
986,improve,awareness,1,medical
987,improve,client,1,medical
988,improve,selfefficacy,1,medical
989,improve,sustainable,1,medical
990,improve,care,1,medical
991,improve,literacy,1,medical
992,identification,health,1,medical
993,identification,intervention,4,medical
994,identification,ed,2,medical
995,identification,management,3,medical
996,identification,elder,3,medical
997,identification,comprehensive,1,medical
998,identification,phenomenon,1,medical
999,identification,neglect,1,medical
1000,identification,useful,1,medical
1001,identification,characteristic,1,medical
1002,understanding,medical,1,medical
1003,understanding,traumatic,1,medical
1004,understanding,narrowed,1,medical
1005,understanding,elder,1,medical
1006,understanding,signs,1,medical
