"작성자","평점","좋아요","댓글수","리뷰"
"kawah_ee","5.0","53","2","작품을 보며 누군가가 투영된다면, 그 순간부터 영화와 나는 하나가 되어 겉잡을 수 없는 감정의 궤도로 진입한다. 
-
할아버지의 장례를 지내는 삼일을 내리 울었더랜다.
어머니는 나에게 슬프지만 보내드려야한다면서, 그만 울라 다독이셨지만 나는 할아버지가 떠난 것이 슬퍼서 운 것이 아니다. 스스로 목숨을 져버렸다는 소식을 둘쨋날 경찰이 옴으로써 전해듣고, 내가 너무 못되보여서. 할아버지 사진을 앞에 두고 한참을 '고생하셨지요.','많이 힘들었지요.' 했더랜다. 
•
할아버지는 치매가 있으셨는데, 나는 그 사실을 전혀 알지 못하였다. 기억도 자주 잊으시고 화도 한참을 내셨지만 내가 오는 순간 만큼은 얌전하더랜다. 그게 사랑임을 사랑이 떠나가고야 알았다. 
•
우리 할아버지는 할머니와 아빠한테 참 못됐었다. 흉을 많이 들어서 그런지, 우리 둘은 친하지 않았다. 나는 할머니에게, 할아버지의 욕설과 폭력을 견디지 말고 따로 살자 그렇게 쉽게 말했었다. 할아버지가 우리 곁을 떠나기 하루 전, 잠깐 정신이 돌아왔을 때 할머니께 '할멈, 짜증내서 미안하오. 내가 못된걸 어쩌겠소.' 했더랜다. 할머니와 나는 장례식장에서 그 이야길 하며 얼싸안고 울었다.
•
할아버지는 2-3년간 누워계셨다. 사실 친구도 몇 남지 않으셔서, 전화를 돌릴 곳도, 자신을 찾아 올 발길도 거의 없었다. 그럼에도 나를 오매불망 이년을, 삼년을 더 기다리셨는데. 나는 못돼서 용돈받으려고 갔었다. 서울에서 통영은 꽤 먼 거리기에, 자주 찾아뵙지 않았다. 학교를 다닌다는 이유로 부재중 전화도 쉽게 무시해버리곤 했는데, 그것이 마지막 전화일 줄 할아버지 외엔 누가 알았겠는가.
•
농약을 먹고 죽을 수 있다는 사실을 그제서야 알았다. 그렇게 죽은 사람은 시체가 검게 변한다. 경찰이 오고, 부랴부랴 해결하고, 다음날 시체를 마주하고, 처음으로 할머니의 곡소리를 들었다. 할범 언제 죽냐고 매일같이 말하던 사람이. 그렇게 슬퍼하는 모습은 처음봤더랜다.  
•
나는 당신을 기억하지 못한다. 그럼에도 꽤 괜찮은 삶을 살았다고 믿고싶다. 나는 할아버지를 닮아 호탕하겠거니-. 씁쓸한 기억하나 되네어본다."
"JJBJ","5.0","48","0","아무도 울지 않았고. 엔딩에서조차
아무 노래도 들리지 않았다."
"Dh","4.5","45","0","인간은 누구나 언젠가 자신이 죽게 될거라는 걸 알고 있다. 그럼에도 불구하고 그 시점이 가까이 오기전까지는 부인할 수 밖에 없을듯하다..
 영화가 너무 현실적이라 먹먹하고 착잡하다 😥
#생각과 현실은 다르잖아
#미안해, 용서해
#무력감"
"이은주","5.0","44","2","누군가와 대화하고 통화할때마다 보여지는 주르주의 뒷모습은 처량하고 무거워보인다. 앞으로 자신이 얼마나 아프고 힘들지를 암시하듯이....."
"봉순미니신신","4.0","42","0","당장은 오롯이 
그들만 아는 서글픈 이야기,
어쩌면 모두가 견뎌야 할 사정들."
"P1","4.0","40","4","그 문턱 앞에서 초라해지고 병약해지는 노년의 인생..짖궂은 병 앞에서 사랑의 결말이란..
-
기력이 없어서 닭가슴살을 골라먹어도 힘따윈 나질 않고 갑갑함만 남는 기분."
"JE","3.5","39","4","하네케는 잔인할 정도로 영화를 잘 만들고, 소름 돋게 심금을 울린다. 그 엄밀함에 차마 토를 달지 못하지만, 음흉함이 느껴지는 게 사실이다. 예컨대 간병인의 자질을 의심하며 해고하는 씬 이후에 맞붙는 조르주가 안느의 뺨을 때리는 씬. 두 씬 사이의 시간적 간극은 알지 못하나, 전자의 장면을 보면서 들었던 의문을 흡사 후자가 해소시키는 것만 같다. 그러나 ""당신이 환자를 대하듯 똑같이 당해보라""던 전자처럼 폭력에 대한 암시를 (조르주의) 분노로 반응하던 것이, 후자의 상황에선 명시적인 폭력에도 이내 연민이 흐른다. 간병의 피로와 인내의 한계 같은 것.
 
물론 조르주의 노력을 지켜본 덕에 가능한 정서일 테지만, 앞선 해고 장면을 다시 되짚지 않을 수가 없다. 간병인의 피로나 어떤 과한 태도로 발전할 수밖에 없는 한계 상황이라는 암시마저 조르주에게로 넘기고 있는 건 아닐까. 간병인의 폭력에 분노하되, 조르주에게는 연민을 키운다. 돈을 받고 일하는, 고용된 간병인과 조르주는 다르다는 이유로. 사랑이라는 이유만으로. 그런데 정말 그럴까. 생각과 심경이 복잡하기만 한데, 영화는 폭력으로 고조된 흥분을 잠재우기라도 하듯 풍경화를 인서트 한다. 마치 생각할 찰나도 없이 폭력과 사랑이 뒤섞여 버린 씁쓸함이 풍경 속으로 휘말려 드는 것만 같다. 그리고 영화는 이내 조르주의 선택으로까지 내쳐 달린다. 어쩌면 상투적인 표현일, 삶의 풍경이라는 것마냥.
 
사실 어떤 장면의 문제만은 아니다. 조르주의 선택에 도달하기 이전에 이미 영화는 '차가운 실내극'이라는 풍경만으로 관객의 호흡을 앗고 있다. 문이 닫혀 버리는, 지독히 숨 막히는 폐쇄성. 오프닝 씬에서부터 이른바 죽음을 선고했고, 그렇다면 역시 합리화의 여정이다. 이건 사랑의 형태라기보다 차라리 <히든>과 같은 섬찟한 표면일 뿐이다. 이것도 사랑인가, 라는 질문으로 이어져야 할 그림 같건만 이것도 사랑이다, 라고 마무리되어 버리는 감상을 지울 수가 없다. 물론 감독의 솜씨에 홀리지 않았다면 거짓말이다. 그러나 삶과 사랑을 향한 탄식만큼이나 짙게 드러나는 흉계에 가까운 감독의 노련함이 더 혼란스러울 뿐이다."
"상범","4.0","37","1","내가 더러워지더라도 가장 흰 것을 너에게 줄게."
"곽승현","4.0","36","0","길다. 느리다. 묵직하다. 천천히 흩날린다. 사랑했던만큼 고통스럽고 고통스러울만큼 사랑했다. '하지만더는싫어 당신이아니라 나를위해서' 이해한 순간 그저 꽃으로 배웅해주는 수 밖에."
"별,","4.5","35","0","사랑하는 사람과 함께 한 그 오랜 시간을 뒤로 하고, 서서히 죽음 앞에서 자기 자신을 잃어가는 모습을 보여줘야 되는 여자와, 그런 그녀의 모습을 고통스럽게 지켜보며 결국 그녀의 삶에 대한 거부의 부름에 응답해야만 하는 남자가 있다...
-
그래... 이런 것 역시 사랑인 것을...
-
창문이 열려있어야만 들어올 줄 알았던 비둘기는 사방이 막혀버린 어두컴컴한 집에도 언젠가는 들어오게 된다. 내쫓아야만 되는 비둘기는 예정된 그 때가 오면 어쩔 수 없이 감싸안아야만 할 것이다. 그러나, 아직 난 그 순응을 받아들일 수 있는 의지가 없으니, 또는 싫으니 그와 그녀를 이해할 수도 없고, 또는 이해하지도 못한다. 그저 짐작할 뿐, 그저 외면하고 싶을 뿐. 지독한 사람, '미카엘 하네케'."
"Mean Han","4.5","35","0","모든 죽어가는 것들을 사랑해야지...-윤동주<서시>"
"신수진","4.5","35","0","남편이 두 손으로 아내를 안아 소파로 천천히 옮기는 모습이 흡사 두 사람이 춤을 추는 것처럼 보였다.
이전에는 사랑을 속삭였을 거리에서 고통과 미안함을 교감해야만 하는 슬픔이란."
"보라","4.0","32","0","그의 선택에 누가 돌을 던질 수 있을까"
"핫챠후랏챠왓챠후랏챠","5.0","31","0","알고 있나요.
당신의 모든 것이 내게 스며들 때 이미 내 마음은 놀랄 만큼의 당신에 대한 연민과 증오로 가득하다는 걸.
이 모순적인 맘을 외면치 말아요. 이게 '사랑'이랍니다."
"지용","3.5","30","0","굽어지는 게 두려웠던 건 그대가 아니라 내 사랑이었죠."
"캄파넬라","2.0","30","7","엄정하고 절제된 듯 하지만, 그 이면에 자리잡은 확신에 가득 찬 태도로 관객으로 하여금 조르주의 결단에 동조하게 만드는 폭력적인 영화. 하네케가 영악하고 불편한 감독임을 알려준다."
"JoyKim","4.5","28","0","나이가 들어감에 따라 사람은 더욱 성숙해지겠지만, 이미 속절없이 흘러간 세월은 야속하기만 하다."
"박서영","4.0","26","0","병들어 늙어가는 노년의 삶이란 참 서글프고 비참했다
힘든 아내 안느를 위한 남편 조르주의 마지막 선택이 이해가 되면서도 너무 마음 아팠다"
"영화.다큐.OTT.책.많이보고읽자","4.0","25","2","감독이 매우 유명하다고 들었다!! 왓챠에 있길래 바로 봤는데. 역시나 명감독은 다르다!!"
