date,positive,negative,neutral,sentiment score,summary
2020-02-06,2,0,0,1.0,"6일 원/달러 환율이 10원 넘게 급락했다. 6일 오전 원/달러 환율이 10원 가까이 떨어지며 큰 폭의 하락 흐름을 보이고 있는 가운데, 원/달러 환율은 이날 오전 9시 33분 현재 전날 종가보다 9.6원 떨어진 달러당 1,181.9원에 거래됐다."
2020-02-11,2,0,0,1.0,"11일 원/달러 환율이 하락 마감된 원/달러 환율은 전일보다 5.5원 내린 달러당 1,181.6원에 거래를 마쳤다. 11일 오전 원/달러 환율이 보합권에서 움직이고 있다.서울서울 외환시장에서 원/달러 환율은 이날 오전 9시 30분 현재 전일 종가보다 1.1원 내린 달러당 1,186.0원을 기록했다."
2020-02-12,0,0,1,0.0,"12일 오전/달러 환율이 강보합권에서 움직이고 있다.서울 외환시장에서 원/달러 환율은 이날 오전 9시 20분 현재 전일 종가보다 1.4원 오른 달러당 1,183.0원이다."
2020-02-13,0,2,0,-1.0,"13일 원/달러 환율이 오름세로 장을 마감했다.서울 외환시장에서 원/달러 환율은 전일보다 3.3원 오른 달러당 1,182.8원에 거래를 마쳤다. 13일 원/달러 환율이 소폭 상승했다.서울 외환시장에서 원/달러 환율은 이날 오전 9시 33분 현재 전일 종가보다 3.2원 오른 달러당 1,182.7원을 나타냈다."
2020-02-14,0,2,0,-1.0,"14일 원/달러 환율이 소폭 상승한 채 마감한 원/달러 환율은 전일보다 0.2원 오른 달러당 1,183.0원에 거래를 마쳤다. 14일 원/달러 환율이 소폭 상승 출발한 원/달러 환율은 오전 9시 34분 현재 전일보다 2.2원 오른 달러당 1,185.0원을 나타냈다."
2020-02-17,0,1,0,-1.0,"서울 외환시장에서 원/달러 환율은 직전 거래일보다 0.9원 오른 달러당 1,183.9원에 거래를 마쳤다."
2020-02-18,0,0,1,0.0,"18일 원/달러 환율이 1,190원 턱밑에서 마감했다."
2020-02-19,1,0,0,1.0,19일 원/달러 환율이 5거래일 만에 상승세가 멈췄다.
2020-02-20,0,2,0,-1.0,원/달러 환율이 국내 신종 코로나바이러스 감염증 확산에 9원 넘게 급등하면서 4개월여 만에 최고를 기록했다. 20일 원/달러 환율이 국내 신종 코로나바이러스 감염증 확산에 9원 넘게 급등한 채 마감했다.
2020-02-21,0,1,0,-1.0,"21일 원/달러 환율이 1,210원 턱밑까지 오르며 5개월여 만에 최고치를 기록했다."
2020-02-23,0,1,0,-1.0,한국은행 등에 등에 따르면 지난 21일 현재 달러화 대비 원화 가치는 작년 말보다 4.6% 떨어졌다.
2020-02-24,0,6,0,-1.0,"지난 17일부터 6거래일 연속 상승 행진을 이어가고 있는 금값은 3거래일째 사상 최고가를 경신하고 원/달러 환율은 급등하는 등 금융시장이 충격을 받았다. 국내 신종 코로나바이러스 감염증 국내 확진자가 급증하면서 24일 원/달러 환율이 1,220원을 돌파하며 반년 만에 최고치로 치솟았다. 안전자산인 금값은 3거래일째 사상 최고가를 경신하고 원/달러 환율은 급등하는 등 금융시장이 충격을 받았다. 24일 원/달러 환율이 1,220원을 돌파하며 반년 만에 최고치를 기록했다. 신종코로나 바이러스 감염증이 전방위로 확산하자 24일 주가가 급락하고 원/달러 환율은 상승하는 등 금융시장의 충격이 커지고 있다. 원/달러 환율은 24일 오전 9시 21분 현재 전 거래일 종가에서 7.0원 오른 달러당 1,216.2원에 거래되고 있다."
2020-02-25,2,1,0,0.3333333333333333,"날 서울 외환시장에서 원/달러 환율은 오전 9시 18분 현재 전일 종가에서 4.4원 내린 달러당 1,215.8원에 거래되고 있다. 키움증권은 25일 신종 코로나바이러스 감염증에 따른 원/달러 환율 급등세가 진정되면서 환율이 당분간 1,200원 초반 수준에서 등락할 것이라고 전망했다. 원/달러 환율은 전날보다 1.8원 오른 달러당 1,159.9원으로 출발해 1원 안팎의 좁은 범위에서 거래가 이뤄졌다."
2020-02-26,0,3,0,-1.0,"26일 서울 외환시장에서 원/달러 환율은 전일 종가보다 6.6원 오른 달러당 1,216.9원에 마감했다. 26일 서울 외환시장에서 원/달러 환율은 전일 종가보다 6.6원 오른 달러당 1,216.9원에 마감했다. 26일 원/달러 환율이 큰 폭 상승하였다.이날 서울 외환시장에서 원/달러 환율은 오전 9시 10분 현재 전일 종가에서 6.8원 오른 달러당 1,217.1원에 거래되고 있다."
2020-02-27,1,1,0,0.0,"27일 원/달러 환율은 전일 종가보다 0.3원 오른 달러당 1,217.2원에 거래를 마쳤다. 서울 외환시장에서 원/달러 환율은 오전 9시 5분 현재 전일 종가에서 1.7원 내린 달러당 1, 1,215.2원에 거래되고 있다."
2020-02-28,1,0,0,1.0,"29일 원/달러 환율은 전일 종가보다 3.5원 내린 달러당 1,213.7원에 거래를 마쳤다."
2020-03-02,1,0,1,0.5,"2일 서울 경기부양책에 대한 기대로 국내 주식시장의 주가가 반등하고 원/달러 환율이 급락하는 등 금융시장이 안정을 되찾는 모습을 보였다. IBK기업은행은 지난달 28일 일본 미쓰비시UFJ금융그룹 은행, 미즈호은행과 약 6천억원 규모의 원화-엔화 커미티드 라인 증액 계약을 맺었다고 2일 밝혔다."
2020-03-03,2,0,0,1.0,신종 코로나바이러스 감염증 확산에 따른 경기 둔화를 막기 위해 주요국이 공동 대응에 나서기로 하면서 위험자산 선호 분위기가 형성되어 미 달러화는 하락하고 위험통화로 분류되는 원화는 강세를 보이고 있다. 원/달러 환율은 미국 연방준비제도의 금리 인하 시사 영향으로 20원 급락하면서 신종 코로나바이러스 감염증 '팬데믹 공포'에 따른 지난주의 급등분을 되돌렸다.
2020-03-09,0,3,0,-1.0,"원/엔 재정환율은 원/엔 재정환율이 급등한 것은 기준 통화인 달러화에 비해 원화 가치는 하락한 반면, 엔화 가치는 크게 오른 영향이다. 9일 원/달러 환율이 10원 넘게 오르며 달러당 1,200원 선 위로 다시 올라섰다. 9일 오전 원/달러 환율이 상승세인 1,197.4원으로 1,200원을 목전에 두고 있다."
2020-03-10,2,0,0,1.0,10일 원/달러 환율이 10원 넘게 급락했다. 원/달러 환율이 10일 장 초반 하락세를 보이고 있다.
2020-03-11,0,0,1,0.0,11일 원/달러 환율이 장중 10원 가까운 변동폭을 보인 가운데 보합권에서 마감했다.
2020-03-12,0,4,0,-1.0,"서울 외환시장에서 원/달러 환율은 전날보다 13.5원 오른 달러당 1,206.5원에 거래를 마쳤다. 서울 외환시장에서 원/달러 환율은 전날보다 13.5원 오른 달러당 1,206.5원에 거래를 마쳤다. 원/달러 환율은 전날보다 7.3원 오른 달러당 1,200.3원에 거래됐다. 신종 코로나바이러스 감염증 감염증 공포가 번지면서 12일 오전 국내 금융시장에서 주식, 채권, 원화 가치가 일제히 하락하는 '트리플 약세' 현상이 나타나고 있다."
2020-03-13,0,3,0,-1.0,"서울 외환시장에서 원/달러 환율은 전날보다 12.8원 오른 달러당 1,219.3원에 거래를 마쳤다. 주식시장이 폭락한 13일 원/달러 환율이 13원 가까이 급등했다. 13일 오전 코로나바이러스 감염증 공포가 글로벌 금융시장을 강타한 13일 오전 국내 금융시장에서는 주식, 채권, 원화 가치가 일제히 하락하는 '트리플 약세' 현상이 나타났다."
2020-03-16,0,1,0,-1.0,16일 원/달러 환율이 3거래일째 오르면서 4년여만에 최고치를 경신했다.
2020-03-17,0,3,0,-1.0,"증시의 증시의 연이은 폭락으로 17일 원/달러 환율이 약 10년 만에 가장 높은 1,240원대에서 마감했다. 증시의 연이은 폭락으로 17일 원/달러 환율이 약 10년 만에 가장 높은 1,240원대에서 마감했다. 증시의 연이은 폭락으로 17일 원/달러 환율이 약 10년 만에 가장 높은 1,240원대에서 마감했다."
2020-03-18,1,0,0,1.0,"18일 오전 원/달러 환율이 급락하고 있다.서울 외환시장에서 원/달러 환율은 전날보다 11.5원 내린 달러당 1,232.0원을 기록했다."
2020-03-19,0,5,0,-1.0,"19일 원/달러 환율이 40원 폭등해 11년 만에 가장 높은 수준에서 마감했다. 19일 원/달러 환율이 40원 폭등해 11년 만에 가장 높은 수준에서 마감했다.이날 서울 외환시장에서 원/달러 환율은 전일 종가보다 40원 오른 달러당 1,285.7원에 마감했다.이날 서울 외환시장에서 원/달러 환율은 전일 종가보다 40원 오른 원달러달러화 가치가 초강세를 보이고 원화 가치가 폭락하면서 원·달러 환율이 하루만에 50원 넘게 폭등했다. 1300원대 진입이 가시권에 들어온 가운데 글로벌 금융위기 당시 수준인 1500원까지 진입할 가능성은 낮다는 분석이 나왔다. 19일 오전 원/달러 환율이 폭등해, 장중 한때 달러당 1,297.5원으로 고점을 높이기도 했다. 원/달러 환율이 폭등해 1,290선을 돌파했다.서울서울 외환시장에서 원/달러 환율은 전날 종가에서 41.8원 급등한 1,287.5원을 기록했다."
2020-03-20,6,0,0,1.0,"20일 원/달러 환율이 엿새간의 폭등세를 멈추고 40원 가까이 급락했다. 20일 원/달러 환율이 엿새간의 폭등세를 멈추고 40원 가까이 급락했다. 서울 외환시장에서 원/달러 환율은 전날보다 39.20원 내린 1, 1,246.5원으로 마감했다.이날 서울 외환시장에서 원/달러 환율은 전날보다 39.20원 내린 1, 1,246.5원으로 마감했다.이날 서울 외환시장에서 원/달러 환율은 전날보다 39. 서울 외환시장에서 원/달러 환율은 전날보다 39.20원 내린 1,246.5원으로 마감했다. 서울 외환시장에서 원/달러 환율은 전날보다 39.20원 내린 1,246.5원으로 마감했다. 한국과 미국 간 600억달러 규모의 통화스와프 체결 합의 소식이 전해진 20일 오전 원/달러 환율이 급락하고 있다.서울 외환시장에서 이날 오전 9시 23분 현재 원/달러 환율은 전날보다 22.6원 급락한 달러당 1,263.1원을 기록했다."
2020-03-22,0,0,1,0.0,신종 코로나바이러스 감염증 팬데믹으로 10년 전으로 회귀한 주가지수와 원화 가치가 당분간은 계속 변동성 국면을 이어갈 것으로 전망됐다.
2020-03-23,0,3,0,-1.0,"원/달러 환율이 급등한 23일 서울 명동의 한 환전소에 설치된 환율전광판에 마스크를 쓴 시민의 모습이 비치고 있다. 원/달러 환율은 18.5원 오른 1,265.0원에서 출발해 코스피가 폭락한 영향에 상승 폭을 늘려나가고 있다. 지난주 한미 통화스와프 체결로 외환위기 불안이 줄었지만, 글로벌 경기가 동반 침체할 수 있다는 우려가 이어지며 원/달러 환율이 오른 것으로 풀이된다."
2020-03-24,1,0,0,1.0,"24일 원/달러 환율이 약 17원 급락하며 1,250원 아래로 내려갔다."
2020-03-26,2,1,0,0.3333333333333333,"26일 원/달러 환율이 1,230원대로 다시 올라섰다. 미국의 미국의 재정부양책 기대감과 미국의 재정부양책 기대감과 국내 외환당국의 발 빠른 대응이 원화가치 상승에 영향을 주고 있다. 26일 원/달러 환율이 소폭 하락했다.서울 외환시장에서 이날 오전 9시 11분 현재 원/달러 환율은 전일보다 1.9원 내린 달러당 1,228.0원을 나타냈다."
2020-03-27,2,0,0,1.0,"원/달러 환율은 뉴욕증시가 폭등하자 신흥국 통화인 원화도 강세를 나타낸 것으로 분석된다. 미국 실업수당 신청 건수가 많이 늘었지만 미국이 대규모 경기부양책을 펼 것으로 예상돼 글로벌 시장에서는 불안 심리가 누그러졌다.서울서울 외환시장에서 이날 오전 9시 9분 현재 원/달러 환율은 전일보다 16.6원 내린 달러당 1,216.2원을 나타냈다."
2020-04-06,1,1,0,0.0,"6일 원/달러 환율이 달러당 1,220원대로 하락했다. 원/달러 환율이 상승으로 한 주 거래를 시작했다.서울 외환시장에서 이날 오전 9시 36분 현재 환율은 전날 종가보다 2.8원 오른 달러당 1,233.7원을 나타냈다."
2020-04-07,1,0,0,1.0,7일 원/달러 환율이 하락했다.
2020-04-08,1,0,1,0.5,"6일 원/달러 환율이 약보합 수준에서 마감됐다. 8일 오전 외환시장에서 이날 오전 9시 22분 현재 원/달러 환율은 전날보다 0.7원 내린 달러당 1,220.5원을 나타냈다."
2020-04-09,1,0,0,1.0,9일 원/달러 환율이 소폭 떨어진 채 마감됐다.
2020-04-13,0,1,0,-1.0,"13일 원/달러 환율이 9원 넘게 급등하며 1,210원대로 오른 채 마감했다."
2020-04-14,1,0,0,1.0,"14일 원/달러 환율이 소폭 하락 마감한 원/달러 환율은 전일 종가보다 0.6원 내린 달러당 1,217.3원에 마감했다."
2020-04-16,0,2,0,-1.0,"16일 원/달러 환율이 11원 넘게 급등해 1,220원대에서 마감했다. 16일 오전 서울 외환시장에서 원/달러 환율은 전 거래일보다 9.8원 오른 달러당 1,227.1원을 기록했다."
2020-04-17,1,0,0,1.0,"17일 원/달러 환율이 11원 가까이 급락하며 다시 1,210원대로 내려앉았다."
2020-04-24,0,1,0,-1.0,"서울 외환시장에서 원/달러 환율은 이날 오전 9시 5분 현재 전일보다 3.6원 오른 달러당 1,233.3원에 거래되고 있다."
2020-05-06,2,0,0,1.0,"원/달러 환율은 글로벌 금융시장의 위험회피 심리 약화에 힘입어 6.6원 내린 1,222.5원에 개장해 장중 횡보세를 유지했다.미국 캘리포니아주가 이번 주 금요일부터 일부 소매업체들의 픽업 판매 영업을 허용하는 등 미국과 미국과 유럽에서 점진적인 경제 정상화 원/달러 환율이 하락세로 출발서울서울 외환시장에서 원/달러 환율은 전 거래일보다 5.5원 내린 달러당 1,223.6원을, 원/달러 환율은 전 거래일보다 5.5원 내린 달러당 1,223.6원을 나타냈다."
2020-05-11,1,1,0,0.0,"11일 원/달러 환율이 소폭 상승 마감했다. 11일 오전 오전 원/달러 환율이 소폭 하락 출발한 원/달러 환율이 소폭 하락 출발한것서울 외환시장에서 원/달러 환율은 전 거래일보다 2.1원 내린 달러당 1,217.8원을 기록했다.서울 외환시장에서 원/달러 환율은 전 거래일보다 2.1원 내린 달러"
2020-05-12,0,2,0,-1.0,"12일 원/달러 환율이 상승 마감하며 이틀째 오름세를 이어갔다. 서울 외환동서울 외환시장에서 이날 오전 9시 10분 현재 원/달러 환율은 전날보다 6.0원 오른 달러당 1,226.5원을 기록했다."
2020-05-13,0,1,1,-0.5,"13일 원/달러 환율이 약보합권에서 마감했다. 13일 오전 원/달러 환율이 상승세로 출발했다.서울 외환시장에서 이날 오전 9시 10분 현재 원/달러 환율은 전날보다 3.3원 오른 달러당 1,228.1원이다."
2020-05-14,0,1,0,-1.0,"14일 원/달러 환율은 전일 종가보다 4.2원 오른 달러당 1,228.0원에 마감했다."
2020-05-19,2,0,0,1.0,신종 코로나바이러스 감염증 백신에 대한 기대감이 커지면서 위험자산 선호심리가 강화되자 원화가 강세를 보이고 있다. 원/달러 환율이 급락 흐름을 보이고 있다.서울 서울 서울 서울 서울 서울 서울 서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울
2020-05-22,0,2,0,-1.0,"서울 외환시장에서 원/달러 환율은 전날 종가보다 6.1원 오른 달러당 1,237.0원에 거래를 마쳤고, 원/달러 환율은 전날 종가보다 6.1원 오른 달러당 1,237.0원에 거래를 마쳤다.이날 서울 외환시장에서 원/달러 환율은 전날 종가 22일 오전 외환시장에서 원/달러 환율이 상승 흐름을 보이고서울서울서울서울서울 외환시장에서 이날 오전 9시 13분 현재 원/달러 환율은 전날 종가보다 3.9원 오른 1,234.8원을 나타냈다.서울서울서울서울 외환시장에서 이날 오전 9시 13분 현재 원/달러 환율은"
2020-05-25,0,2,0,-1.0,"25일 원/달러 환율이 1,240대로 오른 채 마감했다. 원/달러 환율은 전 거래일 종가보다 달러당 3.8원 오른 1,240.80원을 나타냈다."
2020-05-27,1,1,0,0.0,"서울 외환시장에서 원/달러 환율은 전날보다 0.1원 오른 달러당 1,234.4원에 마감됐다.이날 서울 외환시장에서 원/달러 환율은 전날보다 0.1원 오른 달러당 1,234.4원에 마감됐다.이날 서울 외환시장에서 원/달러 환율은 전날보다 0.1원 원/달러 환율이 1,230원대 초중반에서 박스권 등락을서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울"
2020-05-28,0,1,0,-1.0,"28일 오전 원/달러 환율이 상승세를 보이며 장중 1,240원대에 올라섰다.서울 외환시장에서 이날 오후 1시 45분 현재 원/달러 환율은 전날보다 7원 오른 달러당 1,241.4원을 나타냈다."
2020-05-29,1,0,0,1.0,"서울 외환시장에서 원/달러 환율은 전날 종가보다 달러당 1.1원 내린 1,238.5원에 거래를 마쳤다."
2020-06-01,1,0,0,1.0,1일 원/달러 환율이 전 거래일보다 13원 이상 하락해 마감된 원/달러 환율이 전 거래일보다 13원 이상 하락해 마감했다.
2020-06-02,2,0,2,0.5,"한국은행이 2일 발표한 '2018년 국민계정 및 2019년 국민계정' 자료에 따르면 지난해 1인당 명목 국민총소득은 원화 기준 3천743만원, 달러 기준 3만2천115달러로 집계됐다. 2일 원/달러 환율이 전날보다 0.4원 하락 마감했다. 한국은행이 2일 발표한 '2018년 국민계정 및 2019년 국민계정' 자료에 따르면 지난해 1인당 명목 국민총소득은 원화 기준 3천743만원, 달러 기준 3만2천115달러로 집계됐다. 2일 원/달러 환율이 하락 출발했다.서울 외환시장에서 오전 9시 32분 현재 원/달러 환율은 전날 종가보다 2.8원 내린 달러당 1,222.2원이다."
2020-06-03,2,0,0,1.0,"3일 원/달러 환율은 전날 종가보다 8.6원 내린 달러당 1,216.8원에 거래를 마쳤다. 원/달러 환율은 전날보다 7.4원 내린 달러당 1,218.0원으로 출발, 완만한 하락세를 보이고 있다."
2020-06-04,0,2,0,-1.0,"4일 원/달러 환율이 상승 마감했다. 4일 원/달러 환율이 보합권에서 움직이고 있다.서울서울 외환시장에서 오전 9시 34분 현재 원/달러 환율은 전날 종가보다 0.2원 오른 1,217.0원이다."
2020-06-08,1,1,0,0.0,"8일 원/달러 환율이 1,200원을 웃돌고 있다. 8일 오전 원/달러 환율이 하락 출발한서울 외환시장에서 원/달러 환율은 전 거래일보다 3.25원 내린 달러당 1,203.85원이다."
2020-06-09,3,0,0,1.0,"9일 원/달러 환율이 7원 가까이 내리며 약 3개월 만에 1,190원대에서 마감했다. 신종 코로나바이러스 감염증에 대응한 세계 각국의 부양책과 경제활동 재개에 대한 기대감이 원화 가치를 끌어올리고 있다. 9일 오전 원/달러 환율이 큰 폭으로 하락하고 있다.서울서울서울 외환시장에서 원/달러 환율은 전날보다 8.15원 내린 달러당 1,196.65원이다.서울서울 외환시장에서 원/달러 환율은 전날보다 8.15원 내린 달러당 1,196.65원이다."
2020-06-10,1,1,0,0.0,"10일 원/달러 환율이 4거래일 연속 하락하며 1,190원 초반까지 내렸다. 10일 오전 원/달러 환율이 소폭 상승 출발서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울"
2020-06-11,1,1,0,0.0,"11일 원/달러 환율이 5거래일 만에 상승 마감했다. 11일 오전 오전 원/달러 환율이 보합권에서 등락하고 있다.서울 외환시장에서 원/달러 환율은 전날보다 0.1원 오른 달러당 1,191.3원이다."
2020-06-12,0,1,0,-1.0,"12일 원/달러 환율이 4거래일 만에 다시 1,200원대에서 마감했다."
2020-06-15,0,2,0,-1.0,"15일 원/달러 환율이 신종 코로나바이러스 감염증 재확산 우려로 7거래일 만에 다시 1,210원대를 회복했다. 원/달러 환율이 상승 출발했다.서울 외환시장에서 이날 오전 9시 30분 현재 원/달러 환율은 전 거래일 종가보다 5.25원 오른 달러당 1,209.05원이다."
2020-06-16,1,0,0,1.0,"16일 오전 오전 원/달러 환율이 급락 출발했다.서울 외환시장에서 이날 오전 9시 23분 현재 원/달러 환율은 전날보다 10.35원 내린 달러당 1,205.65원을 나타냈다."
2020-06-18,0,1,0,-1.0,"18일 오전 원/달러 환율이 상승 출발했다.서울 외환시장에서 이날 오전 9시 24분 현재 원/달러 환율은 전날 종가보다 2.80원 오른 달러당 1,216.70원이다."
2020-06-19,0,1,0,-1.0,"서울 외환 외환시장에서 이날 오전 9시 21분 현재 원/달러 환율은 전날 종가보다 5.35원 오른 달러당 1,213.35원이다."
2020-06-22,0,1,0,-1.0,"서울 외환시장에서 달러 대비 원화 환율은 전 거래일 종가보다 6.2원 오른 달러당 1,215.8원에 거래를 마쳤다."
2020-06-23,1,0,0,1.0,"원/달러 환율은 전날 종가보다 7.0원 내린 달러당 1,208.8원에 거래를 끝냈다."
2020-06-24,2,0,0,1.0,"서울 외환시장에서 원/달러 환율은 전날 종가보다 9.4원 내린 달러당 1,199.4원에 거래를 마쳤다. 서울 외환시장에서 원/달러 환율은 전날보다 4.5원 내린 달러당 1,204.3원을 나타냈다."
2020-06-30,0,1,0,-1.0,한국은행이신종 코로나바이러스 감염증으로 원/달러 환율이 급등세를 보이자 외환당국이 시장에 달러화를 내다 팔아 환율을 방어한 것이다.
2020-07-01,1,0,0,1.0,"서울 외환시장에서 달러 대비 원화 환율은 전날보다 3.1원 내린 달러당 1,199.9원을 나타냈다."
2020-07-07,2,0,0,1.0,"서울 외환시장에서 원/달러 환율은 전날보다 0.1원 내린 달러당 1,195.7원에 거래를 마쳤다. 7일 오전 오전 원/달러 환율이 약세를 보이고서울서울 외환시장에서 이날 오전 9시 5분 현재 달러 대비 원화 환율은 전날보다 4.5원 하락한 달러당 1,191.3원이다.서울서울 외환시장에서 이날 오전 9시 5분 현재 달러 대비 원화 환율은 전날보다 4.5원 하락한 달러당 1,19"
2020-07-08,0,1,0,-1.0,"8일 오전 원/달러 환율이 소폭 상승했다.서울 외환시장에서 이날 오전 9시 10분 현재 달러 대비 원화 환율은 전날보다 0.2원 오른 달러당 1,195.9원을 나타냈다."
2020-07-09,1,0,0,1.0,"9일 오전 외환시장에서 이날 오전 9시 4분 현재 달러 대비 원화 환율은 전날보다 3.2원 내린 달러당 1,192.3원을 나타냈다."
2020-07-10,0,2,0,-1.0,"10일 원/달러 환율은 1,200원대에서 상승 마감했다. 10일 오전 원/달러 환율은 상승 출발서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울서울"
2020-07-13,1,0,0,1.0,"13일 원/달러 환율이 1,200원대에서 하락 마감했다.이날 서울 외환시장에서 원/달러 환율은 전 거래일보다 3.6원 내린 달러당 1,200.9원에 거래를 마쳤다.이날 서울 외환시장에서 원/달러 환율은 전 거래일보다 3.6원 내린 달러당 1,200.9"
2020-07-14,0,2,0,-1.0,"14일 원/달러 환율은 전날보다 4.8원 오른 1,205.7원에 거래를 마쳤다. 14일 원/달러 환율이 오름세로 출발했다.서울 외환시장에서 이날 오전 9시 25분 현재 원/달러 환율은 전일 종가보다 4.4원 오른 1,205.3원이다."
2020-07-15,2,0,0,1.0,"15일 원/달러 환율이 하락해 1,200원대에서 마감했다.오후 3시 30분 기준 원/엔 재정환율은 100엔당 1,119.50엔이다.오후 3시 30분 기준 원/엔 재정환율은 100엔당 1,119.50엔이다.오후 3시 30분 기준 원/ 15일 원/달러 환율은 오전 9시 20분 현재 전날보다 5.1원 내린 달러당 1,200.6원을 나타냈다."
2020-07-16,0,1,0,-1.0,"16일 원/달러 환율이 보합권에서 출발했다.서울 외환시장에서 원/달러 환율은 9시 20분 현재 전날보다 1.1원 오른 달러당 1,201.6원을 나타냈다."
2020-07-17,0,1,1,-0.5,"17일 원/달러 환율이 1,205원대에서 보합 마감했다. 17일 원/달러 환율이 보합권에서 출발했다."
2020-07-20,1,0,0,1.0,20일 원/달러 환율이 소폭 하락하며 2거래일째 내림세를 이어갔다.
2020-07-21,2,0,0,1.0,"21일 원/달러 환율이 1,190원대로 내린 채 마감했다. 21일 오전 원/달러 환율이 하락 출발했다.서울 외환시장에서 이날 오전 9시 5분 현재 원/달러 환율은 전날보다 4.6원 내린 달러당 1,198.6원이다."
2020-07-22,1,0,0,1.0,"원/달러 환율이 나흘 연속 내리면서 1,190원대 중반까지 하락했다."
2020-07-23,0,2,0,-1.0,23일 원/달러 환율이 5거래일 만에 소폭 상승 마감했다. 23일 오전 원/달러 환율이 미·중 갈등 여파로 상승세를 탔다.
2020-07-24,0,1,0,-1.0,"24일 원/달러 환율이 상승해 나흘 만에 1,200원대에서 마감했다."
